Player,Team,G,ReceivingTarget,ReceivingRec,ReceivingYard,ReceivingTD,Home or Away,Opponent,Week
Jimmy Graham,New Orleans Saints,1,3,3,37,2,Away,Buffalo Bills,8
Vernon Davis,San Francisco 49ers,1,4,3,52,1,Home,Jacksonville Jaguars,8
Tim Wright,Tampa Bay Buccaneers,1,8,5,48,1,Away,Carolina Panthers,8
Jordan Reed,Washington Redskins,1,14,8,90,0,Home,Denver Broncos,8
Jordan Cameron,Cleveland Browns,1,4,4,81,0,Home,Kansas City Chiefs,8
Greg Olsen,Carolina Panthers,1,4,3,21,1,Home,Tampa Bay Buccaneers,8
Jermaine Gresham,Cincinnati Bengals,1,3,2,14,1,Away,New York Jets,8
Scott Chandler,Buffalo Bills,1,11,7,72,0,Home,New Orleans Saints,8
Joel Dreessen,Denver Broncos,1,2,2,9,1,Away,Washington Redskins,8
Kyle Rudolph,Minnesota Vikings,1,4,4,51,0,Away,Green Bay Packers,8
Ben Watson,New Orleans Saints,1,3,3,45,0,Away,Buffalo Bills,8
Brandon Myers,New York Giants,1,4,3,42,0,Home,Philadelphia Eagles,8
Charles Clay,Miami Dolphins,1,8,5,37,0,Home,New England Patriots,8
Jared Cook,St. Louis Rams,1,6,3,31,0,Away,Seattle Seahawks,8
Brandon Pettigrew,Detroit Lions,1,6,3,31,0,Away,Dallas Cowboys,8
Julius Thomas,Denver Broncos,1,3,3,29,0,Away,Washington Redskins,8
Rob Gronkowski,New England Patriots,1,5,2,27,0,Away,Miami Dolphins,8
Tony Gonzalez,Atlanta Falcons,1,8,3,26,0,Home,Arizona Cardinals,8
Sean McGrath,Kansas City Chiefs,1,2,2,25,0,Away,Cleveland Browns,8
Tyler Eifert,Cincinnati Bengals,1,4,2,23,0,Away,New York Jets,8
Lance Kendricks,St. Louis Rams,1,5,2,23,0,Away,Seattle Seahawks,8
Heath Miller,Pittsburgh Steelers,1,6,3,19,0,Home,Oakland Raiders,8
Brent Celek,Philadelphia Eagles,1,3,2,17,0,Away,New York Giants,8
Jacob Tamme,Denver Broncos,1,1,1,15,0,Away,Washington Redskins,8
Jason Witten,Dallas Cowboys,1,2,2,15,0,Home,Detroit Lions,8
Anthony Fasano,Kansas City Chiefs,1,3,2,14,0,Away,Cleveland Browns,8
Robert Housler,Arizona Cardinals,1,1,1,14,0,Away,Atlanta Falcons,8
Zach Miller,Seattle Seahawks,1,3,2,14,0,Home,St. Louis Rams,8
Andrew Quarless,Green Bay Packers,1,2,2,13,0,Home,Minnesota Vikings,8
Richie Brockel,Carolina Panthers,1,1,1,12,0,Home,Tampa Bay Buccaneers,8
James Hanna,Dallas Cowboys,1,2,2,12,0,Home,Detroit Lions,8
James Casey,Philadelphia Eagles,1,1,1,11,0,Away,New York Giants,8
Michael Egnew,Miami Dolphins,1,2,1,11,0,Home,New England Patriots,8
Zach Sudfeld,New York Jets,1,2,2,10,0,Home,Cincinnati Bengals,8
Jeff Cumberland,New York Jets,1,2,1,9,0,Home,Cincinnati Bengals,8
Jeron Mastrud,Oakland Raiders,1,1,1,9,0,Away,Pittsburgh Steelers,8
Clay Harbor,Jacksonville Jaguars,1,1,1,7,0,Away,San Francisco 49ers,8
Marcedes Lewis,Jacksonville Jaguars,1,3,1,6,0,Away,San Francisco 49ers,8
Levine Toilolo,Atlanta Falcons,1,3,3,6,0,Home,Arizona Cardinals,8
Zach Ertz,Philadelphia Eagles,1,4,1,5,0,Away,New York Giants,8
Dion Sims,Miami Dolphins,1,2,1,4,0,Home,New England Patriots,8
Gary Barnidge,Cleveland Browns,1,1,1,3,0,Home,Kansas City Chiefs,8
John Carlson,Minnesota Vikings,1,2,1,3,0,Away,Green Bay Packers,8
Chase Coffman,Atlanta Falcons,1,2,0,0,0,Home,Arizona Cardinals,8
Tom Crabtree,Tampa Bay Buccaneers,1,2,1,0,0,Away,Carolina Panthers,8
Virgil Green,Denver Broncos,1,1,0,0,0,Away,Washington Redskins,8
Logan Paulsen,Washington Redskins,1,1,0,0,0,Home,Denver Broncos,8
Mychal Rivera,Oakland Raiders,1,1,0,0,0,Away,Pittsburgh Steelers,8
