Player,Team,G,Tackle,Assist,Sack,PD,INT,FF,FR,Home or Away,Opponent
John Abraham,Arizona Cardinals,1,3,0,2.0,0,0,2,0,Away,Seattle Seahawks
Robert Mathis,Indianapolis Colts,1,3,2,2.0,0,0,1,0,Away,Denver Broncos
Mario Williams,Buffalo Bills,1,3,0,2.0,0,0,1,0,Home,Miami Dolphins
J.J. Watt,Houston Texans,1,6,0,1.0,0,0,1,0,Home,Kansas City Chiefs
Thomas Keiser,San Diego Chargers,1,3,0,2.0,1,0,0,0,Home,Jacksonville Jaguars
Matt Shaughnessy,Arizona Cardinals,1,3,0,1.0,0,0,1,1,Away,Seattle Seahawks
Justin Smith,San Francisco 49ers,1,3,0,2.0,0,0,0,0,Home,Tennessee Titans
Quinton Coples,New York Jets,1,3,1,1.0,0,0,1,0,Away,New England Patriots
Greg Hardy,Carolina Panthers,1,3,1,1.0,0,0,1,0,Away,St. Louis Rams
Randy Starks,Miami Dolphins,1,2,2,1.0,0,0,1,0,Away,Buffalo Bills
Calais Campbell,Arizona Cardinals,1,7,1,0.0,0,0,0,1,Away,Seattle Seahawks
Earl Mitchell,Houston Texans,1,5,0,1.0,0,0,0,0,Home,Kansas City Chiefs
Larry English,San Diego Chargers,1,4,1,1.0,0,0,0,0,Home,Jacksonville Jaguars
Cliff Avril,Seattle Seahawks,1,1,0,1.0,0,0,1,0,Home,Arizona Cardinals
Sen'Derrick Marks,Jacksonville Jaguars,1,3,0,1.0,1,0,0,0,Away,San Diego Chargers
George Selvie,Dallas Cowboys,1,1,2,1.5,0,0,0,0,Home,Philadelphia Eagles
Muhammad Wilkerson,New York Jets,1,3,2,1.0,0,0,0,0,Away,New England Patriots
Jason Hatcher,Dallas Cowboys,1,3,1,1.0,0,0,0,0,Home,Philadelphia Eagles
Peria Jerry,Atlanta Falcons,1,3,1,1.0,0,0,0,0,Away,Tampa Bay Buccaneers
Antonio Johnson,Tennessee Titans,1,3,1,1.0,0,0,0,0,Away,San Francisco 49ers
Barry Cofield,Washington Redskins,1,3,0,1.0,0,0,0,0,Away,Chicago Bears
Tony McDaniel,Seattle Seahawks,1,3,0,1.0,0,0,0,0,Home,Arizona Cardinals
Robert Quinn,St. Louis Rams,1,3,0,1.0,0,0,0,0,Home,Carolina Panthers
Ndamukong Suh,Detroit Lions,1,3,0,1.0,0,0,0,0,Away,Cincinnati Bengals
Justin Tuck,New York Giants,1,2,2,1.0,0,0,0,0,Away,Minnesota Vikings
Olivier Vernon,Miami Dolphins,1,3,0,1.0,0,0,0,0,Away,Buffalo Bills
Chris Baker,Washington Redskins,1,2,1,1.0,0,0,0,0,Away,Chicago Bears
Tyson Alualu,Jacksonville Jaguars,1,6,0,0.0,0,0,0,0,Away,San Diego Chargers
Michael Bennett,Seattle Seahawks,1,2,0,1.0,0,0,0,0,Home,Arizona Cardinals
Jurrell Casey,Tennessee Titans,1,2,0,1.0,0,0,0,0,Away,San Francisco 49ers
Charles Johnson,Carolina Panthers,1,2,0,1.0,0,0,0,0,Away,St. Louis Rams
Clinton McDonald,Seattle Seahawks,1,2,0,1.0,0,0,0,0,Home,Arizona Cardinals
Jared Allen,Minnesota Vikings,1,3,1,0.5,0,0,0,0,Home,New York Giants
Colin Cole,Carolina Panthers,1,1,1,1.0,0,0,0,0,Away,St. Louis Rams
Terrance Knighton,Denver Broncos,1,1,1,1.0,0,0,0,0,Home,Indianapolis Colts
Fili Moala,Indianapolis Colts,1,1,1,1.0,0,0,0,0,Away,Denver Broncos
Connor Barwin,Philadelphia Eagles,1,4,0,0.0,1,0,0,0,Away,Dallas Cowboys
Chris Clemons,Seattle Seahawks,1,1,0,1.0,0,0,0,0,Home,Arizona Cardinals
Vinny Curry,Philadelphia Eagles,1,1,0,1.0,0,0,0,0,Away,Dallas Cowboys
Mike Daniels,Green Bay Packers,1,1,0,1.0,0,0,0,0,Away,Cleveland Browns
Marcell Dareus,Buffalo Bills,1,4,2,0.0,0,0,0,0,Home,Miami Dolphins
Corey Liuget,San Diego Chargers,1,1,0,1.0,0,0,0,0,Home,Jacksonville Jaguars
Star Lotulelei,Carolina Panthers,1,4,2,0.0,0,0,0,0,Away,St. Louis Rams
Haloti Ngata,Baltimore Ravens,1,2,2,0.5,0,0,0,0,Home,Pittsburgh Steelers
Kawann Short,Carolina Panthers,1,3,0,0.0,0,0,0,1,Away,St. Louis Rams
Cedric Thornton,Philadelphia Eagles,1,5,0,0.0,0,0,0,0,Away,Dallas Cowboys
Brandon Williams,Baltimore Ravens,1,1,0,1.0,0,0,0,0,Home,Pittsburgh Steelers
Kevin Williams,Minnesota Vikings,1,1,2,0.5,1,0,0,0,Home,New York Giants
Rob Ninkovich,New England Patriots,1,3,3,0.0,0,0,0,0,Home,New York Jets
Dontari Poe,Kansas City Chiefs,1,3,1,0.0,1,0,0,0,Away,Houston Texans
