Player,Team,G,Tackle,Assist,Sack,PD,INT,FF,FR,Home or Away,Opponent
Greg Hardy,Carolina Panthers,1,5,1,4.0,0,0,0,0,Home,Atlanta Falcons
J.J. Watt,Houston Texans,1,9,0,1.0,1,0,1,0,Home,Tennessee Titans
Justin Tuck,New York Giants,1,4,2,2.0,0,0,1,0,Away,Washington Redskins
Jason Hatcher,Dallas Cowboys,1,4,0,2.0,0,0,1,0,Away,Philadelphia Eagles
Robert Mathis,Indianapolis Colts,1,4,2,2.0,0,0,0,0,Away,Jacksonville Jaguars
Jared Allen,Minnesota Vikings,1,3,1,2.0,1,0,0,0,Away,Detroit Lions
Nick Fairley,Detroit Lions,1,2,3,1.5,0,0,1,0,Home,Minnesota Vikings
Adrian Clayborn,Tampa Bay Buccaneers,1,6,4,1.0,0,0,0,0,Home,New Orleans Saints
Cullen Jenkins,New York Giants,1,3,1,1.0,0,0,1,0,Away,Washington Redskins
Charles Johnson,Carolina Panthers,1,2,0,2.0,0,0,0,0,Home,Atlanta Falcons
Brett Keisel,Pittsburgh Steelers,1,3,0,1.0,0,0,1,0,Away,Cleveland Browns
Calais Campbell,Arizona Cardinals,1,4,1,1.0,0,0,0,0,Away,San Francisco 49ers
Allen Bailey,Kansas City Chiefs,1,7,2,0.0,0,0,0,0,Home,San Diego Chargers
Malik Jackson,Denver Broncos,1,4,0,1.0,0,0,0,0,Home,Oakland Raiders
Rob Ninkovich,New England Patriots,1,3,2,1.0,0,0,0,0,Away,Buffalo Bills
Corey Liuget,San Diego Chargers,1,3,1,1.0,0,0,0,0,Away,Kansas City Chiefs
Robert Quinn,St. Louis Rams,1,2,3,1.0,0,0,0,0,Home,Seattle Seahawks
Billy Winn,Cleveland Browns,1,3,1,1.0,0,0,0,0,Home,Pittsburgh Steelers
Kendall Langford,St. Louis Rams,1,2,2,1.0,0,0,0,0,Home,Seattle Seahawks
Chris Long,St. Louis Rams,1,2,2,1.0,0,0,0,0,Home,Seattle Seahawks
Clinton McDonald,Seattle Seahawks,1,1,4,1.0,0,0,0,0,Away,St. Louis Rams
Chris Baker,Washington Redskins,1,6,1,0.0,0,0,0,0,Home,New York Giants
Cameron Heyward,Pittsburgh Steelers,1,2,1,1.0,0,0,0,0,Away,Cleveland Browns
Michael Johnson,Cincinnati Bengals,1,2,3,0.5,1,0,0,0,Away,Baltimore Ravens
Kendall Reyes,San Diego Chargers,1,2,1,1.0,0,0,0,0,Away,Kansas City Chiefs
Dan Williams,Arizona Cardinals,1,1,1,1.0,1,0,0,0,Away,San Francisco 49ers
Frank Alexander,Carolina Panthers,1,1,2,1.0,0,0,0,0,Home,Atlanta Falcons
Haloti Ngata,Baltimore Ravens,1,5,2,0.0,0,0,0,0,Home,Cincinnati Bengals
Domata Peko,Cincinnati Bengals,1,4,4,0.0,0,0,0,0,Away,Baltimore Ravens
Kevin Williams,Minnesota Vikings,1,2,0,1.0,0,0,0,0,Away,Detroit Lions
Michael Bennett,Seattle Seahawks,1,1,1,1.0,0,0,0,0,Away,St. Louis Rams
Jaye Howard,Kansas City Chiefs,1,5,1,0.0,0,0,0,0,Home,San Diego Chargers
Star Lotulelei,Carolina Panthers,1,1,1,1.0,0,0,0,0,Home,Atlanta Falcons
Mike Neal,Green Bay Packers,1,5,1,0.0,0,0,0,0,Home,Chicago Bears
Jerrell Powe,Kansas City Chiefs,1,1,1,1.0,0,0,0,0,Home,San Diego Chargers
Eugene Sims,St. Louis Rams,1,1,1,1.0,0,0,0,0,Home,Seattle Seahawks
Jason Babin,Jacksonville Jaguars,1,1,0,1.0,0,0,0,0,Home,Indianapolis Colts
Michael Brockers,St. Louis Rams,1,4,2,0.0,0,0,0,0,Home,Seattle Seahawks
Barry Cofield,Washington Redskins,1,3,2,0.0,1,0,0,0,Home,New York Giants
Everson Griffen,Minnesota Vikings,1,1,0,1.0,0,0,0,0,Away,Detroit Lions
Linval Joseph,New York Giants,1,2,2,0.0,0,0,0,1,Away,Washington Redskins
DeMarcus Ware,Dallas Cowboys,1,2,2,0.0,0,0,0,1,Away,Philadelphia Eagles
Sammie Lee Hill,Tennessee Titans,1,2,1,0.0,0,0,0,1,Away,Houston Texans
Jabaal Sheard,Cleveland Browns,1,3,1,0.0,1,0,0,0,Home,Pittsburgh Steelers
Ndamukong Suh,Detroit Lions,1,2,1,0.0,2,0,0,0,Home,Minnesota Vikings
Tony McDaniel,Seattle Seahawks,1,3,0,0.0,1,0,0,0,Away,St. Louis Rams
Brandon Mebane,Seattle Seahawks,1,2,4,0.0,0,0,0,0,Away,St. Louis Rams
Cam Thomas,San Diego Chargers,1,4,0,0.0,0,0,0,0,Away,Kansas City Chiefs
Mathias Kiwanuka,New York Giants,1,1,3,0.0,1,0,0,0,Away,Washington Redskins
Matt Shaughnessy,Arizona Cardinals,1,3,1,0.0,0,0,0,0,Away,San Francisco 49ers
