Player,Team,G,FGM,FGA,FG%,EPM,EPA,Home or Away,Opponent
Steve Hauschka,Seattle Seahawks,1,4,4,100.0%,3,3,Home,Atlanta Falcons
Shaun Suisham,Pittsburgh Steelers,1,3,3,100.0%,2,2,Away,Buffalo Bills
Blair Walsh,Minnesota Vikings,1,2,2,100.0%,4,4,Away,Washington Redskins
Rob Bironas,Tennessee Titans,1,2,2,100.0%,3,3,Away,Jacksonville Jaguars
Phil Dawson,San Francisco 49ers,1,3,3,100.0%,0,0,Away,Carolina Panthers
Jay Feely,Arizona Cardinals,1,2,2,100.0%,3,3,Away,Houston Texans
Kai Forbath,Washington Redskins,1,2,2,100.0%,3,3,Home,Minnesota Vikings
Alex Henery,Philadelphia Eagles,1,2,3,66.7%,3,3,Home,Green Bay Packers
Josh Scobee,Jacksonville Jaguars,1,2,2,100.0%,3,3,Home,Tennessee Titans
Sebastian Janikowski,Oakland Raiders,1,2,2,100.0%,2,2,Home,New York Giants
Rian Lindell,Tampa Bay Buccaneers,1,2,2,100.0%,2,2,Away,Miami Dolphins
Nick Novak,San Diego Chargers,1,2,3,66.7%,2,2,Away,Denver Broncos
Justin Tucker,Baltimore Ravens,1,2,2,100.0%,2,2,Away,Cincinnati Bengals
Greg Zuerlein,St. Louis Rams,1,1,1,100.0%,5,5,Home,Indianapolis Colts
Mason Crosby,Green Bay Packers,1,2,4,50.0%,1,1,Away,Philadelphia Eagles
Robbie Gould,Chicago Bears,1,2,2,100.0%,1,1,Away,Detroit Lions
Garrett Hartley,New Orleans Saints,1,0,1,0.0%,7,7,Away,Dallas Cowboys
Caleb Sturgis,Miami Dolphins,1,2,2,100.0%,1,1,Home,Tampa Bay Buccaneers
Josh Brown,New York Giants,1,1,1,100.0%,3,3,Away,Oakland Raiders
Randy Bullock,Houston Texans,1,1,2,50.0%,3,3,Home,Arizona Cardinals
Dan Bailey,Dallas Cowboys,1,1,1,100.0%,2,2,Home,New Orleans Saints
Mike Nugent,Cincinnati Bengals,1,1,2,50.0%,2,2,Home,Baltimore Ravens
Matt Bryant,Atlanta Falcons,1,1,1,100.0%,1,1,Away,Seattle Seahawks
Dan Carpenter,Buffalo Bills,1,1,1,100.0%,1,1,Home,Pittsburgh Steelers
Graham Gano,Carolina Panthers,1,1,2,50.0%,1,1,Home,San Francisco 49ers
Matt Prater,Denver Broncos,1,0,0,0.0%,4,4,Home,San Diego Chargers
David Akers,Detroit Lions,1,0,1,0.0%,3,3,Home,Chicago Bears
