Player,Team,G,PassingComp,PassingAtt,PassingYard,PassingTD,PassingINT,RushingAtt,RushingYard,RushingTD,Home or Away,Opponent
Nick Foles,Philadelphia Eagles,1,22,28,406,7,0,3,14,0,Home,Oakland Raiders
Tom Brady,New England Patriots,1,23,33,432,4,0,1,-1,0,Away,Pittsburgh Steelers
Ben Roethlisberger,Pittsburgh Steelers,1,28,48,400,4,2,2,-1,0,Home,New England Patriots
Case Keenum,Houston Texans,1,20,34,350,3,0,3,26,0,Away,Indianapolis Colts
Russell Wilson,Seattle Seahawks,1,19,26,217,2,2,6,36,1,Away,Tampa Bay Buccaneers
Jason Campbell,Cleveland Browns,1,23,35,262,3,0,3,20,0,Away,Baltimore Ravens
Drew Brees,New Orleans Saints,1,30,51,382,2,2,1,-1,0,Home,New York Jets
Philip Rivers,San Diego Chargers,1,29,46,341,2,2,2,14,0,Home,Washington Redskins
Tony Romo,Dallas Cowboys,1,34,51,337,2,1,1,8,0,Away,Minnesota Vikings
Andrew Luck,Indianapolis Colts,1,18,40,271,3,0,0,0,0,Home,Houston Texans
Christian Ponder,Minnesota Vikings,1,25,37,236,1,1,4,29,1,Home,Dallas Cowboys
Cam Newton,Carolina Panthers,1,23,37,249,1,2,5,22,1,Away,Atlanta Falcons
Josh McCown,Chicago Bears,1,22,41,272,2,0,1,20,0,Home,Green Bay Packers
Joe Flacco,Baltimore Ravens,1,24,41,250,2,1,3,25,0,Home,Cleveland Browns
Andy Dalton,Cincinnati Bengals,1,32,53,338,0,3,5,12,0,Home,Miami Dolphins
Mike Glennon,Tampa Bay Buccaneers,1,17,23,168,2,0,4,13,0,Home,Seattle Seahawks
Jeff Tuel,Buffalo Bills,1,18,39,229,1,2,3,17,0,Away,Kansas City Chiefs
Ryan Tannehill,Miami Dolphins,1,20,28,208,0,0,1,1,1,Away,Cincinnati Bengals
Robert Griffin III,Washington Redskins,1,23,32,291,0,1,6,17,0,Away,San Diego Chargers
Jake Locker,Tennessee Titans,1,13,22,185,0,2,3,10,1,Home,St. Louis Rams
Kellen Clemens,St. Louis Rams,1,20,35,210,1,0,1,16,0,Away,Tennessee Titans
Matt Ryan,Atlanta Falcons,1,20,27,219,1,3,2,2,0,Home,Carolina Panthers
Geno Smith,New York Jets,1,8,19,115,0,0,6,18,1,Away,New Orleans Saints
Alex Smith,Kansas City Chiefs,1,19,29,124,0,0,4,7,0,Home,Buffalo Bills
Seneca Wallace,Green Bay Packers,1,11,19,114,0,1,0,0,0,Away,Chicago Bears
Matt McGloin,Oakland Raiders,1,7,15,87,0,0,0,0,0,Away,Philadelphia Eagles
Aaron Rodgers,Green Bay Packers,1,1,2,27,0,0,1,9,0,Away,Chicago Bears
Matt Barkley,Philadelphia Eagles,1,2,3,13,0,0,2,-2,0,Home,Oakland Raiders
Brandon Weeden,Cleveland Browns,1,1,2,-2,0,0,0,0,0,Away,Baltimore Ravens
