Player,Team,G,FGM,FGA,FG%,EPM,EPA,Home or Away,Opponent
David Akers,Detroit Lions,1,4,4,100.0%,4,4,Away,Chicago Bears
Adam Vinatieri,Indianapolis Colts,1,3,3,100.0%,4,4,Home,Jacksonville Jaguars
Stephen Gostkowski,New England Patriots,1,3,3,100.0%,3,3,Home,Atlanta Falcons
Nick Novak,San Diego Chargers,1,3,3,100.0%,3,3,Away,Dallas Cowboys
Matt Bryant,Atlanta Falcons,1,3,3,100.0%,2,2,Away,New England Patriots
Dan Carpenter,Buffalo Bills,1,3,3,100.0%,2,2,Away,Baltimore Ravens
Steve Hauschka,Seattle Seahawks,1,3,3,100.0%,2,2,Home,Houston Texans
Robbie Gould,Chicago Bears,1,3,3,100.0%,1,1,Home,Detroit Lions
Matt Prater,Denver Broncos,1,1,1,100.0%,7,7,Away,Philadelphia Eagles
Blair Walsh,Minnesota Vikings,1,2,3,66.7%,4,4,Away,Pittsburgh Steelers
Shaun Suisham,Pittsburgh Steelers,1,2,2,100.0%,3,3,Home,Minnesota Vikings
Rob Bironas,Tennessee Titans,1,1,1,100.0%,5,5,Away,New York Jets
Randy Bullock,Houston Texans,1,2,2,100.0%,2,2,Away,Seattle Seahawks
Garrett Hartley,New Orleans Saints,1,1,2,50.0%,5,5,Away,Miami Dolphins
Alex Henery,Philadelphia Eagles,1,2,3,66.7%,2,2,Home,Denver Broncos
Justin Tucker,Baltimore Ravens,1,2,2,100.0%,2,2,Home,Buffalo Bills
Jay Feely,Arizona Cardinals,1,2,2,100.0%,1,1,Home,Tampa Bay Buccaneers
Nick Folk,New York Jets,1,2,2,100.0%,1,1,Home,Tennessee Titans
Ryan Succop,Kansas City Chiefs,1,1,1,100.0%,4,4,Away,New York Giants
Mike Nugent,Cincinnati Bengals,1,2,2,100.0%,0,0,Home,Cleveland Browns
John Potter,Washington Redskins,1,1,1,100.0%,3,3,Home,Oakland Raiders
Billy Cundiff,Cleveland Browns,1,1,3,33.3%,2,2,Away,Cincinnati Bengals
Phil Dawson,San Francisco 49ers,1,0,2,0.0%,5,5,Home,St. Louis Rams
Caleb Sturgis,Miami Dolphins,1,1,1,100.0%,2,2,Home,New Orleans Saints
Rian Lindell,Tampa Bay Buccaneers,1,1,1,100.0%,1,1,Away,Arizona Cardinals
Dan Bailey,Dallas Cowboys,1,0,1,0.0%,3,3,Home,San Diego Chargers
Josh Scobee,Jacksonville Jaguars,1,1,1,100.0%,0,0,Away,Indianapolis Colts
Greg Zuerlein,St. Louis Rams,1,1,1,100.0%,0,0,Away,San Francisco 49ers
Sebastian Janikowski,Oakland Raiders,1,0,1,0.0%,2,2,Away,Washington Redskins
Josh Brown,New York Giants,1,0,1,0.0%,1,1,Home,Kansas City Chiefs
