Player,Team,G,FGM,FGA,FG%,EPM,EPA,Home or Away,Opponent
Shaun Suisham,Pittsburgh Steelers,1,4,4,100.0%,1,1,Away,Baltimore Ravens
Adam Vinatieri,Indianapolis Colts,1,3,3,100.0%,4,4,Away,Denver Broncos
Nick Folk,New York Jets,1,3,3,100.0%,3,3,Away,New England Patriots
Graham Gano,Carolina Panthers,1,3,3,100.0%,3,3,Away,St. Louis Rams
Josh Brown,New York Giants,1,3,3,100.0%,2,2,Away,Minnesota Vikings
Dan Carpenter,Buffalo Bills,1,3,3,100.0%,2,2,Home,Miami Dolphins
Robbie Gould,Chicago Bears,1,2,3,66.7%,5,5,Home,Washington Redskins
Rian Lindell,Tampa Bay Buccaneers,1,3,3,100.0%,2,2,Home,Atlanta Falcons
Randy Bullock,Houston Texans,1,3,3,100.0%,1,1,Home,Kansas City Chiefs
Jay Feely,Arizona Cardinals,1,3,3,100.0%,1,1,Away,Seattle Seahawks
Steve Hauschka,Seattle Seahawks,1,2,2,100.0%,4,4,Home,Arizona Cardinals
Justin Tucker,Baltimore Ravens,1,3,3,100.0%,1,1,Home,Pittsburgh Steelers
Kai Forbath,Washington Redskins,1,1,1,100.0%,6,6,Away,Chicago Bears
Stephen Gostkowski,New England Patriots,1,2,2,100.0%,3,3,Home,New York Jets
Mike Nugent,Cincinnati Bengals,1,2,3,66.7%,3,3,Home,Detroit Lions
Matt Prater,Denver Broncos,1,2,2,100.0%,3,3,Home,Indianapolis Colts
Matt Bryant,Atlanta Falcons,1,1,1,100.0%,4,4,Away,Tampa Bay Buccaneers
Mason Crosby,Green Bay Packers,1,1,2,50.0%,4,4,Away,Cleveland Browns
Billy Cundiff,Cleveland Browns,1,2,2,100.0%,1,1,Home,Green Bay Packers
Phil Dawson,San Francisco 49ers,1,1,1,100.0%,4,4,Home,Tennessee Titans
Greg Zuerlein,St. Louis Rams,1,2,2,100.0%,1,1,Home,Carolina Panthers
David Akers,Detroit Lions,1,1,2,50.0%,3,3,Away,Cincinnati Bengals
Nick Novak,San Diego Chargers,1,1,1,100.0%,3,3,Home,Jacksonville Jaguars
Josh Scobee,Jacksonville Jaguars,1,2,2,100.0%,0,0,Away,San Diego Chargers
Dan Bailey,Dallas Cowboys,1,1,1,100.0%,2,2,Home,Philadelphia Eagles
Rob Bironas,Tennessee Titans,1,1,1,100.0%,2,2,Away,San Francisco 49ers
Ryan Succop,Kansas City Chiefs,1,1,1,100.0%,2,2,Away,Houston Texans
Alex Henery,Philadelphia Eagles,1,1,2,50.0%,0,0,Away,Dallas Cowboys
Caleb Sturgis,Miami Dolphins,1,0,1,0.0%,3,3,Away,Buffalo Bills
Blair Walsh,Minnesota Vikings,1,0,1,0.0%,1,1,Home,New York Giants
