Player,Team,G,RushingAtt,RushingYard,RushingTD,ReceivingTarget,ReceivingRec,ReceivingYard,ReceivingTD,Home or Away,Opponent,Week
Zac Stacy,St. Louis Rams,1,27,127,2,7,6,51,0,Away,Tennessee Titans,9
Chris Johnson,Tennessee Titans,1,23,150,2,4,3,20,0,Home,St. Louis Rams,9
Stevan Ridley,New England Patriots,1,26,115,2,4,3,9,0,Away,Pittsburgh Steelers,9
Matt Forte,Chicago Bears,1,24,125,1,8,5,54,0,Home,Green Bay Packers,9
Adrian Peterson,Minnesota Vikings,1,25,140,1,3,3,37,0,Home,Dallas Cowboys,9
Rashad Jennings,Oakland Raiders,1,15,102,1,10,7,74,0,Away,Philadelphia Eagles,9
Giovani Bernard,Cincinnati Bengals,1,9,79,2,4,4,25,0,Home,Miami Dolphins,9
Eddie Lacy,Green Bay Packers,1,22,150,1,0,0,0,0,Away,Chicago Bears,9
Chris Ivory,New York Jets,1,18,139,1,0,0,0,0,Away,New Orleans Saints,9
Darrel Young,Washington Redskins,1,5,12,3,0,0,0,0,Away,San Diego Chargers,9
Alfred Morris,Washington Redskins,1,25,121,1,0,0,0,0,Away,San Diego Chargers,9
Mike James,Tampa Bay Buccaneers,1,28,158,0,2,2,8,0,Home,Seattle Seahawks,9
C.J. Spiller,Buffalo Bills,1,12,116,0,3,2,39,0,Away,Kansas City Chiefs,9
Marshawn Lynch,Seattle Seahawks,1,21,125,0,5,4,16,0,Away,Tampa Bay Buccaneers,9
LeSean McCoy,Philadelphia Eagles,1,12,44,0,4,4,36,1,Home,Oakland Raiders,9
Le'Veon Bell,Pittsburgh Steelers,1,16,74,0,10,4,65,0,Home,New England Patriots,9
Lamar Miller,Miami Dolphins,1,16,105,0,4,4,24,0,Away,Cincinnati Bengals,9
Shonn Greene,Tennessee Titans,1,9,38,1,1,1,28,0,Home,St. Louis Rams,9
LeGarrette Blount,New England Patriots,1,5,47,1,0,0,0,0,Away,Pittsburgh Steelers,9
James Starks,Green Bay Packers,1,6,40,1,0,0,0,0,Away,Chicago Bears,9
Fred Jackson,Buffalo Bills,1,16,77,0,2,1,22,0,Away,Kansas City Chiefs,9
Danny Woodhead,San Diego Chargers,1,7,21,0,12,9,77,0,Home,Washington Redskins,9
Mike Tolbert,Carolina Panthers,1,6,24,1,4,3,13,0,Away,Atlanta Falcons,9
Jamaal Charles,Kansas City Chiefs,1,17,90,0,7,6,6,0,Home,Buffalo Bills,9
