Player,Team,G,PassingComp,PassingAtt,PassingYard,PassingTD,PassingINT,RushingAtt,RushingYard,RushingTD,Home or Away,Opponent,Week
Ryan Fitzpatrick,Tennessee Titans,1,36,58,402,4,2,3,22,0,Away,Arizona Cardinals,15
Nick Foles,Philadelphia Eagles,1,30,48,428,3,1,5,41,0,Home,Minnesota Vikings,15
Alex Smith,Kansas City Chiefs,1,17,20,287,5,0,4,17,0,Home,Oakland Raiders,15
Matt Cassel,Minnesota Vikings,1,26,35,382,2,1,3,19,1,Away,Philadelphia Eagles,15
Kirk Cousins,Washington Redskins,1,29,45,381,3,2,0,0,0,Home,Atlanta Falcons,15
Matt Flynn,Green Bay Packers,1,26,39,299,4,1,3,-3,0,Home,Dallas Cowboys,15
Drew Brees,New Orleans Saints,1,39,56,393,1,2,2,8,1,Home,St. Louis Rams,15
Ryan Tannehill,Miami Dolphins,1,25,37,312,3,0,1,-1,0,Away,New England Patriots,15
EJ Manuel,Buffalo Bills,1,17,24,193,2,1,10,37,1,Home,Jacksonville Jaguars,15
Jay Cutler,Chicago Bears,1,22,31,265,3,2,3,11,0,Home,Cleveland Browns,15
Tom Brady,New England Patriots,1,34,55,364,2,1,0,0,0,Home,Miami Dolphins,15
Tony Romo,Dallas Cowboys,1,29,48,358,2,2,0,0,0,Away,Green Bay Packers,15
Matt McGloin,Oakland Raiders,1,18,36,297,2,4,1,0,0,Away,Kansas City Chiefs,15
Peyton Manning,Denver Broncos,1,27,41,289,2,1,0,0,0,Away,San Diego Chargers,15
Chad Henne,Jacksonville Jaguars,1,21,36,237,2,2,4,22,0,Away,Buffalo Bills,15
Colin Kaepernick,San Francisco 49ers,1,19,29,203,2,0,7,39,0,Home,Tampa Bay Buccaneers,15
Andy Dalton,Cincinnati Bengals,1,25,44,230,2,0,4,20,0,Home,Pittsburgh Steelers,15
Andrew Luck,Indianapolis Colts,1,19,32,180,2,1,5,29,0,Away,Houston Texans,15
Jason Campbell,Cleveland Browns,1,23,39,273,1,2,1,17,0,Away,Chicago Bears,15
Russell Wilson,Seattle Seahawks,1,18,27,206,1,1,8,50,0,Home,New York Giants,15
Cam Newton,Carolina Panthers,1,16,24,273,1,0,7,12,0,Away,New York Jets,15
Philip Rivers,San Diego Chargers,1,12,20,166,2,0,3,9,0,Home,Denver Broncos,15
Mike Glennon,Tampa Bay Buccaneers,1,18,34,179,2,1,0,0,0,Away,San Francisco 49ers,15
Geno Smith,New York Jets,1,15,28,167,1,1,6,44,0,Home,Carolina Panthers,15
Matthew Stafford,Detroit Lions,1,18,34,235,1,3,2,9,0,Away,Baltimore Ravens,15
Kellen Clemens,St. Louis Rams,1,14,20,158,2,0,3,5,0,Away,New Orleans Saints,15
Carson Palmer,Arizona Cardinals,1,20,30,231,1,0,2,-1,0,Home,Tennessee Titans,15
Matt Ryan,Atlanta Falcons,1,29,38,210,1,1,1,-1,0,Away,Washington Redskins,15
Ben Roethlisberger,Pittsburgh Steelers,1,20,25,191,1,1,0,0,0,Away,Cincinnati Bengals,15
Joe Flacco,Baltimore Ravens,1,20,38,222,0,0,2,13,0,Home,Detroit Lions,15
Case Keenum,Houston Texans,1,18,34,168,0,2,1,2,0,Home,Indianapolis Colts,15
Eli Manning,New York Giants,1,18,31,156,0,5,0,0,0,Away,Seattle Seahawks,15
Curtis Painter,New York Giants,1,4,4,30,0,0,0,0,0,Away,Seattle Seahawks,15
Chase Daniel,Kansas City Chiefs,1,3,5,31,0,0,1,-1,0,Home,Oakland Raiders,15
Tarvaris Jackson,Seattle Seahawks,1,2,2,16,0,0,0,0,0,Home,New York Giants,15
