Player,Team,G,ReceivingTarget,ReceivingRec,ReceivingYard,ReceivingTD,RushingAtt,RushingYard,RushingTD,Home or Away,Opponent,Week
Calvin Johnson,Detroit Lions,1,13,6,179,2,0,0,0,Home,Pittsburgh Steelers,11
Antonio Brown,Pittsburgh Steelers,1,13,7,147,2,1,-8,0,Away,Detroit Lions,11
Michael Floyd,Arizona Cardinals,1,11,6,193,1,0,0,0,Home,Jacksonville Jaguars,11
Vincent Jackson,Tampa Bay Buccaneers,1,12,10,165,1,0,0,0,Away,Atlanta Falcons,11
Harry Douglas,Atlanta Falcons,1,9,6,134,1,0,0,0,Home,Tampa Bay Buccaneers,11
Jarius Wright,Minnesota Vikings,1,4,3,69,2,0,0,0,Home,Seattle Seahawks,11
Josh Gordon,Cleveland Browns,1,15,5,125,1,0,0,0,Home,Cincinnati Bengals,11
Marquise Goodwin,Buffalo Bills,1,9,6,81,1,1,17,0,Away,New York Jets,11
Rod Streater,Oakland Raiders,1,8,6,84,1,1,8,0,Home,Houston Texans,11
T.J. Graham,Buffalo Bills,1,4,2,74,1,1,-3,0,Away,New York Jets,11
Doug Baldwin,Seattle Seahawks,1,2,2,63,1,0,0,0,Away,Minnesota Vikings,11
Larry Fitzgerald,Arizona Cardinals,1,9,6,61,1,0,0,0,Home,Jacksonville Jaguars,11
Demaryius Thomas,Denver Broncos,1,13,5,121,0,0,0,0,Away,Kansas City Chiefs,11
Aldrick Robinson,Washington Redskins,1,3,2,60,1,0,0,0,Home,Philadelphia Eagles,11
Brandon LaFell,Carolina Panthers,1,8,7,59,1,0,0,0,Away,New England Patriots,11
Dwayne Bowe,Kansas City Chiefs,1,14,4,57,1,0,0,0,Home,Denver Broncos,11
Jordy Nelson,Green Bay Packers,1,9,8,117,0,0,0,0,Home,New York Giants,11
Anquan Boldin,San Francisco 49ers,1,9,6,56,1,0,0,0,Home,New Orleans Saints,11
Andre Johnson,Houston Texans,1,17,10,116,0,0,0,0,Away,Oakland Raiders,11
Victor Cruz,New York Giants,1,11,8,110,0,0,0,0,Away,Green Bay Packers,11
Jerricho Cotchery,Pittsburgh Steelers,1,5,3,48,1,0,0,0,Away,Detroit Lions,11
Alshon Jeffery,Chicago Bears,1,11,7,83,0,3,17,0,Away,Baltimore Ravens,11
Rueben Randle,New York Giants,1,3,3,37,1,0,0,0,Away,Green Bay Packers,11
Roddy White,Atlanta Falcons,1,9,3,36,1,0,0,0,Home,Tampa Bay Buccaneers,11
Torrey Smith,Baltimore Ravens,1,8,5,32,1,0,0,0,Home,Chicago Bears,11
Jarrett Boykin,Green Bay Packers,1,8,6,91,0,0,0,0,Home,New York Giants,11
Ted Ginn Jr.,Carolina Panthers,1,3,1,25,1,0,0,0,Away,New England Patriots,11
DeSean Jackson,Philadelphia Eagles,1,4,4,82,0,0,0,0,Away,Washington Redskins,11
Marques Colston,New Orleans Saints,1,8,5,80,0,0,0,0,Away,San Francisco 49ers,11
