Player,Team,G,Tackle,Assist,Sack,PD,INT,FF,FR,Home or Away,Opponent
DeAngelo Hall,Washington Redskins,1,4,0,0.0,3,2,0,0,Home,Denver Broncos
Adam Jones,Cincinnati Bengals,1,6,1,0.0,2,1,0,0,Away,New York Jets
Dominique Rodgers-Cromartie,Denver Broncos,1,4,1,0.0,3,1,0,0,Away,Washington Redskins
Terrell Thomas,New York Giants,1,10,1,1.0,1,0,1,0,Home,Philadelphia Eagles
Antrel Rolle,New York Giants,1,4,1,1.0,1,1,1,0,Home,Philadelphia Eagles
Logan Ryan,New England Patriots,1,5,0,2.0,1,0,1,0,Away,Miami Dolphins
Chris Crocker,Cincinnati Bengals,1,4,1,0.0,1,1,0,0,Away,New York Jets
Rashad Johnson,Arizona Cardinals,1,1,0,0.0,3,2,0,0,Away,Atlanta Falcons
Troy Polamalu,Pittsburgh Steelers,1,3,0,1.0,2,1,0,0,Home,Oakland Raiders
T.J. Ward,Cleveland Browns,1,10,0,1.0,0,0,0,0,Home,Kansas City Chiefs
Tyrann Mathieu,Arizona Cardinals,1,6,1,0.0,2,1,0,0,Away,Atlanta Falcons
Rahim Moore,Denver Broncos,1,6,0,0.0,1,1,0,0,Away,Washington Redskins
Brandon Carr,Dallas Cowboys,1,7,2,0.0,1,0,0,1,Home,Detroit Lions
Barry Church,Dallas Cowboys,1,7,2,0.0,0,0,1,0,Home,Detroit Lions
Will Hill,New York Giants,1,5,0,0.0,1,1,0,0,Home,Philadelphia Eagles
Earl Thomas,Seattle Seahawks,1,10,0,0.0,1,0,0,0,Home,St. Louis Rams
Ryan Clark,Pittsburgh Steelers,1,9,3,0.0,0,0,0,0,Home,Oakland Raiders
Mike Jenkins,Oakland Raiders,1,4,1,0.0,1,1,0,0,Away,Pittsburgh Steelers
Dimitri Patterson,Miami Dolphins,1,3,1,0.0,2,1,0,0,Home,New England Patriots
Chris Harris,Denver Broncos,1,3,0,0.0,2,1,0,0,Away,Washington Redskins
Bradley Fletcher,Philadelphia Eagles,1,8,1,0.0,1,0,0,0,Away,New York Giants
Alfonzo Dennard,New England Patriots,1,9,0,0.0,0,0,0,0,Away,Miami Dolphins
Tashaun Gipson,Cleveland Browns,1,9,0,0.0,0,0,0,0,Home,Kansas City Chiefs
Keenan Lewis,New Orleans Saints,1,2,0,0.0,2,1,0,0,Away,Buffalo Bills
Eric Reid,San Francisco 49ers,1,8,0,0.0,1,0,0,0,Home,Jacksonville Jaguars
Asante Samuel,Atlanta Falcons,1,3,0,0.0,1,1,0,0,Home,Arizona Cardinals
Richard Sherman,Seattle Seahawks,1,3,0,0.0,1,1,0,0,Home,St. Louis Rams
Tracy Porter,Oakland Raiders,1,1,1,0.0,2,1,0,0,Away,Pittsburgh Steelers
Bacarri Rambo,Washington Redskins,1,8,1,0.0,0,0,0,0,Home,Denver Broncos
Michael Adams,Tampa Bay Buccaneers,1,4,0,1.0,0,0,0,0,Away,Carolina Panthers
Prince Amukamara,New York Giants,1,5,0,0.0,0,0,1,0,Home,Philadelphia Eagles
Captain Munnerlyn,Carolina Panthers,1,5,1,0.0,2,0,0,0,Home,Tampa Bay Buccaneers
Cortez Allen,Pittsburgh Steelers,1,1,0,0.0,1,1,0,0,Home,Oakland Raiders
Marquice Cole,New England Patriots,1,1,0,0.0,1,1,0,0,Away,Miami Dolphins
Jordan Pugh,Washington Redskins,1,1,0,0.0,1,1,0,0,Home,Denver Broncos
Xavier Rhodes,Minnesota Vikings,1,7,0,0.0,0,0,0,0,Away,Green Bay Packers
Josh Wilson,Washington Redskins,1,6,0,0.0,1,0,0,0,Home,Denver Broncos
Antonio Allen,New York Jets,1,5,3,0.0,0,0,0,0,Home,Cincinnati Bengals
Mark Barron,Tampa Bay Buccaneers,1,6,1,0.0,0,0,0,0,Away,Carolina Panthers
Morgan Burnett,Green Bay Packers,1,5,3,0.0,0,0,0,0,Home,Minnesota Vikings
Chris Clemons,Miami Dolphins,1,3,7,0.0,0,0,0,0,Home,New England Patriots
Tramaine Brock,San Francisco 49ers,1,5,0,0.0,1,0,0,0,Home,Jacksonville Jaguars
Brandon Flowers,Kansas City Chiefs,1,6,0,0.0,0,0,0,0,Away,Cleveland Browns
Duron Harmon,New England Patriots,1,0,0,0.0,1,1,0,0,Away,Miami Dolphins
Reggie Nelson,Cincinnati Bengals,1,2,0,1.0,0,0,0,0,Away,New York Jets
Josh Robinson,Minnesota Vikings,1,5,2,0.0,0,0,0,0,Away,Green Bay Packers
Walter Thurmond,Seattle Seahawks,1,2,0,1.0,0,0,0,0,Home,St. Louis Rams
Corey White,New Orleans Saints,1,3,0,0.0,0,0,1,0,Away,Buffalo Bills
Melvin White,Carolina Panthers,1,6,0,0.0,0,0,0,0,Home,Tampa Bay Buccaneers
Tarell Brown,San Francisco 49ers,1,4,1,0.0,1,0,0,0,Home,Jacksonville Jaguars
