Player,Team,G,PassingComp,PassingAtt,PassingYard,PassingTD,PassingINT,RushingAtt,RushingYard,RushingTD,Home or Away,Opponent,Week
Ben Roethlisberger,Pittsburgh Steelers,1,29,45,367,4,0,6,12,0,Away,Detroit Lions,11
Cam Newton,Carolina Panthers,1,19,28,209,3,0,7,62,0,Away,New England Patriots,11
Carson Palmer,Arizona Cardinals,1,30,42,419,2,0,3,-3,0,Home,Jacksonville Jaguars,11
Matthew Stafford,Detroit Lions,1,19,46,362,2,1,3,24,0,Home,Pittsburgh Steelers,11
Nick Foles,Philadelphia Eagles,1,17,26,298,0,0,9,47,1,Away,Washington Redskins,11
Robert Griffin III,Washington Redskins,1,17,35,264,2,1,10,44,0,Home,Philadelphia Eagles,11
Alex Smith,Kansas City Chiefs,1,21,45,230,2,0,5,52,0,Home,Denver Broncos,11
Matt McGloin,Oakland Raiders,1,18,32,197,3,0,3,-3,0,Home,Houston Texans,11
EJ Manuel,Buffalo Bills,1,20,28,245,2,0,7,9,0,Away,New York Jets,11
Russell Wilson,Seattle Seahawks,1,13,18,230,2,0,2,14,0,Away,Minnesota Vikings,11
Andrew Luck,Indianapolis Colts,1,23,36,232,0,0,9,31,1,Home,Tennessee Titans,11
Matt Ryan,Atlanta Falcons,1,19,36,254,2,2,0,0,0,Home,Tampa Bay Buccaneers,11
Peyton Manning,Denver Broncos,1,24,40,323,1,0,1,0,0,Away,Kansas City Chiefs,11
Mike Glennon,Tampa Bay Buccaneers,1,20,23,231,2,0,1,4,0,Away,Atlanta Falcons,11
Philip Rivers,San Diego Chargers,1,22,34,298,1,1,2,6,0,Home,Miami Dolphins,11
Ryan Tannehill,Miami Dolphins,1,22,35,268,1,1,4,21,0,Away,San Diego Chargers,11
Drew Brees,New Orleans Saints,1,30,43,305,1,1,1,-1,0,Away,San Francisco 49ers,11
Tom Brady,New England Patriots,1,29,40,296,1,1,1,3,0,Home,Carolina Panthers,11
Eli Manning,New York Giants,1,25,35,279,1,1,1,3,0,Away,Green Bay Packers,11
Scott Tolzien,Green Bay Packers,1,24,34,339,0,3,2,11,0,Home,New York Giants,11
Ryan Fitzpatrick,Tennessee Titans,1,22,28,222,1,0,4,26,0,Away,Indianapolis Colts,11
Colin Kaepernick,San Francisco 49ers,1,17,31,127,2,1,3,25,0,Home,New Orleans Saints,11
Chad Henne,Jacksonville Jaguars,1,27,42,255,1,2,0,0,0,Away,Arizona Cardinals,11
Andy Dalton,Cincinnati Bengals,1,13,27,93,3,2,4,0,0,Away,Cleveland Browns,11
Jason Campbell,Cleveland Browns,1,27,56,248,1,3,0,0,0,Home,Cincinnati Bengals,11
Josh McCown,Chicago Bears,1,19,31,216,1,0,2,-1,0,Away,Baltimore Ravens,11
Joe Flacco,Baltimore Ravens,1,17,31,162,1,2,4,20,0,Home,Chicago Bears,11
Case Keenum,Houston Texans,1,13,24,170,1,1,0,0,0,Away,Oakland Raiders,11
Christian Ponder,Minnesota Vikings,1,13,22,129,1,2,5,0,0,Home,Seattle Seahawks,11
Matt Cassel,Minnesota Vikings,1,5,13,78,1,1,0,0,0,Home,Seattle Seahawks,11
Matt Schaub,Houston Texans,1,12,25,155,0,0,0,0,0,Away,Oakland Raiders,11
Matt Simms,New York Jets,1,4,6,60,1,0,0,0,0,Home,Buffalo Bills,11
Geno Smith,New York Jets,1,8,23,103,0,3,1,0,0,Home,Buffalo Bills,11
Dominique Davis,Atlanta Falcons,1,5,7,34,0,0,0,0,0,Home,Tampa Bay Buccaneers,11
Tarvaris Jackson,Seattle Seahawks,1,1,3,6,0,0,1,-1,0,Away,Minnesota Vikings,11
