Player,Team,G,FGM,FGA,FG%,EPM,EPA,Home or Away,Opponent
Dan Carpenter,Buffalo Bills,1,3,3,100.0%,4,4,Away,New York Jets
Shaun Suisham,Pittsburgh Steelers,1,3,3,100.0%,4,4,Away,Detroit Lions
Adam Vinatieri,Indianapolis Colts,1,3,3,100.0%,3,3,Home,Tennessee Titans
Randy Bullock,Houston Texans,1,3,3,100.0%,2,2,Away,Oakland Raiders
Robbie Gould,Chicago Bears,1,3,3,100.0%,2,2,Away,Baltimore Ravens
Garrett Hartley,New Orleans Saints,1,3,3,100.0%,2,2,Away,San Francisco 49ers
Steve Hauschka,Seattle Seahawks,1,2,2,100.0%,5,5,Away,Minnesota Vikings
Rian Lindell,Tampa Bay Buccaneers,1,2,3,66.7%,5,5,Away,Atlanta Falcons
Mike Nugent,Cincinnati Bengals,1,2,2,100.0%,5,5,Away,Cleveland Browns
Nick Novak,San Diego Chargers,1,3,3,100.0%,1,1,Home,Miami Dolphins
David Akers,Detroit Lions,1,2,2,100.0%,3,3,Home,Pittsburgh Steelers
Rob Bironas,Tennessee Titans,1,2,2,100.0%,3,3,Away,Indianapolis Colts
Josh Brown,New York Giants,1,2,2,100.0%,3,3,Away,Green Bay Packers
Jay Feely,Arizona Cardinals,1,2,2,100.0%,3,3,Home,Jacksonville Jaguars
Matt Prater,Denver Broncos,1,2,3,66.7%,3,3,Away,Kansas City Chiefs
Matt Bryant,Atlanta Falcons,1,2,2,100.0%,2,2,Home,Tampa Bay Buccaneers
Billy Cundiff,Cleveland Browns,1,2,2,100.0%,2,2,Home,Cincinnati Bengals
Phil Dawson,San Francisco 49ers,1,2,2,100.0%,2,2,Home,New Orleans Saints
Stephen Gostkowski,New England Patriots,1,2,2,100.0%,2,2,Home,Carolina Panthers
Caleb Sturgis,Miami Dolphins,1,2,2,100.0%,2,2,Away,San Diego Chargers
Justin Tucker,Baltimore Ravens,1,2,2,100.0%,2,2,Home,Chicago Bears
Blair Walsh,Minnesota Vikings,1,2,2,100.0%,2,2,Home,Seattle Seahawks
Mason Crosby,Green Bay Packers,1,2,2,100.0%,1,1,Home,New York Giants
Graham Gano,Carolina Panthers,1,1,1,100.0%,3,3,Away,New England Patriots
Alex Henery,Philadelphia Eagles,1,1,1,100.0%,3,3,Away,Washington Redskins
Ryan Succop,Kansas City Chiefs,1,1,1,100.0%,2,2,Home,Denver Broncos
Sebastian Janikowski,Oakland Raiders,1,0,1,0.0%,4,4,Home,Houston Texans
Nick Folk,New York Jets,1,0,1,0.0%,2,2,Home,Buffalo Bills
Josh Scobee,Jacksonville Jaguars,1,0,1,0.0%,2,2,Away,Arizona Cardinals
