Player,Team,G,RushingAtt,RushingYard,RushingTD,ReceivingTarget,ReceivingRec,ReceivingYard,ReceivingTD,Home or Away,Opponent,Week
Pierre Thomas,New Orleans Saints,1,17,87,1,7,7,24,1,Away,Dallas Cowboys,10
Marshawn Lynch,Seattle Seahawks,1,24,145,1,3,3,16,0,Home,Atlanta Falcons,10
Mark Ingram,New Orleans Saints,1,14,145,1,3,2,15,0,Away,Dallas Cowboys,10
Darren Sproles,New Orleans Saints,1,5,12,1,7,7,76,1,Away,Dallas Cowboys,10
Adrian Peterson,Minnesota Vikings,1,20,75,2,2,2,2,0,Away,Washington Redskins,10
Andre Brown,New York Giants,1,30,115,1,3,1,4,0,Away,Oakland Raiders,10
LeSean McCoy,Philadelphia Eagles,1,25,155,0,1,1,6,0,Home,Green Bay Packers,10
Le'Veon Bell,Pittsburgh Steelers,1,22,57,1,3,3,39,0,Away,Buffalo Bills,10
Giovani Bernard,Cincinnati Bengals,1,14,58,0,8,8,37,1,Home,Baltimore Ravens,10
DeMarco Murray,Dallas Cowboys,1,16,89,1,2,1,6,0,Home,New Orleans Saints,10
Alfred Morris,Washington Redskins,1,26,139,0,0,0,0,0,Home,Minnesota Vikings,10
Maurice Jones-Drew,Jacksonville Jaguars,1,21,41,1,4,4,33,0,Home,Tennessee Titans,10
Zac Stacy,St. Louis Rams,1,26,62,1,3,2,6,0,Home,Indianapolis Colts,10
Donald Brown,Indianapolis Colts,1,2,-1,0,5,5,64,1,Away,St. Louis Rams,10
Ryan Mathews,San Diego Chargers,1,14,59,1,2,1,2,0,Away,Denver Broncos,10
Bobby Rainey,Tampa Bay Buccaneers,1,8,45,1,1,1,11,0,Away,Miami Dolphins,10
Knowshon Moreno,Denver Broncos,1,15,65,0,8,8,49,0,Home,San Diego Chargers,10
Reggie Bush,Detroit Lions,1,14,105,0,6,3,8,0,Home,Chicago Bears,10
Rashad Jennings,Oakland Raiders,1,20,88,0,5,2,19,0,Home,New York Giants,10
DeAngelo Williams,Carolina Panthers,1,8,46,1,2,0,0,0,Home,San Francisco 49ers,10
Danny Woodhead,San Diego Chargers,1,6,27,0,5,4,17,1,Away,Denver Broncos,10
Frank Gore,San Francisco 49ers,1,16,82,0,2,2,21,0,Away,Carolina Panthers,10
Benny Cunningham,St. Louis Rams,1,7,72,0,1,1,18,0,Home,Indianapolis Colts,10
Eddie Lacy,Green Bay Packers,1,24,73,0,2,2,11,0,Away,Philadelphia Eagles,10
Andre Ellington,Arizona Cardinals,1,11,55,0,4,2,18,0,Away,Houston Texans,10
Chris Johnson,Tennessee Titans,1,12,30,0,7,5,43,0,Away,Jacksonville Jaguars,10
Brian Leonard,Tampa Bay Buccaneers,1,20,57,0,3,2,16,0,Away,Miami Dolphins,10
Jordan Todman,Jacksonville Jaguars,1,3,11,1,1,1,2,0,Home,Tennessee Titans,10
Ben Tate,Houston Texans,1,15,56,0,5,3,8,0,Home,Arizona Cardinals,10
Fred Jackson,Buffalo Bills,1,12,55,0,4,3,7,0,Home,Pittsburgh Steelers,10
