Player,Team,G,ReceivingTarget,ReceivingRec,ReceivingYard,ReceivingTD,RushingAtt,RushingYard,RushingTD,Home or Away,Opponent,Week
Victor Cruz,New York Giants,1,8,5,118,3,0,0,0,Home,Dallas Cowboys,1
A.J. Green,Cincinnati Bengals,1,13,9,162,2,0,0,0,Home,Chicago Bears,1
Demaryius Thomas,Denver Broncos,1,11,5,161,2,0,0,0,Away,Baltimore Ravens,1
Anquan Boldin,San Francisco 49ers,1,17,13,208,1,0,0,0,Away,Green Bay Packers,1
Larry Fitzgerald,Arizona Cardinals,1,14,8,80,2,0,0,0,Home,St. Louis Rams,1
Leonard Hankerson,Washington Redskins,1,7,5,80,2,0,0,0,Away,Philadelphia Eagles,1
Julian Edelman,New England Patriots,1,9,7,79,2,0,0,0,Home,Buffalo Bills,1
Jordy Nelson,Green Bay Packers,1,10,7,130,1,0,0,0,Home,San Francisco 49ers,1
Wes Welker,Denver Broncos,1,11,9,67,2,0,0,0,Away,Baltimore Ravens,1
Randall Cobb,Green Bay Packers,1,12,7,108,1,2,6,0,Home,San Francisco 49ers,1
Brian Hartline,Miami Dolphins,1,15,9,114,1,0,0,0,Home,Cleveland Browns,1
DeSean Jackson,Philadelphia Eagles,1,9,7,104,1,0,0,0,Home,Washington Redskins,1
Brandon Marshall,Chicago Bears,1,10,8,104,1,0,0,0,Away,Cincinnati Bengals,1
Reggie Wayne,Indianapolis Colts,1,8,8,96,1,0,0,0,Away,Oakland Raiders,1
Vincent Jackson,Tampa Bay Buccaneers,1,13,7,154,0,0,0,0,Home,New York Jets,1
Andre Johnson,Houston Texans,1,16,12,146,0,0,0,0,Home,San Diego Chargers,1
Eddie Royal,San Diego Chargers,1,6,3,24,2,0,0,0,Away,Houston Texans,1
Jerome Simpson,Minnesota Vikings,1,8,7,140,0,0,0,0,Home,Detroit Lions,1
Julio Jones,Atlanta Falcons,1,9,7,76,1,0,0,0,Home,New Orleans Saints,1
Marques Colston,New Orleans Saints,1,6,5,68,1,0,0,0,Away,Atlanta Falcons,1
Marlon Brown,Baltimore Ravens,1,6,4,65,1,0,0,0,Home,Denver Broncos,1
Hakeem Nicks,New York Giants,1,8,5,114,0,0,0,0,Home,Dallas Cowboys,1
Terrelle Pryor,Oakland Raiders,1,0,0,0,0,13,112,0,Home,Indianapolis Colts,1
Mike Williams,Tampa Bay Buccaneers,1,8,4,52,1,0,0,0,Home,New York Jets,1
Steve Smith,Carolina Panthers,1,8,6,51,1,0,0,0,Away,Seattle Seahawks,1
Jermaine Kearse,Seattle Seahawks,1,2,2,49,1,0,0,0,Home,Carolina Panthers,1
Danny Amendola,New England Patriots,1,14,10,104,0,0,0,0,Home,Buffalo Bills,1
Denarius Moore,Oakland Raiders,1,7,5,43,1,0,0,0,Home,Indianapolis Colts,1
Rueben Randle,New York Giants,1,6,5,101,0,0,0,0,Home,Dallas Cowboys,1
Steve Johnson,Buffalo Bills,1,6,3,39,1,0,0,0,Away,New England Patriots,1
Andre Roberts,Arizona Cardinals,1,9,8,97,0,0,0,0,Home,St. Louis Rams,1
Doug Baldwin,Seattle Seahawks,1,8,7,91,0,1,3,0,Home,Carolina Panthers,1
Jerricho Cotchery,Pittsburgh Steelers,1,7,4,34,1,0,0,0,Away,Tennessee Titans,1
Harry Douglas,Atlanta Falcons,1,6,4,93,0,0,0,0,Home,New Orleans Saints,1
