Player,Team,G,RushingAtt,RushingYard,RushingTD,ReceivingTarget,ReceivingRec,ReceivingYard,ReceivingTD,Home or Away,Opponent,Week
Adrian Peterson,Minnesota Vikings,1,18,93,2,4,4,18,1,Home,Detroit Lions,1
Reggie Bush,Detroit Lions,1,21,90,0,8,4,101,1,Away,Minnesota Vikings,1
LeSean McCoy,Philadelphia Eagles,1,31,184,1,1,1,5,0,Home,Washington Redskins,1
Joique Bell,Detroit Lions,1,6,25,2,6,5,67,0,Away,Minnesota Vikings,1
Jamaal Charles,Kansas City Chiefs,1,16,77,1,6,3,23,0,Home,Jacksonville Jaguars,1
Shane Vereen,New England Patriots,1,14,101,0,10,7,58,0,Home,Buffalo Bills,1
Matt Forte,Chicago Bears,1,19,50,1,6,4,41,0,Away,Cincinnati Bengals,1
Eddie Lacy,Green Bay Packers,1,14,41,1,2,1,31,0,Home,San Francisco 49ers,1
Ray Rice,Baltimore Ravens,1,12,36,1,11,8,35,0,Home,Denver Broncos,1
Darren McFadden,Oakland Raiders,1,17,48,1,5,3,18,0,Home,Indianapolis Colts,1
Frank Gore,San Francisco 49ers,1,21,44,1,2,2,21,0,Away,Green Bay Packers,1
DeMarco Murray,Dallas Cowboys,1,20,86,0,10,8,39,0,Away,New York Giants,1
Doug Martin,Tampa Bay Buccaneers,1,24,65,1,6,2,-1,0,Home,New York Jets,1
Steven Jackson,Atlanta Falcons,1,11,77,0,8,5,45,0,Home,New Orleans Saints,1
Ryan Mathews,San Diego Chargers,1,13,33,0,2,2,22,1,Away,Houston Texans,1
Alfred Morris,Washington Redskins,1,12,45,1,1,1,9,0,Away,Philadelphia Eagles,1
Darren Sproles,New Orleans Saints,1,8,22,0,6,6,88,0,Away,Atlanta Falcons,1
Fred Jackson,Buffalo Bills,1,13,67,0,5,4,41,0,Away,New England Patriots,1
Daryl Richardson,St. Louis Rams,1,20,63,0,6,5,33,0,Away,Arizona Cardinals,1
Arian Foster,Houston Texans,1,18,57,0,8,6,33,0,Home,San Diego Chargers,1
DeAngelo Williams,Carolina Panthers,1,16,76,0,3,3,14,0,Away,Seattle Seahawks,1
BenJarvus Green-Ellis,Cincinnati Bengals,1,14,25,1,1,1,4,0,Home,Chicago Bears,1
Jackie Battle,Tennessee Titans,1,8,21,1,0,0,0,0,Home,Pittsburgh Steelers,1
Daniel Thomas,Miami Dolphins,1,8,14,1,1,1,5,0,Home,Cleveland Browns,1
Trent Richardson,Cleveland Browns,1,13,47,0,6,2,30,0,Away,Miami Dolphins,1
Da'Rel Scott,New York Giants,1,5,23,0,8,5,51,0,Home,Dallas Cowboys,1
Vonta Leach,Baltimore Ravens,1,0,0,0,4,3,12,1,Home,Denver Broncos,1
Chris Johnson,Tennessee Titans,1,25,70,0,0,0,0,0,Home,Pittsburgh Steelers,1
Knowshon Moreno,Denver Broncos,1,9,28,0,3,3,37,0,Away,Baltimore Ravens,1
Rashard Mendenhall,Arizona Cardinals,1,16,60,0,1,1,4,0,Home,St. Louis Rams,1
Bilal Powell,New York Jets,1,12,29,0,5,4,35,0,Away,Tampa Bay Buccaneers,1
Ben Tate,Houston Texans,1,9,55,0,2,2,7,0,Home,San Diego Chargers,1
Pierre Thomas,New Orleans Saints,1,9,43,0,4,4,16,0,Away,Atlanta Falcons,1
Vick Ballard,Indianapolis Colts,1,13,63,0,2,1,-5,0,Away,Oakland Raiders,1
C.J. Spiller,Buffalo Bills,1,17,41,0,6,5,14,0,Away,New England Patriots,1
Marshawn Lynch,Seattle Seahawks,1,17,43,0,3,2,9,0,Home,Carolina Panthers,1
Ronnie Brown,San Diego Chargers,1,5,27,0,2,2,24,0,Away,Houston Texans,1
Stevan Ridley,New England Patriots,1,9,46,0,0,0,0,0,Home,Buffalo Bills,1
Maurice Jones-Drew,Jacksonville Jaguars,1,15,45,0,2,0,0,0,Away,Kansas City Chiefs,1
Anthony Sherman,Kansas City Chiefs,1,0,0,0,4,4,44,0,Home,Jacksonville Jaguars,1
Dexter McCluster,Kansas City Chiefs,1,0,0,0,5,3,43,0,Home,Jacksonville Jaguars,1
Ronnie Hillman,Denver Broncos,1,4,15,0,2,2,27,0,Away,Baltimore Ravens,1
Ahmad Bradshaw,Indianapolis Colts,1,7,26,0,1,1,7,0,Away,Oakland Raiders,1
Giovani Bernard,Cincinnati Bengals,1,4,22,0,2,1,8,0,Home,Chicago Bears,1
LaRod Stephens-Howling,Pittsburgh Steelers,1,6,19,0,3,2,11,0,Away,Tennessee Titans,1
Robert Turbin,Seattle Seahawks,1,3,17,0,2,2,13,0,Home,Carolina Panthers,1
Justin Forsett,Jacksonville Jaguars,1,1,7,0,5,4,22,0,Away,Kansas City Chiefs,1
Alfonso Smith,Arizona Cardinals,1,10,26,0,1,0,0,0,Home,St. Louis Rams,1
Bryce Brown,Philadelphia Eagles,1,9,25,0,0,0,0,0,Home,Washington Redskins,1
Montee Ball,Denver Broncos,1,8,24,0,0,0,0,0,Away,Baltimore Ravens,1
Kendall Hunter,San Francisco 49ers,1,6,24,0,0,0,0,0,Away,Green Bay Packers,1
Bruce Miller,San Francisco 49ers,1,0,0,0,2,2,24,0,Away,Green Bay Packers,1
Bernard Pierce,Baltimore Ravens,1,9,22,0,1,0,0,0,Home,Denver Broncos,1
Jordan Todman,Jacksonville Jaguars,1,1,2,0,4,3,20,0,Away,Kansas City Chiefs,1
Tommy Bohanon,New York Jets,1,0,0,0,2,1,21,0,Away,Tampa Bay Buccaneers,1
David Wilson,New York Giants,1,7,19,0,1,0,0,0,Home,Dallas Cowboys,1
Shonn Greene,Tennessee Titans,1,4,18,0,0,0,0,0,Home,Pittsburgh Steelers,1
Knile Davis,Kansas City Chiefs,1,4,12,0,1,1,5,0,Home,Jacksonville Jaguars,1
Jason Snelling,Atlanta Falcons,1,0,0,0,3,2,17,0,Home,New Orleans Saints,1
Roy Helu,Washington Redskins,1,1,5,0,2,1,11,0,Away,Philadelphia Eagles,1
Isaac Redman,Pittsburgh Steelers,1,8,9,0,3,2,7,0,Away,Tennessee Titans,1
Danny Woodhead,San Diego Chargers,1,0,0,0,3,2,16,0,Away,Houston Texans,1
LeGarrette Blount,New England Patriots,1,7,15,0,0,0,0,0,Home,Buffalo Bills,1
Michael Bush,Chicago Bears,1,6,15,0,1,0,0,0,Away,Cincinnati Bengals,1
Bradie Ewing,Atlanta Falcons,1,0,0,0,1,1,15,0,Home,New Orleans Saints,1
Chris Ivory,New York Jets,1,10,15,0,2,0,0,0,Away,Tampa Bay Buccaneers,1
Cyrus Gray,Kansas City Chiefs,1,2,8,0,1,1,6,0,Home,Jacksonville Jaguars,1
Andre Ellington,Arizona Cardinals,1,0,0,0,3,1,13,0,Home,St. Louis Rams,1
Mark Ingram,New Orleans Saints,1,9,11,0,0,0,0,0,Away,Atlanta Falcons,1
Phillip Tanner,Dallas Cowboys,1,1,2,0,1,1,9,0,Away,New York Giants,1
Lamar Miller,Miami Dolphins,1,10,3,0,1,1,7,0,Home,Cleveland Browns,1
Chris Ogbonnaya,Cleveland Browns,1,0,0,0,3,1,10,0,Away,Miami Dolphins,1
Marcel Reece,Oakland Raiders,1,0,0,0,2,1,9,0,Home,Indianapolis Colts,1
Zach Line,Minnesota Vikings,1,0,0,0,1,1,8,0,Home,Detroit Lions,1
James Starks,Green Bay Packers,1,0,0,0,1,1,8,0,Home,San Francisco 49ers,1
Brian Leonard,Tampa Bay Buccaneers,1,0,0,0,1,1,4,0,Home,New York Jets,1
Zac Stacy,St. Louis Rams,1,1,4,0,0,0,0,0,Away,Arizona Cardinals,1
Mike Tolbert,Carolina Panthers,1,4,10,0,0,1,-6,0,Away,Seattle Seahawks,1
John Kuhn,Green Bay Packers,1,1,3,0,1,0,0,0,Home,San Francisco 49ers,1
Rashad Jennings,Oakland Raiders,1,2,2,0,0,0,0,0,Home,Indianapolis Colts,1
Le'Ron McClain,San Diego Chargers,1,1,2,0,0,0,0,0,Away,Houston Texans,1
Jacquizz Rodgers,Atlanta Falcons,1,2,-1,0,1,1,3,0,Home,New Orleans Saints,1
Denard Robinson,Jacksonville Jaguars,1,2,1,0,0,0,0,0,Away,Kansas City Chiefs,1
Henry Hynoski,New York Giants,1,0,0,0,1,0,0,0,Home,Dallas Cowboys,1
Darrel Young,Washington Redskins,1,0,0,0,1,0,0,0,Away,Philadelphia Eagles,1
