Player,Team,G,FGM,FGA,FG%,EPM,EPA,Home or Away,Opponent
Greg Zuerlein,St. Louis Rams,1,4,4,100.0%,1,1,Away,Arizona Cardinals
Dan Bailey,Dallas Cowboys,1,3,3,100.0%,3,3,Away,New York Giants
Stephen Gostkowski,New England Patriots,1,3,3,100.0%,2,2,Home,Buffalo Bills
Garrett Hartley,New Orleans Saints,1,3,3,100.0%,2,2,Away,Atlanta Falcons
Caleb Sturgis,Miami Dolphins,1,3,3,100.0%,2,2,Home,Cleveland Browns
David Akers,Detroit Lions,1,2,2,100.0%,4,4,Away,Minnesota Vikings
Rob Bironas,Tennessee Titans,1,3,3,100.0%,1,1,Home,Pittsburgh Steelers
Phil Dawson,San Francisco 49ers,1,2,3,66.7%,4,4,Away,Green Bay Packers
Nick Folk,New York Jets,1,3,3,100.0%,1,1,Away,Tampa Bay Buccaneers
Justin Tucker,Baltimore Ravens,1,2,2,100.0%,3,3,Home,Denver Broncos
Josh Brown,New York Giants,1,1,1,100.0%,4,4,Home,Dallas Cowboys
Randy Bullock,Houston Texans,1,1,2,50.0%,4,4,Home,San Diego Chargers
Alex Henery,Philadelphia Eagles,1,1,1,100.0%,4,4,Home,Washington Redskins
Matt Prater,Denver Broncos,1,0,0,0.0%,7,7,Away,Baltimore Ravens
Jay Feely,Arizona Cardinals,1,1,2,50.0%,3,3,Home,St. Louis Rams
Robbie Gould,Chicago Bears,1,1,1,100.0%,3,3,Away,Cincinnati Bengals
Steve Hauschka,Seattle Seahawks,1,2,2,100.0%,0,0,Home,Carolina Panthers
Blair Walsh,Minnesota Vikings,1,1,1,100.0%,3,3,Home,Detroit Lions
Matt Bryant,Atlanta Falcons,1,1,1,100.0%,2,2,Home,New Orleans Saints
Sebastian Janikowski,Oakland Raiders,1,1,2,50.0%,2,2,Home,Indianapolis Colts
Rian Lindell,Tampa Bay Buccaneers,1,1,1,100.0%,2,2,Home,New York Jets
Mason Crosby,Green Bay Packers,1,0,0,0.0%,4,4,Home,San Francisco 49ers
Billy Cundiff,Cleveland Browns,1,1,1,100.0%,1,1,Away,Miami Dolphins
Nick Novak,San Diego Chargers,1,0,0,0.0%,4,4,Away,Houston Texans
Ryan Succop,Kansas City Chiefs,1,0,0,0.0%,4,4,Home,Jacksonville Jaguars
Dan Carpenter,Buffalo Bills,1,0,0,0.0%,3,3,Away,New England Patriots
Kai Forbath,Washington Redskins,1,0,1,0.0%,3,3,Away,Philadelphia Eagles
Mike Nugent,Cincinnati Bengals,1,0,0,0.0%,3,3,Home,Chicago Bears
Adam Vinatieri,Indianapolis Colts,1,0,0,0.0%,3,3,Away,Oakland Raiders
Graham Gano,Carolina Panthers,1,0,0,0.0%,1,1,Away,Seattle Seahawks
Shaun Suisham,Pittsburgh Steelers,1,0,0,0.0%,1,1,Away,Tennessee Titans
