Player,Team,G,PassingComp,PassingAtt,PassingYard,PassingTD,PassingINT,RushingAtt,RushingYard,RushingTD,Home or Away,Opponent,Week
Peyton Manning,Denver Broncos,1,27,42,462,7,0,2,-2,0,Away,Baltimore Ravens,1
Eli Manning,New York Giants,1,27,42,450,4,3,2,8,0,Home,Dallas Cowboys,1
Colin Kaepernick,San Francisco 49ers,1,27,39,412,3,0,7,22,0,Away,Green Bay Packers,1
Aaron Rodgers,Green Bay Packers,1,21,37,333,3,1,2,13,0,Home,San Francisco 49ers,1
Michael Vick,Philadelphia Eagles,1,15,25,203,2,0,9,54,1,Home,Washington Redskins,1
Matt Schaub,Houston Texans,1,34,45,346,3,1,0,0,0,Home,San Diego Chargers,1
Philip Rivers,San Diego Chargers,1,14,29,195,4,1,1,18,0,Away,Houston Texans,1
Robert Griffin III,Washington Redskins,1,30,49,329,2,2,5,24,0,Away,Philadelphia Eagles,1
Andrew Luck,Indianapolis Colts,1,18,23,178,2,0,6,38,1,Away,Oakland Raiders,1
Joe Flacco,Baltimore Ravens,1,34,62,362,2,2,0,0,0,Home,Denver Broncos,1
Drew Brees,New Orleans Saints,1,26,35,357,2,1,3,2,0,Away,Atlanta Falcons,1
Matthew Stafford,Detroit Lions,1,28,43,357,2,1,5,2,0,Away,Minnesota Vikings,1
Matt Ryan,Atlanta Falcons,1,25,38,304,2,1,1,12,0,Home,New Orleans Saints,1
Carson Palmer,Arizona Cardinals,1,26,40,327,2,1,0,0,0,Home,St. Louis Rams,1
Sam Bradford,St. Louis Rams,1,27,38,299,2,1,2,1,0,Away,Arizona Cardinals,1
Andy Dalton,Cincinnati Bengals,1,26,33,282,2,2,2,2,0,Home,Chicago Bears,1
Tom Brady,New England Patriots,1,29,52,288,2,1,5,-4,0,Home,Buffalo Bills,1
Jay Cutler,Chicago Bears,1,21,33,242,2,1,3,16,0,Away,Cincinnati Bengals,1
Geno Smith,New York Jets,1,24,38,256,1,1,6,47,0,Away,Tampa Bay Buccaneers,1
Tony Romo,Dallas Cowboys,1,36,49,263,2,1,2,-1,0,Away,New York Giants,1
Russell Wilson,Seattle Seahawks,1,25,33,320,1,0,5,7,0,Home,Carolina Panthers,1
Alex Smith,Kansas City Chiefs,1,21,34,173,2,0,4,25,0,Home,Jacksonville Jaguars,1
Brandon Weeden,Cleveland Browns,1,26,53,289,1,3,0,0,0,Away,Miami Dolphins,1
Ryan Tannehill,Miami Dolphins,1,24,38,272,1,1,5,3,0,Home,Cleveland Browns,1
EJ Manuel,Buffalo Bills,1,18,27,150,2,0,3,23,0,Away,New England Patriots,1
Christian Ponder,Minnesota Vikings,1,18,28,236,1,3,4,12,0,Home,Detroit Lions,1
Josh Freeman,Tampa Bay Buccaneers,1,15,31,210,1,1,1,0,0,Home,New York Jets,1
Cam Newton,Carolina Panthers,1,16,23,125,1,0,5,38,0,Away,Seattle Seahawks,1
Ben Roethlisberger,Pittsburgh Steelers,1,21,33,191,1,1,0,0,0,Away,Tennessee Titans,1
Blaine Gabbert,Jacksonville Jaguars,1,16,35,121,0,2,4,16,0,Away,Kansas City Chiefs,1
Jake Locker,Tennessee Titans,1,11,20,125,0,0,5,3,0,Home,Pittsburgh Steelers,1
Chad Henne,Jacksonville Jaguars,1,3,6,36,0,0,0,0,0,Away,Kansas City Chiefs,1
Chase Daniel,Kansas City Chiefs,1,0,0,0,0,0,2,-2,0,Home,Jacksonville Jaguars,1
