Player,Team,G,ReceivingTarget,ReceivingRec,ReceivingYard,ReceivingTD,Home or Away,Opponent,Week
Jimmy Graham,New Orleans Saints,1,12,9,116,2,Home,New York Jets,9
Rob Gronkowski,New England Patriots,1,10,9,143,1,Away,Pittsburgh Steelers,9
Jason Witten,Dallas Cowboys,1,10,8,102,1,Away,Minnesota Vikings,9
Tony Gonzalez,Atlanta Falcons,1,7,6,81,1,Home,Carolina Panthers,9
Greg Olsen,Carolina Panthers,1,5,4,66,1,Away,Atlanta Falcons,9
Tim Wright,Tampa Bay Buccaneers,1,4,4,58,1,Home,Seattle Seahawks,9
Zach Ertz,Philadelphia Eagles,1,6,5,42,1,Home,Oakland Raiders,9
Jared Cook,St. Louis Rams,1,6,3,36,1,Away,Tennessee Titans,9
Kyle Rudolph,Minnesota Vikings,1,2,2,35,1,Home,Dallas Cowboys,9
Brent Celek,Philadelphia Eagles,1,4,3,27,1,Home,Oakland Raiders,9
Gary Barnidge,Cleveland Browns,1,1,1,4,1,Away,Baltimore Ravens,9
Coby Fleener,Indianapolis Colts,1,5,3,64,0,Home,Houston Texans,9
Tom Crabtree,Tampa Bay Buccaneers,1,1,1,2,1,Home,Seattle Seahawks,9
Jordan Reed,Washington Redskins,1,5,4,37,0,Away,San Diego Chargers,9
Antonio Gates,San Diego Chargers,1,10,6,53,0,Home,Washington Redskins,9
Zach Miller,Seattle Seahawks,1,5,3,49,0,Away,Tampa Bay Buccaneers,9
Garrett Graham,Houston Texans,1,6,4,46,0,Away,Indianapolis Colts,9
Zach Sudfeld,New York Jets,1,4,2,46,0,Away,New Orleans Saints,9
Heath Miller,Pittsburgh Steelers,1,5,4,43,0,Home,New England Patriots,9
Martellus Bennett,Chicago Bears,1,8,4,36,0,Home,Green Bay Packers,9
Mychal Rivera,Oakland Raiders,1,5,4,36,0,Away,Philadelphia Eagles,9
Charles Clay,Miami Dolphins,1,3,3,22,0,Away,Cincinnati Bengals,9
Andrew Quarless,Green Bay Packers,1,7,5,34,0,Away,Chicago Bears,9
Jermaine Gresham,Cincinnati Bengals,1,7,3,33,0,Home,Miami Dolphins,9
Scott Chandler,Buffalo Bills,1,9,3,26,0,Away,Kansas City Chiefs,9
John Carlson,Minnesota Vikings,1,6,4,23,0,Home,Dallas Cowboys,9
James Hanna,Dallas Cowboys,1,1,1,21,0,Away,Minnesota Vikings,9
Anthony Fasano,Kansas City Chiefs,1,1,1,20,0,Home,Buffalo Bills,9
Michael Hoomanawanui,New England Patriots,1,2,1,17,0,Away,Pittsburgh Steelers,9
Dallas Clark,Baltimore Ravens,1,1,1,14,0,Home,Cleveland Browns,9
Tyler Eifert,Cincinnati Bengals,1,4,3,14,0,Home,Miami Dolphins,9
Michael Egnew,Miami Dolphins,1,1,1,13,0,Away,Cincinnati Bengals,9
Lance Kendricks,St. Louis Rams,1,4,3,13,0,Away,Tennessee Titans,9
Delanie Walker,Tennessee Titans,1,2,2,13,0,Home,St. Louis Rams,9
Ladarius Green,San Diego Chargers,1,1,1,10,0,Home,Washington Redskins,9
Logan Paulsen,Washington Redskins,1,3,3,9,0,Away,San Diego Chargers,9
Niles Paul,Washington Redskins,1,2,1,6,0,Away,San Diego Chargers,9
Jordan Cameron,Cleveland Browns,1,5,1,4,0,Away,Baltimore Ravens,9
Ed Dickson,Baltimore Ravens,1,3,1,3,0,Home,Cleveland Browns,9
James Casey,Philadelphia Eagles,1,1,0,0,0,Home,Oakland Raiders,9
Nick Kasa,Oakland Raiders,1,1,0,0,0,Away,Philadelphia Eagles,9
Jeron Mastrud,Oakland Raiders,1,1,0,0,0,Away,Philadelphia Eagles,9
Craig Stevens,Tennessee Titans,1,1,0,0,0,Home,St. Louis Rams,9
Ben Watson,New Orleans Saints,1,1,0,0,0,Home,New York Jets,9
