Player,Team,G,FGM,FGA,FG%,EPM,EPA,Home or Away,Opponent
Nick Novak,San Diego Chargers,1,4,4,100.0%,3,3,Home,Philadelphia Eagles
Jay Feely,Arizona Cardinals,1,4,4,100.0%,1,1,Away,Detroit Lions
Sebastian Janikowski,Oakland Raiders,1,4,5,80.0%,1,1,Away,Jacksonville Jaguars
Alex Henery,Philadelphia Eagles,1,3,4,75.0%,3,3,Away,San Diego Chargers
Blair Walsh,Minnesota Vikings,1,3,3,100.0%,3,3,Home,Chicago Bears
Josh Brown,New York Giants,1,3,3,100.0%,2,2,Away,Denver Broncos
Graham Gano,Carolina Panthers,1,3,3,100.0%,2,2,Home,Buffalo Bills
Matt Prater,Denver Broncos,1,2,2,100.0%,5,5,Home,New York Giants
Dan Bailey,Dallas Cowboys,1,3,3,100.0%,1,1,Home,Kansas City Chiefs
Dan Carpenter,Buffalo Bills,1,3,4,75.0%,1,1,Away,Carolina Panthers
Garrett Hartley,New Orleans Saints,1,3,4,75.0%,1,1,Home,Tampa Bay Buccaneers
Steve Hauschka,Seattle Seahawks,1,2,2,100.0%,3,3,Away,San Francisco 49ers
Mason Crosby,Green Bay Packers,1,1,1,100.0%,5,5,Away,Washington Redskins
Mike Nugent,Cincinnati Bengals,1,2,2,100.0%,2,2,Away,Pittsburgh Steelers
Adam Vinatieri,Indianapolis Colts,1,2,3,66.7%,2,2,Away,Miami Dolphins
Matt Bryant,Atlanta Falcons,1,1,1,100.0%,4,4,Away,St. Louis Rams
Stephen Gostkowski,New England Patriots,1,2,3,66.7%,1,1,Away,New York Jets
Robbie Gould,Chicago Bears,1,1,1,100.0%,4,4,Away,Minnesota Vikings
Rob Bironas,Tennessee Titans,1,1,2,50.0%,3,3,Home,Houston Texans
Billy Cundiff,Cleveland Browns,1,2,2,100.0%,0,0,Home,Baltimore Ravens
Caleb Sturgis,Miami Dolphins,1,1,1,100.0%,3,3,Home,Indianapolis Colts
Greg Zuerlein,St. Louis Rams,1,1,1,100.0%,3,3,Home,Atlanta Falcons
Ryan Succop,Kansas City Chiefs,1,1,2,50.0%,2,2,Away,Dallas Cowboys
Nick Folk,New York Jets,1,1,1,100.0%,1,1,Home,New England Patriots
Shaun Suisham,Pittsburgh Steelers,1,1,1,100.0%,1,1,Home,Cincinnati Bengals
David Akers,Detroit Lions,1,0,2,0.0%,3,3,Home,Arizona Cardinals
Phil Dawson,San Francisco 49ers,1,1,1,100.0%,0,0,Home,Seattle Seahawks
Josh Scobee,Jacksonville Jaguars,1,1,1,100.0%,0,0,Home,Oakland Raiders
Randy Bullock,Houston Texans,1,0,3,0.0%,2,2,Away,Tennessee Titans
Rian Lindell,Tampa Bay Buccaneers,1,0,1,0.0%,2,2,Away,New Orleans Saints
John Potter,Washington Redskins,1,0,1,0.0%,2,2,Home,Green Bay Packers
Justin Tucker,Baltimore Ravens,1,0,2,0.0%,2,2,Away,Cleveland Browns
