Player,Team,G,FGM,FGA,FG%,EPM,EPA,Home or Away,Opponent
Ryan Succop,Kansas City Chiefs,1,4,5,80.0%,2,2,Home,Philadelphia Eagles
Matt Prater,Denver Broncos,1,3,3,100.0%,4,4,Away,Oakland Raiders
Dan Carpenter,Buffalo Bills,1,4,4,100.0%,0,0,Home,New York Jets
Mason Crosby,Green Bay Packers,1,3,3,100.0%,3,3,Home,Cincinnati Bengals
Justin Tucker,Baltimore Ravens,1,3,3,100.0%,3,3,Away,Houston Texans
Matt Bryant,Atlanta Falcons,1,3,4,75.0%,2,2,Home,Miami Dolphins
Stephen Gostkowski,New England Patriots,1,3,3,100.0%,2,2,Away,Tampa Bay Buccaneers
Shaun Suisham,Pittsburgh Steelers,1,3,3,100.0%,2,2,Away,Chicago Bears
Robbie Gould,Chicago Bears,1,2,2,100.0%,4,5,Home,Pittsburgh Steelers
David Akers,Detroit Lions,1,2,2,100.0%,3,3,Home,Washington Redskins
Randy Bullock,Houston Texans,1,3,3,100.0%,0,0,Home,Baltimore Ravens
Nick Folk,New York Jets,1,2,2,100.0%,3,3,Away,Buffalo Bills
Steve Hauschka,Seattle Seahawks,1,1,1,100.0%,6,6,Away,Jacksonville Jaguars
Caleb Sturgis,Miami Dolphins,1,2,2,100.0%,3,3,Away,Atlanta Falcons
Adam Vinatieri,Indianapolis Colts,1,2,3,66.7%,3,3,Home,San Francisco 49ers
Blair Walsh,Minnesota Vikings,1,2,2,100.0%,3,3,Away,Cleveland Browns
Rob Bironas,Tennessee Titans,1,2,3,66.7%,2,2,Away,San Diego Chargers
Graham Gano,Carolina Panthers,1,1,1,100.0%,5,5,Away,New York Giants
John Potter,Washington Redskins,1,2,2,100.0%,2,2,Away,Detroit Lions
Dan Bailey,Dallas Cowboys,1,1,2,50.0%,4,4,Away,St. Louis Rams
Garrett Hartley,New Orleans Saints,1,1,1,100.0%,4,4,Away,Arizona Cardinals
Billy Cundiff,Cleveland Browns,1,1,1,100.0%,3,3,Home,Minnesota Vikings
Nick Novak,San Diego Chargers,1,1,2,50.0%,2,2,Home,Tennessee Titans
Josh Scobee,Jacksonville Jaguars,1,1,1,100.0%,2,2,Home,Seattle Seahawks
Alex Henery,Philadelphia Eagles,1,1,2,50.0%,1,1,Away,Kansas City Chiefs
Mike Nugent,Cincinnati Bengals,1,0,1,0.0%,4,5,Away,Green Bay Packers
Sebastian Janikowski,Oakland Raiders,1,0,0,0.0%,3,3,Home,Denver Broncos
Rian Lindell,Tampa Bay Buccaneers,1,1,2,50.0%,0,0,Home,New England Patriots
Phil Dawson,San Francisco 49ers,1,0,0,0.0%,1,1,Away,Indianapolis Colts
Jay Feely,Arizona Cardinals,1,0,0,0.0%,1,1,Home,New Orleans Saints
Greg Zuerlein,St. Louis Rams,1,0,0,0.0%,1,1,Home,Dallas Cowboys
Josh Brown,New York Giants,1,0,1,0.0%,0,0,Home,Carolina Panthers
