Player,Team,G,ReceivingTarget,ReceivingRec,ReceivingYard,ReceivingTD,Home or Away,Opponent,Week
Vernon Davis,San Francisco 49ers,1,11,8,180,2,Away,Arizona Cardinals,6
Joseph Fauria,Detroit Lions,1,3,3,34,3,Home,Cleveland Browns,6
Kyle Rudolph,Minnesota Vikings,1,11,9,97,1,Away,Carolina Panthers,6
Dallas Clark,Baltimore Ravens,1,6,4,81,1,Away,Green Bay Packers,6
Scott Chandler,Buffalo Bills,1,4,2,47,1,Away,Cincinnati Bengals,6
Tim Wright,Tampa Bay Buccaneers,1,9,7,91,0,Away,Philadelphia Eagles,6
Heath Miller,Pittsburgh Steelers,1,7,6,84,0,Home,New York Jets,6
Julius Thomas,Denver Broncos,1,7,4,22,1,Away,Jacksonville Jaguars,6
Jermichael Finley,Green Bay Packers,1,7,3,75,0,Home,Baltimore Ravens,6
Martellus Bennett,Chicago Bears,1,7,6,68,0,Away,New York Giants,6
Jordan Cameron,Cleveland Browns,1,6,5,64,0,Away,Detroit Lions,6
Lance Kendricks,St. Louis Rams,1,2,1,2,1,Home,Houston Texans,6
Ben Watson,New Orleans Saints,1,4,3,61,0,Home,New England Patriots,6
Jeff Cumberland,New York Jets,1,5,4,59,0,Away,Pittsburgh Steelers,6
Jordan Reed,Washington Redskins,1,6,4,58,0,Home,Dallas Cowboys,6
Michael Hoomanawanui,New England Patriots,1,4,4,57,0,Away,New Orleans Saints,6
Jared Cook,St. Louis Rams,1,2,2,45,0,Home,Houston Texans,6
Brandon Pettigrew,Detroit Lions,1,4,4,36,0,Home,Cleveland Browns,6
Robert Housler,Arizona Cardinals,1,5,4,32,0,Home,San Francisco 49ers,6
Clay Harbor,Jacksonville Jaguars,1,3,2,29,0,Home,Denver Broncos,6
Delanie Walker,Tennessee Titans,1,5,4,29,0,Home,Seattle Seahawks,6
Antonio Gates,San Diego Chargers,1,8,4,28,0,Away,Indianapolis Colts,6
Jason Witten,Dallas Cowboys,1,5,3,27,0,Away,Washington Redskins,6
Garrett Graham,Houston Texans,1,4,2,25,0,Away,St. Louis Rams,6
Ladarius Green,San Diego Chargers,1,1,1,25,0,Away,Indianapolis Colts,6
Greg Olsen,Carolina Panthers,1,4,2,19,0,Home,Minnesota Vikings,6
Luke Willson,Seattle Seahawks,1,3,2,17,0,Away,Tennessee Titans,6
Coby Fleener,Indianapolis Colts,1,6,3,16,0,Home,San Diego Chargers,6
Bear Pascoe,New York Giants,1,2,1,14,0,Home,Chicago Bears,6
Tyler Eifert,Cincinnati Bengals,1,3,2,13,0,Home,Buffalo Bills,6
Zach Ertz,Philadelphia Eagles,1,6,3,13,0,Home,Tampa Bay Buccaneers,6
Jeron Mastrud,Oakland Raiders,1,2,1,13,0,Home,Kansas City Chiefs,6
John Carlson,Minnesota Vikings,1,2,2,12,0,Away,Carolina Panthers,6
Brent Celek,Philadelphia Eagles,1,1,1,10,0,Home,Tampa Bay Buccaneers,6
Mychal Rivera,Oakland Raiders,1,3,2,10,0,Home,Kansas City Chiefs,6
Kevin Brock,Kansas City Chiefs,1,1,1,9,0,Away,Oakland Raiders,6
Vance McDonald,San Francisco 49ers,1,1,1,7,0,Away,Arizona Cardinals,6
Gary Barnidge,Cleveland Browns,1,3,2,6,0,Away,Detroit Lions,6
Jermaine Gresham,Cincinnati Bengals,1,4,2,5,0,Home,Buffalo Bills,6
Jim Dray,Arizona Cardinals,1,2,1,4,0,Home,San Francisco 49ers,6
Joel Dreessen,Denver Broncos,1,1,1,4,0,Away,Jacksonville Jaguars,6
Billy Bajema,Baltimore Ravens,1,1,1,0,0,Away,Green Bay Packers,6
Tom Crabtree,Tampa Bay Buccaneers,1,1,0,0,0,Away,Philadelphia Eagles,6
Kellen Davis,Seattle Seahawks,1,1,0,0,0,Away,Tennessee Titans,6
Jimmy Graham,New Orleans Saints,1,6,0,0,0,Home,New England Patriots,6
James Hanna,Dallas Cowboys,1,1,0,0,0,Away,Washington Redskins,6
Sean McGrath,Kansas City Chiefs,1,3,0,0,0,Away,Oakland Raiders,6
Brandon Myers,New York Giants,1,1,0,0,0,Home,Chicago Bears,6
