Player,Team,G,ReceivingTarget,ReceivingRec,ReceivingYard,ReceivingTD,RushingAtt,RushingYard,RushingTD,Home or Away,Opponent,Week
Alshon Jeffery,Chicago Bears,1,13,10,218,1,0,0,0,Away,New Orleans Saints,5
Dez Bryant,Dallas Cowboys,1,10,6,141,2,0,0,0,Away,Denver Broncos,5
T.Y. Hilton,Indianapolis Colts,1,6,5,140,2,0,0,0,Away,Seattle Seahawks,5
Rueben Randle,New York Giants,1,13,6,96,2,0,0,0,Away,Philadelphia Eagles,5
Terrance Williams,Dallas Cowboys,1,4,4,151,1,1,2,0,Away,Denver Broncos,5
Justin Blackmon,Jacksonville Jaguars,1,9,5,136,1,0,0,0,Home,St. Louis Rams,5
DeSean Jackson,Philadelphia Eagles,1,12,7,132,1,0,0,0,Home,New York Giants,5
James Jones,Green Bay Packers,1,6,4,127,1,0,0,0,Away,Detroit Lions,5
Keenan Allen,San Diego Chargers,1,9,6,115,1,0,0,0,Home,Oakland Raiders,5
Austin Pettis,St. Louis Rams,1,5,4,49,2,0,0,0,Away,Jacksonville Jaguars,5
Eric Decker,Denver Broncos,1,8,5,87,1,0,0,0,Home,Dallas Cowboys,5
Josh Gordon,Cleveland Browns,1,6,4,86,1,0,0,0,Away,Buffalo Bills,5
Denarius Moore,Oakland Raiders,1,8,5,84,1,0,0,0,Away,San Diego Chargers,5
Hakeem Nicks,New York Giants,1,12,9,142,0,0,0,0,Away,Philadelphia Eagles,5
Cecil Shorts,Jacksonville Jaguars,1,10,5,74,1,0,0,0,Home,St. Louis Rams,5
Jeremy Kerley,New York Jets,1,6,5,68,1,0,0,0,Home,Atlanta Falcons,5
Torrey Smith,Baltimore Ravens,1,9,6,121,0,0,0,0,Home,Miami Dolphins,5
Golden Tate,Seattle Seahawks,1,11,5,61,1,0,0,0,Home,Indianapolis Colts,5
Vincent Brown,San Diego Chargers,1,9,8,117,0,0,0,0,Home,Oakland Raiders,5
Rod Streater,Oakland Raiders,1,3,3,56,1,0,0,0,Away,San Diego Chargers,5
Wes Welker,Denver Broncos,1,6,5,49,1,0,0,0,Home,Dallas Cowboys,5
Cole Beasley,Dallas Cowboys,1,4,4,47,1,0,0,0,Away,Denver Broncos,5
Randall Cobb,Green Bay Packers,1,8,4,35,0,2,72,0,Away,Detroit Lions,5
Mike Wallace,Miami Dolphins,1,16,7,105,0,0,0,0,Away,Baltimore Ravens,5
Julio Jones,Atlanta Falcons,1,11,8,99,0,0,0,0,Away,New York Jets,5
Donnie Avery,Kansas City Chiefs,1,4,3,91,0,0,0,0,Home,Tennessee Titans,5
Kris Durham,Detroit Lions,1,8,3,30,1,0,0,0,Home,Green Bay Packers,5
Brandon Marshall,Chicago Bears,1,5,4,30,1,0,0,0,Away,New Orleans Saints,5
Jermaine Kearse,Seattle Seahawks,1,1,1,28,1,0,0,0,Home,Indianapolis Colts,5
Jordy Nelson,Green Bay Packers,1,7,5,82,0,0,0,0,Away,Detroit Lions,5
Doug Baldwin,Seattle Seahawks,1,9,5,80,0,0,0,0,Home,Indianapolis Colts,5
Ted Ginn Jr.,Carolina Panthers,1,5,4,78,0,0,0,0,Home,Arizona Cardinals,5
Brandon Gibson,Miami Dolphins,1,5,4,74,0,0,0,0,Away,Baltimore Ravens,5
Kendall Wright,Tennessee Titans,1,8,6,74,0,0,0,0,Away,Kansas City Chiefs,5
Greg Little,Cleveland Browns,1,5,3,71,0,0,0,0,Away,Buffalo Bills,5
Reggie Wayne,Indianapolis Colts,1,9,6,65,0,0,0,0,Away,Seattle Seahawks,5
Robert Woods,Buffalo Bills,1,13,5,64,0,0,0,0,Home,Cleveland Browns,5
Michael Floyd,Arizona Cardinals,1,7,5,61,0,0,0,0,Away,Carolina Panthers,5
A.J. Green,Cincinnati Bengals,1,8,5,61,0,0,0,0,Away,New England Patriots,5
Brian Hartline,Miami Dolphins,1,7,4,60,0,0,0,0,Away,Baltimore Ravens,5
Steve Smith,Carolina Panthers,1,10,4,60,0,0,0,0,Home,Arizona Cardinals,5
Tandon Doss,Baltimore Ravens,1,5,3,58,0,0,0,0,Home,Miami Dolphins,5
