Player,Team,G,RushingAtt,RushingYard,RushingTD,ReceivingTarget,ReceivingRec,ReceivingYard,ReceivingTD,Home or Away,Opponent,Week
Andre Ellington,Arizona Cardinals,1,15,154,1,2,2,8,0,Away,Atlanta Falcons,8
Darren McFadden,Oakland Raiders,1,24,73,2,2,2,5,0,Away,Pittsburgh Steelers,8
Frank Gore,San Francisco 49ers,1,19,71,2,1,1,6,0,Home,Jacksonville Jaguars,8
Knowshon Moreno,Denver Broncos,1,14,44,0,6,6,89,1,Away,Washington Redskins,8
Reggie Bush,Detroit Lions,1,21,92,1,9,8,30,0,Away,Dallas Cowboys,8
Eddie Lacy,Green Bay Packers,1,29,94,1,4,4,18,0,Home,Minnesota Vikings,8
Alfred Morris,Washington Redskins,1,17,93,1,0,0,0,0,Home,Denver Broncos,8
Adrian Peterson,Minnesota Vikings,1,13,60,1,3,3,23,0,Away,Green Bay Packers,8
Stevan Ridley,New England Patriots,1,14,79,1,0,0,0,0,Away,Miami Dolphins,8
Dexter McCluster,Kansas City Chiefs,1,1,5,0,10,7,67,1,Away,Cleveland Browns,8
Zac Stacy,St. Louis Rams,1,26,134,0,3,1,-5,0,Away,Seattle Seahawks,8
Mike Tolbert,Carolina Panthers,1,7,35,0,4,4,29,1,Home,Tampa Bay Buccaneers,8
Maurice Jones-Drew,Jacksonville Jaguars,1,19,75,0,8,6,47,0,Away,San Francisco 49ers,8
Jamaal Charles,Kansas City Chiefs,1,18,74,0,7,5,46,0,Away,Cleveland Browns,8
James Starks,Green Bay Packers,1,7,57,1,0,0,0,0,Home,Minnesota Vikings,8
Joique Bell,Detroit Lions,1,4,32,1,1,1,22,0,Away,Dallas Cowboys,8
Fred Jackson,Buffalo Bills,1,15,45,1,4,2,8,0,Home,New Orleans Saints,8
Lamar Miller,Miami Dolphins,1,18,89,0,3,3,23,0,Home,New England Patriots,8
Daniel Thomas,Miami Dolphins,1,9,47,0,1,1,5,1,Home,New England Patriots,8
Le'Veon Bell,Pittsburgh Steelers,1,13,24,1,7,5,27,0,Home,Oakland Raiders,8
DeAngelo Williams,Carolina Panthers,1,8,43,1,3,1,8,0,Home,Tampa Bay Buccaneers,8
