Player,Team,G,FGM,FGA,FG%,EPM,EPA,Home or Away,Opponent
Dan Bailey,Dallas Cowboys,1,5,5,100.0%,3,3,Away,Green Bay Packers
Justin Tucker,Baltimore Ravens,1,6,6,100.0%,0,0,Home,Detroit Lions
Phil Dawson,San Francisco 49ers,1,4,4,100.0%,3,3,Home,Tampa Bay Buccaneers
Jay Feely,Arizona Cardinals,1,3,3,100.0%,4,4,Home,Tennessee Titans
Graham Gano,Carolina Panthers,1,3,3,100.0%,3,3,Away,New York Jets
Shaun Suisham,Pittsburgh Steelers,1,3,3,100.0%,3,3,Away,Cincinnati Bengals
Blair Walsh,Minnesota Vikings,1,2,3,66.7%,6,6,Away,Philadelphia Eagles
Steve Hauschka,Seattle Seahawks,1,3,3,100.0%,2,2,Home,New York Giants
Adam Vinatieri,Indianapolis Colts,1,3,3,100.0%,2,2,Away,Houston Texans
Rob Bironas,Tennessee Titans,1,2,3,66.7%,4,4,Away,Arizona Cardinals
Alex Henery,Philadelphia Eagles,1,3,3,100.0%,1,1,Home,Minnesota Vikings
Matt Bryant,Atlanta Falcons,1,2,2,100.0%,3,3,Away,Washington Redskins
Dan Carpenter,Buffalo Bills,1,2,3,66.7%,3,3,Home,Jacksonville Jaguars
Nick Novak,San Diego Chargers,1,2,2,100.0%,3,3,Home,Denver Broncos
Greg Zuerlein,St. Louis Rams,1,2,2,100.0%,3,3,Away,New Orleans Saints
Nick Folk,New York Jets,1,2,2,100.0%,2,2,Home,Carolina Panthers
Kai Forbath,Washington Redskins,1,2,2,100.0%,2,2,Home,Atlanta Falcons
Stephen Gostkowski,New England Patriots,1,2,3,66.7%,2,2,Home,Miami Dolphins
Robbie Gould,Chicago Bears,1,1,1,100.0%,5,5,Home,Cleveland Browns
Matt Prater,Denver Broncos,1,2,2,100.0%,2,2,Away,San Diego Chargers
Josh Scobee,Jacksonville Jaguars,1,2,2,100.0%,2,2,Away,Buffalo Bills
Ryan Succop,Kansas City Chiefs,1,0,0,0.0%,8,8,Home,Oakland Raiders
Mason Crosby,Green Bay Packers,1,1,1,100.0%,4,4,Home,Dallas Cowboys
Billy Cundiff,Cleveland Browns,1,1,1,100.0%,4,4,Away,Chicago Bears
Sebastian Janikowski,Oakland Raiders,1,1,1,100.0%,4,4,Away,Kansas City Chiefs
Caleb Sturgis,Miami Dolphins,1,1,1,100.0%,3,3,Away,New England Patriots
David Akers,Detroit Lions,1,1,1,100.0%,1,1,Away,Baltimore Ravens
Garrett Hartley,New Orleans Saints,1,1,3,33.3%,1,1,Home,St. Louis Rams
Randy Bullock,Houston Texans,1,1,1,100.0%,0,0,Home,Indianapolis Colts
Rian Lindell,Tampa Bay Buccaneers,1,0,0,0.0%,2,2,Away,San Francisco 49ers
Mike Nugent,Cincinnati Bengals,1,0,0,0.0%,2,2,Home,Pittsburgh Steelers
