Player,Team,G,FGM,FGA,FG%,EPM,EPA,Home or Away,Opponent
Mason Crosby,Green Bay Packers,1,4,5,80.0%,1,1,Home,Baltimore Ravens
Nick Novak,San Diego Chargers,1,4,4,100.0%,1,1,Away,Indianapolis Colts
Shaun Suisham,Pittsburgh Steelers,1,4,4,100.0%,1,1,Home,New York Jets
Phil Dawson,San Francisco 49ers,1,3,3,100.0%,3,3,Away,Arizona Cardinals
Stephen Gostkowski,New England Patriots,1,3,3,100.0%,3,3,Away,New Orleans Saints
Kai Forbath,Washington Redskins,1,3,4,75.0%,1,1,Home,Dallas Cowboys
Robbie Gould,Chicago Bears,1,2,2,100.0%,3,3,Away,New York Giants
Garrett Hartley,New Orleans Saints,1,2,2,100.0%,3,3,Home,New England Patriots
Mike Nugent,Cincinnati Bengals,1,2,3,66.7%,3,3,Home,Buffalo Bills
Adam Vinatieri,Indianapolis Colts,1,3,3,100.0%,0,0,Home,San Diego Chargers
Steve Hauschka,Seattle Seahawks,1,2,2,100.0%,2,2,Away,Tennessee Titans
Rian Lindell,Tampa Bay Buccaneers,1,2,2,100.0%,2,2,Away,Philadelphia Eagles
Greg Zuerlein,St. Louis Rams,1,1,1,100.0%,5,5,Home,Houston Texans
David Akers,Detroit Lions,1,1,1,100.0%,4,4,Home,Cleveland Browns
Dan Bailey,Dallas Cowboys,1,1,1,100.0%,4,4,Away,Washington Redskins
Rob Bironas,Tennessee Titans,1,2,2,100.0%,1,1,Home,Seattle Seahawks
Randy Bullock,Houston Texans,1,2,2,100.0%,1,1,Away,St. Louis Rams
Alex Henery,Philadelphia Eagles,1,1,1,100.0%,4,4,Home,Tampa Bay Buccaneers
Josh Scobee,Jacksonville Jaguars,1,2,2,100.0%,1,1,Home,Denver Broncos
Dan Carpenter,Buffalo Bills,1,1,1,100.0%,3,3,Away,Cincinnati Bengals
Nick Folk,New York Jets,1,2,2,100.0%,0,0,Away,Pittsburgh Steelers
Ryan Succop,Kansas City Chiefs,1,1,1,100.0%,3,3,Away,Oakland Raiders
Billy Cundiff,Cleveland Browns,1,1,1,100.0%,2,2,Away,Detroit Lions
Graham Gano,Carolina Panthers,1,0,0,0.0%,5,5,Home,Minnesota Vikings
Matt Prater,Denver Broncos,1,0,0,0.0%,5,5,Away,Jacksonville Jaguars
Justin Tucker,Baltimore Ravens,1,1,1,100.0%,2,2,Away,Green Bay Packers
Blair Walsh,Minnesota Vikings,1,1,1,100.0%,1,1,Away,Carolina Panthers
Josh Brown,New York Giants,1,0,0,0.0%,3,3,Home,Chicago Bears
Jay Feely,Arizona Cardinals,1,0,0,0.0%,2,2,Home,San Francisco 49ers
Sebastian Janikowski,Oakland Raiders,1,0,1,0.0%,1,1,Home,Kansas City Chiefs
