Player,Team,G,RushingAtt,RushingYard,RushingTD,ReceivingTarget,ReceivingRec,ReceivingYard,ReceivingTD,Home or Away,Opponent,Week
DeMarco Murray,Dallas Cowboys,1,17,63,3,5,5,39,0,Away,Oakland Raiders,13
Ben Tate,Houston Texans,1,22,102,3,0,0,0,0,Away,New England Patriots,13
Reggie Bush,Detroit Lions,1,20,117,1,5,5,65,0,Away,Green Bay Packers,13
C.J. Spiller,Buffalo Bills,1,15,149,1,4,2,8,0,Away,Atlanta Falcons,13
Adrian Peterson,Minnesota Vikings,1,35,211,0,4,2,0,0,Away,Chicago Bears,13
Steven Jackson,Atlanta Falcons,1,23,84,2,1,1,0,0,Home,Buffalo Bills,13
Fred Jackson,Buffalo Bills,1,11,42,1,4,4,36,1,Away,Atlanta Falcons,13
Le'Veon Bell,Pittsburgh Steelers,1,16,73,1,9,7,63,0,Home,Baltimore Ravens,13
Joique Bell,Detroit Lions,1,19,94,1,4,3,34,0,Away,Green Bay Packers,13
Jamaal Charles,Kansas City Chiefs,1,19,93,1,2,2,27,0,Away,Denver Broncos,13
Andre Brown,New York Giants,1,14,35,2,5,3,23,0,Home,Washington Redskins,13
Rashad Jennings,Oakland Raiders,1,17,35,2,2,1,8,0,Home,Dallas Cowboys,13
Chris Johnson,Tennessee Titans,1,18,69,0,7,6,32,1,Home,Indianapolis Colts,13
BenJarvus Green-Ellis,Cincinnati Bengals,1,20,92,1,1,1,3,0,Home,San Diego Chargers,13
Matt Forte,Chicago Bears,1,23,120,0,2,2,31,0,Home,Minnesota Vikings,13
Knowshon Moreno,Denver Broncos,1,15,18,0,5,4,72,1,Home,Kansas City Chiefs,13
Shane Vereen,New England Patriots,1,10,38,0,6,5,37,1,Home,Houston Texans,13
Willis McGahee,Cleveland Browns,1,14,57,1,2,2,14,0,Away,Jacksonville Jaguars,13
Donald Brown,Indianapolis Colts,1,14,54,1,3,2,10,0,Away,Tennessee Titans,13
Montee Ball,Denver Broncos,1,13,117,0,2,1,4,0,Home,Kansas City Chiefs,13
LeSean McCoy,Philadelphia Eagles,1,19,79,0,6,5,36,0,Away,Arizona Cardinals,13
Alfred Morris,Washington Redskins,1,11,26,1,3,3,27,0,Away,New York Giants,13
Frank Gore,San Francisco 49ers,1,15,42,1,2,2,7,0,Away,St. Louis Rams,13
LeGarrette Blount,New England Patriots,1,12,44,1,0,0,0,0,Home,Houston Texans,13
Antone Smith,Atlanta Falcons,1,1,38,1,2,1,6,0,Home,Buffalo Bills,13
Lance Dunbar,Dallas Cowboys,1,12,82,0,1,1,12,0,Away,Oakland Raiders,13
Ryan Mathews,San Diego Chargers,1,14,61,0,6,5,31,0,Away,Cincinnati Bengals,13
Mike Tolbert,Carolina Panthers,1,9,48,0,4,3,41,0,Away,Tampa Bay Buccaneers,13
Lamar Miller,Miami Dolphins,1,22,72,0,1,1,13,0,Home,New York Jets,13
Maurice Jones-Drew,Jacksonville Jaguars,1,23,77,0,8,2,4,0,Home,Cleveland Browns,13
Rashard Mendenhall,Arizona Cardinals,1,18,76,0,0,0,0,0,Home,Philadelphia Eagles,13
Chris Ivory,New York Jets,1,12,61,0,1,1,12,0,Away,Miami Dolphins,13
Bobby Rainey,Tampa Bay Buccaneers,1,17,63,0,3,2,8,0,Home,Carolina Panthers,13
Zac Stacy,St. Louis Rams,1,19,72,0,2,1,-1,0,Home,San Francisco 49ers,13
Ray Rice,Baltimore Ravens,1,12,32,0,7,6,38,0,Away,Pittsburgh Steelers,13
Giovani Bernard,Cincinnati Bengals,1,14,57,0,2,1,9,0,Home,San Diego Chargers,13
Stepfan Taylor,Arizona Cardinals,1,3,15,0,3,2,45,0,Home,Philadelphia Eagles,13
Bilal Powell,New York Jets,1,7,34,0,5,3,25,0,Away,Miami Dolphins,13
Marshawn Lynch,Seattle Seahawks,1,16,45,0,4,3,12,0,Away,New Orleans Saints,13
Peyton Hillis,New York Giants,1,6,45,0,1,1,6,0,Home,Washington Redskins,13
Dexter McCluster,Kansas City Chiefs,1,1,0,0,6,5,43,0,Away,Denver Broncos,13
Darren Sproles,New Orleans Saints,1,3,11,0,8,7,32,0,Home,Seattle Seahawks,13
Jordan Todman,Jacksonville Jaguars,1,5,31,0,2,1,12,0,Home,Cleveland Browns,13
Jonathan Stewart,Carolina Panthers,1,14,39,0,2,2,3,0,Away,Tampa Bay Buccaneers,13
Shonn Greene,Tennessee Titans,1,10,39,0,1,1,1,0,Home,Indianapolis Colts,13
Roy Helu,Washington Redskins,1,4,6,0,4,4,34,0,Away,New York Giants,13
Eddie Lacy,Green Bay Packers,1,10,16,0,4,2,23,0,Home,Detroit Lions,13
Bernard Pierce,Baltimore Ravens,1,9,35,0,3,3,4,0,Away,Pittsburgh Steelers,13
Knile Davis,Kansas City Chiefs,1,1,20,0,2,2,18,0,Away,Denver Broncos,13
Danny Woodhead,San Diego Chargers,1,7,22,0,3,2,13,0,Away,Cincinnati Bengals,13
Chris Ogbonnaya,Cleveland Browns,1,7,20,0,5,2,14,0,Away,Jacksonville Jaguars,13
Robert Turbin,Seattle Seahawks,1,11,34,0,0,0,0,0,Away,New Orleans Saints,13
Stanley Havili,Indianapolis Colts,1,0,0,0,4,3,29,0,Away,Tennessee Titans,13
Dennis Johnson,Houston Texans,1,3,13,0,2,1,11,0,Away,New England Patriots,13
Jacquizz Rodgers,Atlanta Falcons,1,4,12,0,1,1,11,0,Home,Buffalo Bills,13
Mark Ingram,New Orleans Saints,1,8,22,0,0,0,0,0,Home,Seattle Seahawks,13
Mike Gillislee,Miami Dolphins,1,6,21,0,0,0,0,0,Home,New York Jets,13
Michael Robinson,Seattle Seahawks,1,0,0,0,1,1,21,0,Away,New Orleans Saints,13
Pierre Thomas,New Orleans Saints,1,4,0,0,4,4,21,0,Home,Seattle Seahawks,13
Brandon Bolden,New England Patriots,1,3,2,0,1,1,18,0,Home,Houston Texans,13
Bruce Miller,San Francisco 49ers,1,0,0,0,4,2,20,0,Away,St. Louis Rams,13
Trent Richardson,Indianapolis Colts,1,5,19,0,0,0,0,0,Away,Tennessee Titans,13
Isaiah Pead,St. Louis Rams,1,0,0,0,3,2,17,0,Home,San Francisco 49ers,13
Benny Cunningham,St. Louis Rams,1,2,16,0,0,0,0,0,Home,San Francisco 49ers,13
Fozzy Whittaker,Cleveland Browns,1,7,15,0,1,1,1,0,Away,Jacksonville Jaguars,13
Michael Bush,Chicago Bears,1,1,15,0,0,0,0,0,Home,Minnesota Vikings,13
Jed Collins,New Orleans Saints,1,1,12,0,1,1,3,0,Home,Seattle Seahawks,13
Anthony Dixon,San Francisco 49ers,1,8,13,0,0,0,0,0,Away,St. Louis Rams,13
Darren McFadden,Oakland Raiders,1,5,13,0,1,0,0,0,Home,Dallas Cowboys,13
Toby Gerhart,Minnesota Vikings,1,2,8,0,1,1,4,0,Away,Chicago Bears,13
John Kuhn,Green Bay Packers,1,1,2,0,1,1,8,0,Home,Detroit Lions,13
Brian Leonard,Tampa Bay Buccaneers,1,0,0,0,2,2,10,0,Home,Carolina Panthers,13
Frank Summers,Buffalo Bills,1,0,0,0,1,1,9,0,Away,Atlanta Falcons,13
Cyrus Gray,Kansas City Chiefs,1,0,0,0,1,1,8,0,Away,Denver Broncos,13
Anthony Sherman,Kansas City Chiefs,1,0,0,0,2,1,8,0,Away,Denver Broncos,13
Kendall Hunter,San Francisco 49ers,1,3,7,0,0,0,0,0,Away,St. Louis Rams,13
Kenjon Barner,Carolina Panthers,1,5,6,0,0,0,0,0,Away,Tampa Bay Buccaneers,13
Jerome Felton,Minnesota Vikings,1,0,0,0,1,1,5,0,Away,Chicago Bears,13
Marcel Reece,Oakland Raiders,1,0,0,0,4,2,5,0,Home,Dallas Cowboys,13
Theo Riddick,Detroit Lions,1,0,0,0,1,1,5,0,Away,Green Bay Packers,13
Bryce Brown,Philadelphia Eagles,1,5,4,0,0,0,0,0,Away,Arizona Cardinals,13
Ronnie Brown,San Diego Chargers,1,1,3,0,0,0,0,0,Away,Cincinnati Bengals,13
Jason Snelling,Atlanta Falcons,1,0,0,0,1,1,3,0,Home,Buffalo Bills,13
James Starks,Green Bay Packers,1,2,2,0,0,0,0,0,Home,Detroit Lions,13
Tashard Choice,Buffalo Bills,1,1,1,0,0,0,0,0,Away,Atlanta Falcons,13
Le'Ron McClain,San Diego Chargers,1,1,1,0,0,0,0,0,Away,Cincinnati Bengals,13
Will Johnson,Pittsburgh Steelers,1,0,0,0,1,0,0,0,Home,Baltimore Ravens,13
Evan Royster,Washington Redskins,1,2,0,0,0,0,0,0,Away,New York Giants,13
Erik Lorig,Tampa Bay Buccaneers,1,0,0,0,1,1,-1,0,Home,Carolina Panthers,13
