Player,Team,G,RushingAtt,RushingYard,RushingTD,ReceivingTarget,ReceivingRec,ReceivingYard,ReceivingTD,Home or Away,Opponent,Week
Matt Forte,Chicago Bears,1,22,110,2,4,4,47,1,Away,Green Bay Packers,17
LeGarrette Blount,New England Patriots,1,24,189,2,0,0,0,0,Away,Buffalo Bills,17
Knile Davis,Kansas City Chiefs,1,27,81,2,4,2,5,0,Home,San Diego Chargers,17
Chris Johnson,Tennessee Titans,1,27,127,1,3,3,14,0,Away,Houston Texans,17
LeSean McCoy,Philadelphia Eagles,1,27,131,0,2,1,3,1,Home,Dallas Cowboys,17
Jonathan Grimes,Houston Texans,1,16,50,1,6,6,76,0,Home,Tennessee Titans,17
Fred Jackson,Buffalo Bills,1,14,60,1,6,3,53,0,Home,New England Patriots,17
Marshawn Lynch,Seattle Seahawks,1,23,97,1,2,1,4,0,Away,St. Louis Rams,17
Le'Veon Bell,Pittsburgh Steelers,1,20,90,1,1,1,6,0,Away,Cleveland Browns,17
Ryan Mathews,San Diego Chargers,1,24,144,0,3,2,11,0,Away,Kansas City Chiefs,17
Eddie Lacy,Green Bay Packers,1,21,66,1,2,2,15,0,Home,Chicago Bears,17
C.J. Spiller,Buffalo Bills,1,19,105,0,5,5,28,0,Home,New England Patriots,17
Reggie Bush,Detroit Lions,1,14,32,0,6,5,33,1,Home,Minnesota Vikings,17
Knowshon Moreno,Denver Broncos,1,6,23,0,6,5,41,1,Home,Oakland Raiders,17
Dexter McCluster,Kansas City Chiefs,1,0,0,0,6,6,62,1,Home,San Diego Chargers,17
Matt Asiata,Minnesota Vikings,1,14,115,0,3,2,-2,0,Away,Detroit Lions,17
Jason Snelling,Atlanta Falcons,1,5,36,0,2,2,15,1,Away,Carolina Panthers,17
DeAngelo Williams,Carolina Panthers,1,10,33,0,2,2,75,0,Home,Atlanta Falcons,17
Shane Vereen,New England Patriots,1,2,3,0,5,3,42,1,Away,Buffalo Bills,17
Trent Richardson,Indianapolis Colts,1,8,25,1,2,2,17,0,Away,Jacksonville Jaguars,17
Fozzy Whittaker,Cleveland Browns,1,0,0,0,5,2,38,1,Home,Pittsburgh Steelers,17
Donald Brown,Indianapolis Colts,1,12,31,1,3,3,4,0,Away,Jacksonville Jaguars,17
James Starks,Green Bay Packers,1,11,88,0,2,1,7,0,Home,Chicago Bears,17
Montee Ball,Denver Broncos,1,10,72,0,3,3,22,0,Home,Oakland Raiders,17
