,player,position,Fantasy Points,FP deviation,Floor,Ceiling,Geometric mean,Median
3,Panthers,DST,8.7,0.2,8.3,9.1,8.69770084563,8.7
15,Chiefs,DST,8.35,0.85,6.65,10.05,8.30662386292,8.35
13,Colts,DST,7.65,0.55,6.55,8.75,7.63020314277,7.65
24,Cardinals,DST,7.35,0.05,7.25,7.45,7.34982993001,7.35
10,Packers,DST,7.25,0.15,6.95,7.55,7.24844810977,7.25
28,Seahawks,DST,7.2,1.0,5.2,9.2,7.13021738799,7.2
5,Bengals,DST,7.05,0.25,6.55,7.55,7.04556598152,7.05
25,Steelers,DST,6.65,0.65,5.35,7.95,6.61815684311,6.65
8,Broncos,DST,6.6,1.2,4.2,9.0,6.48999229584,6.6
12,Texans,DST,6.55,0.05,6.45,6.65,6.54980915753,6.55
16,Raiders,DST,6.45,0.45,5.55,7.35,6.43428317686,6.45
18,Vikings,DST,6.45,0.95,4.55,8.35,6.37965516309,6.45
19,Patriots,DST,6.35,1.05,4.25,8.45,6.26258732474,6.35
9,Lions,DST,6.3,1.1,4.1,8.5,6.20322496771,6.3
29,Buccaneers,DST,6.05,1.35,3.35,8.75,5.89745707911,6.05
23,Eagles,DST,6.0,0.7,4.6,7.4,5.95902676618,6.0
2,Bills,DST,5.8,0.3,5.2,6.4,5.79223618303,5.8
30,Redskins,DST,5.75,1.05,3.65,7.85,5.65331761004,5.75
22,Jets,DST,5.5,0.8,3.9,7.1,5.44150714417,5.5
14,Jaguars,DST,5.35,1.05,3.25,7.45,5.24595081944,5.35
11,Titans,DST,5.25,1.05,3.15,7.35,5.14392845984,5.25
4,Bears,DST,5.05,0.65,3.75,6.35,5.00799361022,5.05
6,Browns,DST,5.0,1.2,2.6,7.4,4.8538644398,5.0
20,Saints,DST,4.95,1.65,1.65,8.25,4.66690475583,4.95
7,Cowboys,DST,4.9,0.8,3.3,6.5,4.83425278611,4.9
21,Giants,DST,4.8,0.2,4.4,5.2,4.79583152331,4.8
0,Falcons,DST,4.75,1.15,2.45,7.05,4.60868744872,4.75
1,Ravens,DST,4.7,0.4,3.9,5.5,4.68294778959,4.7
26,Chargers,DST,4.7,0.7,3.3,6.1,4.64758001545,4.7
17,Dolphins,DST,4.05,1.25,1.55,6.55,3.85227205685,4.05
27,49ers,DST,3.8,0.4,3.0,4.6,3.77888872554,3.8
