,,,,,,,,,,
Team,G,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD
Houston Texans,1,4,1,3,1,31,293.0,190.0,0,0
Seattle Seahawks,1,1,1,2,1,24,189.0,37.0,0,0
Baltimore Ravens,1,3,1,0,0,43,321.0,55.0,0,1
St. Louis Rams,1,8,2,0,0,10,183.0,80.0,0,0
New England Patriots,1,1,0,2,0,21,429.0,43.0,0,1
Dallas Cowboys,1,2,0,1,1,28,237.0,102.0,0,0
Miami Dolphins,1,4,1,3,0,0,128.0,50.0,0,0
Minnesota Vikings,1,5,0,1,0,26,225.0,122.0,0,0
Carolina Panthers,1,4,1,1,0,28,270.0,105.0,0,0
New Orleans Saints,1,4,1,1,0,10,122.0,109.0,0,0
Pittsburgh Steelers,1,4,1,1,0,23,269.0,63.0,0,0
Jacksonville Jaguars,1,2,0,2,0,33,232.0,191.0,1,0
Tampa Bay Buccaneers,1,3,0,2,0,22,280.0,50.0,0,0
Philadelphia Eagles,1,4,0,1,0,21,182.0,118.0,0,0
Cleveland Browns,1,2,0,2,0,17,252.0,113.0,0,0
Indianapolis Colts,1,3,1,0,0,24,349.0,89.0,0,0
Arizona Cardinals,1,1,0,2,0,17,174.0,92.0,0,0
San Francisco 49ers,1,1,0,2,0,13,102.0,91.0,0,0
Cincinnati Bengals,1,2,0,1,0,23,233.0,132.0,0,0
Kansas City Chiefs,1,3,0,0,0,10,225.0,139.0,0,0
Washington Redskins,1,2,0,0,0,29,252.0,100.0,0,0
Denver Broncos,1,1,0,1,0,43,332.0,66.0,0,0
New York Giants,1,1,0,0,0,40,345.0,98.0,0,0
New York Jets,1,1,0,0,0,24,196.0,113.0,0,0
Oakland Raiders,1,1,0,0,0,30,177.0,149.0,0,0
San Diego Chargers,1,0,0,0,0,37,309.0,132.0,0,0
