,,,,,,,,,,
Team,G,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD
Atlanta Falcons,1,5,2,2,1,14,271.0,57.0,0,0
Cincinnati Bengals,1,2,0,4,1,28,300.0,85.0,0,0
San Diego Chargers,1,2,3,0,1,35,92.0,355.0,0,0
San Francisco 49ers,1,2,0,3,1,38,348.0,98.0,0,0
Green Bay Packers,1,7,0,1,0,3,93.0,16.0,0,0
Denver Broncos,1,0,1,1,1,37,146.0,207.0,0,0
Pittsburgh Steelers,1,6,1,0,0,12,288.0,39.0,0,0
Chicago Bears,1,4,1,2,0,20,229.0,138.0,0,0
Minnesota Vikings,1,2,1,1,0,37,377.0,116.0,1,0
New York Jets,1,4,0,1,0,17,146.0,85.0,0,0
Houston Texans,1,2,0,3,0,13,178.0,33.0,0,0
Seattle Seahawks,1,4,0,1,0,6,187.0,29.0,0,0
Miami Dolphins,1,4,0,1,0,35,238.0,119.0,0,0
Dallas Cowboys,1,2,1,2,0,7,228.0,1.0,0,0
New York Giants,1,2,2,1,0,27,281.0,106.0,0,0
Washington Redskins,1,3,1,1,0,24,361.0,134.0,0,0
Oakland Raiders,1,2,0,2,0,24,308.0,13.0,0,0
Philadelphia Eagles,1,2,1,1,0,27,205.0,100.0,0,0
Jacksonville Jaguars,1,4,0,0,0,13,262.0,95.0,0,0
Carolina Panthers,1,3,0,1,0,13,144.0,84.0,0,0
Tennessee Titans,1,4,0,0,0,21,111.0,177.0,0,0
Cleveland Browns,1,1,1,1,0,17,195.0,209.0,0,0
New England Patriots,1,2,0,1,0,16,191.0,116.0,0,0
Detroit Lions,1,2,0,1,0,14,170.0,64.0,0,0
Indianapolis Colts,1,1,1,0,0,42,250.0,127.0,0,0
Tampa Bay Buccaneers,1,1,1,0,0,20,310.0,121.0,0,0
Arizona Cardinals,1,1,0,0,0,35,329.0,267.0,0,0
Baltimore Ravens,1,0,0,1,0,25,190.0,123.0,0,0
Buffalo Bills,1,1,0,0,0,26,207.0,140.0,0,0
Kansas City Chiefs,1,1,0,0,0,20,214.0,68.0,0,0
St. Louis Rams,1,1,0,0,0,37,386.0,128.0,0,0
New Orleans Saints,1,0,0,0,0,30,322.0,81.0,0,0
