,,,,,,,,,,
Team,G,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD
Miami Dolphins,1,4,1,2,2,13,201.0,176.0,0,0
Kansas City Chiefs,1,7,0,1,0,7,116.0,84.0,0,1
Minnesota Vikings,1,5,1,1,1,13,159.0,66.0,0,0
New England Patriots,1,3,1,1,1,23,231.0,153.0,0,0
Pittsburgh Steelers,1,2,0,2,1,34,385.0,63.0,0,0
Buffalo Bills,1,4,2,4,0,23,137.0,175.0,0,0
Washington Redskins,1,5,2,0,0,17,224.0,166.0,0,0
New Orleans Saints,1,4,1,2,0,23,402.0,89.0,0,0
Cleveland Browns,1,3,2,1,0,13,316.0,71.0,0,0
Seattle Seahawks,1,3,1,1,0,9,152.0,114.0,0,0
Tennessee Titans,1,5,0,0,0,30,193.0,212.0,0,0
Houston Texans,1,2,1,1,0,16,290.0,36.0,0,0
Baltimore Ravens,1,2,1,1,0,27,239.0,111.0,0,0
Jacksonville Jaguars,1,3,0,1,0,27,178.0,148.0,0,0
Dallas Cowboys,1,3,0,1,0,20,286.0,123.0,0,0
Denver Broncos,1,2,0,2,0,21,245.0,61.0,0,0
New York Jets,1,4,0,0,0,43,213.0,67.0,0,0
Arizona Cardinals,1,0,1,2,0,20,411.0,110.0,0,0
Green Bay Packers,1,2,1,0,0,44,302.0,193.0,0,0
Carolina Panthers,1,1,1,1,0,13,191.0,119.0,0,0
St. Louis Rams,1,2,1,0,0,34,218.0,143.0,0,0
Cincinnati Bengals,1,1,0,2,0,24,187.0,107.0,0,0
Detroit Lions,1,2,0,1,0,21,213.0,78.0,0,0
Indianapolis Colts,1,0,2,0,0,51,522.0,117.0,0,0
Oakland Raiders,1,1,0,0,0,23,267.0,39.0,0,0
Philadelphia Eagles,1,0,1,0,0,24,329.0,71.0,0,0
Atlanta Falcons,1,0,0,1,0,22,325.0,60.0,0,0
Chicago Bears,1,1,0,0,0,51,365.0,122.0,0,0
Tampa Bay Buccaneers,1,1,0,0,0,19,235.0,97.0,0,0
San Diego Chargers,1,0,0,0,0,35,286.0,139.0,0,0
