,,,,,,,,,,
Team,G,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD
Atlanta Falcons,1,3,4,1,1,14,153.0,64.0,0,1
Indianapolis Colts,1,4,1,2,1,17,239.0,105.0,0,0
Chicago Bears,1,3,1,2,1,19,300.0,114.0,0,0
Pittsburgh Steelers,1,3,2,0,1,19,307.0,42.0,0,0
Tampa Bay Buccaneers,1,1,3,1,1,56,344.0,144.0,0,0
Dallas Cowboys,1,0,1,2,1,31,327.0,121.0,0,0
Detroit Lions,1,2,1,0,1,7,147.0,76.0,0,0
St. Louis Rams,1,0,1,1,1,34,217.0,123.0,0,0
Green Bay Packers,1,2,1,2,0,19,238.0,115.0,1,0
Philadelphia Eagles,1,0,0,1,0,34,427.0,84.0,0,1
Miami Dolphins,1,5,2,0,0,34,168.0,174.0,0,0
Kansas City Chiefs,1,4,0,0,0,15,191.0,141.0,1,0
New York Jets,1,4,1,0,0,27,197.0,60.0,0,0
Seattle Seahawks,1,1,1,1,0,20,296.0,36.0,1,0
New York Giants,1,2,0,3,0,17,292.0,119.0,0,0
Cincinnati Bengals,1,2,0,2,0,7,177.0,149.0,0,0
Denver Broncos,1,3,0,1,0,26,255.0,129.0,0,0
Buffalo Bills,1,1,0,0,0,22,251.0,85.0,1,0
San Diego Chargers,1,3,0,0,0,10,205.0,87.0,0,0
Tennessee Titans,1,0,0,1,0,33,184.0,116.0,1,0
Oakland Raiders,1,2,0,0,0,16,221.0,76.0,0,0
Houston Texans,1,1,1,0,0,30,226.0,193.0,0,0
Jacksonville Jaguars,1,2,0,0,0,44,385.0,144.0,0,0
New Orleans Saints,1,2,0,0,0,9,188.0,59.0,0,0
Arizona Cardinals,1,1,0,0,0,14,236.0,82.0,0,0
Baltimore Ravens,1,1,0,0,0,21,284.0,91.0,0,0
Carolina Panthers,1,1,0,0,0,37,190.0,264.0,0,0
San Francisco 49ers,1,0,1,0,0,23,254.0,84.0,0,0
Minnesota Vikings,1,1,0,0,0,20,288.0,108.0,0,0
Cleveland Browns,1,0,0,1,0,23,217.0,160.0,0,0
New England Patriots,1,0,0,1,0,9,174.0,67.0,0,0
Washington Redskins,1,0,1,0,0,37,325.0,54.0,0,0
