"","playerId","dstInt","dstFumlRec","dstSack","dstTd","dstSafety","dstPtsAllow","analyst","player","position","games","dstBlk","returnYds","dstRetTd"
"62",100031,0.9,0.8,2.6,0.2,0,23.5,3,"Buccaneers","DST",1,0.1,42.9,0
"63",100032,0.8,0.8,2.6,0.2,0,29.8,3,"Redskins","DST",1,0.1,77.3,0.1
"64",100001,1,1,2,NA,NA,NA,5,"Falcons","DST",NA,NA,NA,NA
"65",100002,1,1,3,NA,NA,NA,5,"Ravens","DST",NA,NA,NA,NA
"66",100003,1,1,1,NA,NA,NA,5,"Bills","DST",NA,NA,NA,NA
"67",100004,2,1,3,1,NA,NA,5,"Panthers","DST",NA,NA,NA,NA
"68",100005,1,1,3,1,NA,NA,5,"Bears","DST",NA,NA,NA,NA
"69",100006,1,1,2,NA,NA,NA,5,"Bengals","DST",NA,NA,NA,NA
"70",100007,1,NA,2,NA,NA,NA,5,"Browns","DST",NA,NA,NA,NA
"71",100008,1,NA,2,NA,NA,NA,5,"Cowboys","DST",NA,NA,NA,NA
"72",100009,1,NA,3,NA,NA,NA,5,"Broncos","DST",NA,NA,NA,NA
"73",100010,1,1,2,NA,NA,NA,5,"Lions","DST",NA,NA,NA,NA
"74",100011,1,1,3,NA,1,NA,5,"Packers","DST",NA,NA,NA,NA
"75",100012,1,1,3,NA,NA,NA,5,"Titans","DST",NA,NA,NA,NA
"76",100013,1,NA,2,NA,NA,NA,5,"Texans","DST",NA,NA,NA,NA
"77",100014,1,NA,3,NA,NA,NA,5,"Colts","DST",NA,NA,NA,NA
"78",100015,1,NA,2,NA,NA,NA,5,"Jaguars","DST",NA,NA,NA,NA
"79",100016,1,NA,2,NA,NA,NA,5,"Chiefs","DST",NA,NA,NA,NA
"80",100017,1,1,3,NA,NA,NA,5,"Rams","DST",NA,NA,NA,NA
"81",100018,1,NA,2,NA,NA,NA,5,"Raiders","DST",NA,NA,NA,NA
"82",100019,NA,1,3,NA,NA,NA,5,"Dolphins","DST",NA,NA,NA,NA
"83",100020,1,1,3,NA,NA,NA,5,"Vikings","DST",NA,NA,NA,NA
"84",100021,1,1,2,NA,NA,NA,5,"Patriots","DST",NA,NA,NA,NA
"85",100022,1,1,2,NA,NA,NA,5,"Saints","DST",NA,NA,NA,NA
"86",100023,1,1,2,1,NA,NA,5,"Giants","DST",NA,NA,NA,NA
"87",100024,1,NA,2,NA,NA,NA,5,"Jets","DST",NA,NA,NA,NA
"88",100025,1,1,3,1,1,NA,5,"Eagles","DST",NA,NA,NA,NA
"89",100026,1,1,2,NA,NA,NA,5,"Cardinals","DST",NA,NA,NA,NA
"90",100027,1,NA,2,NA,NA,NA,5,"Steelers","DST",NA,NA,NA,NA
"91",100028,1,NA,2,NA,NA,NA,5,"Chargers","DST",NA,NA,NA,NA
"92",100029,1,1,2,NA,NA,NA,5,"49ers","DST",NA,NA,NA,NA
"93",100030,1,NA,3,NA,NA,NA,5,"Seahawks","DST",NA,NA,NA,NA
"94",100031,1,1,2,NA,NA,NA,5,"Buccaneers","DST",NA,NA,NA,NA
"95",100032,1,NA,2,NA,NA,NA,5,"Redskins","DST",NA,NA,NA,NA
"96",100001,1,0.3,1,0,0,24.1,6,"Falcons","DST",NA,0,NA,0
"97",100002,0.5,0.3,2.3,0,0.1,21.3,6,"Ravens","DST",NA,0.1,NA,0
"98",100003,1.3,0.3,1.3,0.1,0,19.5,6,"Bills","DST",NA,0,NA,0
"99",100004,1.5,0.4,3.1,0.1,0,15.5,6,"Panthers","DST",NA,0,NA,0
"100",100005,0.7,0.4,2.2,0,0,25.3,6,"Bears","DST",NA,0,NA,0
"101",100006,1.4,0.3,2.8,0.1,0,22,6,"Bengals","DST",NA,0,NA,0
"102",100007,0.9,0.3,1.4,0,0,23.7,6,"Browns","DST",NA,0,NA,0
"103",100008,0.7,0.3,2.1,0,0,25.7,6,"Cowboys","DST",NA,0,NA,0
"104",100009,0.6,0.4,3.2,0,0.1,20.7,6,"Broncos","DST",NA,0,NA,0
"105",100010,0.7,0.4,3,0,0,26.4,6,"Lions","DST",NA,0,NA,0
"106",100011,1.2,0.3,3.1,0,0,20,6,"Packers","DST",NA,0,NA,0
"107",100012,0.8,0.3,2,0,0,24.4,6,"Titans","DST",NA,0,NA,0
"108",100013,0.9,0.4,2.9,0,0,18.8,6,"Texans","DST",NA,0,NA,0
"109",100014,1.4,0.4,3,0.1,0,16.9,6,"Colts","DST",NA,0,NA,0
"110",100015,0.4,0.4,2.7,0,0,25.8,6,"Jaguars","DST",NA,0,NA,0
"111",100016,1.6,0.4,3.6,0.1,0,16.1,6,"Chiefs","DST",NA,0,NA,0
"112",100017,1,0.4,3,0,0,20.2,6,"Rams","DST",NA,0,NA,0
"113",100018,1.2,0.3,3,0,0,22.7,6,"Raiders","DST",NA,0,NA,0
"114",100019,0.6,0.4,1.8,0,0,27.5,6,"Dolphins","DST",NA,0,NA,0
"115",100020,0.9,0.3,3.1,0,0,20.5,6,"Vikings","DST",NA,0,NA,0
"116",100021,0.8,0.4,2.9,0,0,27.2,6,"Patriots","DST",NA,0,NA,0
"117",100022,0.7,0.4,2.1,0,0,27.9,6,"Saints","DST",NA,0,NA,0
"118",100023,1.2,0.4,1.4,0,0,22.6,6,"Giants","DST",NA,0,NA,0
"119",100024,1,0.3,2.1,0,0,21,6,"Jets","DST",NA,0,NA,0
"120",100025,1,0.3,2.7,0,0,22.8,6,"Eagles","DST",NA,0,NA,0
"121",100026,1.6,0.3,2.6,0,0,18.5,6,"Cardinals","DST",NA,0,NA,0
"122",100027,1.1,0.4,3,0,0,21,6,"Steelers","DST",NA,0,NA,0
"123",100028,0.6,0.4,2,0,0,27.2,6,"Chargers","DST",NA,0,NA,0
"124",100029,0.7,0.3,1.4,0,0,26.2,6,"49ers","DST",NA,0,NA,0
"125",100030,1,0.4,2.4,0,0,19.8,6,"Seahawks","DST",NA,0,NA,0
"126",100031,0.8,0.3,2.5,0,0,26.6,6,"Buccaneers","DST",NA,0,NA,0
"127",100032,0.8,0.3,2.5,0,0,27,6,"Redskins","DST",NA,0,NA,0
"128",100001,0.6,0.5,1.2,0,0,22.1,18,"Falcons","DST",NA,NA,NA,NA
"129",100002,0.4,0.5,1.9,0.1,0,25.5,18,"Ravens","DST",NA,NA,NA,NA
"130",100003,1.3,0.4,0.9,0,0,19,18,"Bills","DST",NA,NA,NA,NA
"131",100004,1.7,1.2,3.3,0.2,0,18.8,18,"Panthers","DST",NA,NA,NA,NA
"132",100005,0.6,0.6,2.9,0,0,19.4,18,"Bears","DST",NA,NA,NA,NA
"133",100006,1.5,0.5,2.2,0,0,20.7,18,"Bengals","DST",NA,NA,NA,NA
"134",100007,0.9,0.3,1.7,0.1,0,24.7,18,"Browns","DST",NA,NA,NA,NA
"135",100008,0.6,0.3,2.2,0,0.2,21.5,18,"Cowboys","DST",NA,NA,NA,NA
"136",100009,0.6,0.8,3,0.1,0,19.2,18,"Broncos","DST",NA,NA,NA,NA
"137",100010,0.9,0.2,3.3,0,0.2,16.3,18,"Lions","DST",NA,NA,NA,NA
"138",100011,1.2,0.6,3.6,0.1,0,19.2,18,"Packers","DST",NA,NA,NA,NA
"139",100012,0.3,0.5,1.9,0.1,0,29.6,18,"Titans","DST",NA,NA,NA,NA
"140",100013,0.8,0.9,2.5,0.1,0,17.6,18,"Texans","DST",NA,NA,NA,NA
"141",100014,0.7,0.6,2.7,0.2,0.1,30.6,18,"Colts","DST",NA,NA,NA,NA
"142",100015,1.1,0.7,2.3,0.2,0,24.5,18,"Jaguars","DST",NA,NA,NA,NA
"143",100016,1.7,0.4,2.3,0.3,0,12.1,18,"Chiefs","DST",NA,NA,NA,NA
"144",100018,0.6,0.7,1.8,0.1,0.2,30.3,18,"Raiders","DST",NA,NA,NA,NA
"145",100019,0.8,0.1,1.4,0.1,0,27.1,18,"Dolphins","DST",NA,NA,NA,NA
"146",100020,1.5,0.7,4.3,0.3,0,10.7,18,"Vikings","DST",NA,NA,NA,NA
"147",100021,0.4,0.8,2.8,0.2,0,19.4,18,"Patriots","DST",NA,NA,NA,NA
"148",100022,0.9,0.7,1.9,0.1,0,22.2,18,"Saints","DST",NA,NA,NA,NA
"149",100023,0.2,1.1,2.5,0.1,0,24.7,18,"Giants","DST",NA,NA,NA,NA
"150",100024,0.9,0.4,2.9,0,0,18.2,18,"Jets","DST",NA,NA,NA,NA
"151",100025,0.5,0.5,2.7,0.4,0.1,26.8,18,"Eagles","DST",NA,NA,NA,NA
"152",100026,1,1.3,2.5,0.2,0,18.4,18,"Cardinals","DST",NA,NA,NA,NA
"153",100027,0.9,0.9,2.6,0.1,0,21.8,18,"Steelers","DST",NA,NA,NA,NA
"154",100028,0.8,0.7,1.7,0,0,23.8,18,"Chargers","DST",NA,NA,NA,NA
"155",100029,0.3,0.3,1.8,0.1,0,21.6,18,"49ers","DST",NA,NA,NA,NA
"156",100030,0.8,0.6,2.3,0,0,14.6,18,"Seahawks","DST",NA,NA,NA,NA
"157",100031,0.6,0.5,2.3,0.1,0,21.4,18,"Buccaneers","DST",NA,NA,NA,NA
"158",100032,0.5,1.1,2.4,0.1,0.3,31.5,18,"Redskins","DST",NA,NA,NA,NA
"159",100001,1,1,2,0,0,30,19,"Falcons","DST",NA,NA,NA,0
"160",100002,1,0,2,0,0,20,19,"Ravens","DST",NA,NA,NA,0
"161",100003,1,0,2,0,0,26,19,"Bills","DST",NA,NA,NA,0
"162",100004,1,1,4,0,0,16,19,"Panthers","DST",NA,NA,NA,0
"163",100005,1,1,2,0,0,18,19,"Bears","DST",NA,NA,NA,0
"164",100006,1,0,4,0,0,18,19,"Bengals","DST",NA,NA,NA,0
"165",100007,1,1,2,0,0,23,19,"Browns","DST",NA,NA,NA,0
"166",100008,0,0,2,0,0,30,19,"Cowboys","DST",NA,NA,NA,0
"167",100009,1,0,3,0,0,22,19,"Broncos","DST",NA,NA,NA,0
"168",100010,2,1,2,0,0,17,19,"Lions","DST",NA,NA,NA,0
"169",100011,1,1,3,0,0,28,19,"Packers","DST",NA,NA,NA,0
"170",100012,0,0,2,0,0,24,19,"Titans","DST",NA,NA,NA,0
"171",100013,1,1,4,0,0,21,19,"Texans","DST",NA,NA,NA,0
"172",100014,1,1,1,0,0,34,19,"Colts","DST",NA,NA,NA,0
"173",100015,0,0,2,0,0,29,19,"Jaguars","DST",NA,NA,NA,0
"174",100016,1,1,2,0,0,16,19,"Chiefs","DST",NA,NA,NA,0
"175",100018,1,1,2,0,0,23,19,"Raiders","DST",NA,NA,NA,0
"176",100019,1,0,3,0,0,26,19,"Dolphins","DST",NA,NA,NA,0
"177",100020,1,0,2,0,0,21,19,"Vikings","DST",NA,NA,NA,0
"178",100021,1,1,4,0,0,15,19,"Patriots","DST",NA,NA,NA,0
"179",100022,1,1,2,0,0,20,19,"Saints","DST",NA,NA,NA,0
"180",100023,1,0,2,0,0,26,19,"Giants","DST",NA,NA,NA,0
"181",100024,1,1,3,0,0,16,19,"Jets","DST",NA,NA,NA,0
"182",100025,1,0,3,0,0,15,19,"Eagles","DST",NA,NA,NA,0
"183",100026,1,1,3,0,0,20,19,"Cardinals","DST",NA,NA,NA,0
"184",100027,1,0,3,0,0,15,19,"Steelers","DST",NA,NA,NA,0
"185",100028,1,0,2,0,0,22,19,"Chargers","DST",NA,NA,NA,0
"186",100029,1,1,2,0,0,25,19,"49ers","DST",NA,NA,NA,0
"187",100030,2,0,3,0,0,20,19,"Seahawks","DST",NA,NA,NA,0
"188",100031,1,0,3,0,0,19,19,"Buccaneers","DST",NA,NA,NA,0
"189",100032,1,0,2,0,0,22,19,"Redskins","DST",NA,NA,NA,0
