,Unnamed: 0,playerId,dstInt,dstFumlRec,dstSack,dstTd,dstSafety,dstPtsAllow,analyst,player,position,games,dstBlk,returnYds,dstRetTd,points,Fantasy Points
68,69,100010,1.0,1.0,2.0,,,,5,Lions,DST,,,,,,
69,70,100011,1.0,1.0,3.0,,,,5,Packers,DST,,,,,,
70,71,100012,1.0,1.0,2.0,,,,5,Titans,DST,,,,,,
71,72,100013,1.0,1.0,3.0,,,,5,Texans,DST,,,,,,
72,73,100014,1.0,1.0,2.0,,,,5,Colts,DST,,,,,,
73,74,100015,1.0,1.0,2.0,,,,5,Jaguars,DST,,,,,,
74,75,100016,1.0,,1.0,,,,5,Chiefs,DST,,,,,,
75,76,100017,1.0,1.0,2.0,1.0,,,5,Rams,DST,,,,,,
76,77,100018,1.0,,3.0,,,,5,Raiders,DST,,,,,,
77,78,100019,1.0,1.0,2.0,1.0,,,5,Dolphins,DST,,,,,,
78,79,100020,1.0,,2.0,,,,5,Vikings,DST,,,,,,
79,80,100021,1.0,1.0,2.0,,,,5,Patriots,DST,,,,,,
80,81,100022,1.0,,2.0,,,,5,Saints,DST,,,,,,
81,82,100023,1.0,,2.0,,,,5,Giants,DST,,,,,,
82,83,100024,,,2.0,,,,5,Jets,DST,,,,,,
83,84,100025,1.0,,2.0,,,,5,Eagles,DST,,,,,,
84,85,100026,1.0,,1.0,,,,5,Cardinals,DST,,,,,,
85,86,100027,1.0,,2.0,,,,5,Steelers,DST,,,,,,
86,87,100028,1.0,1.0,2.0,,,,5,Chargers,DST,,,,,,
87,88,100029,,1.0,2.0,,,,5,49ers,DST,,,,,,
88,89,100030,1.0,1.0,2.0,,,,5,Seahawks,DST,,,,,,
89,90,100031,1.0,1.0,2.0,,,,5,Buccaneers,DST,,,,,,
90,91,100032,1.0,,2.0,,,,5,Redskins,DST,,,,,,
91,92,100001,1.2,0.4,1.5,0.1,0.0,26.5,6,Falcons,DST,,143.4,,39.5,0.0,529.1
92,93,100002,0.7,0.3,3.1,0.0,0.0,21.7,6,Ravens,DST,,152.6,,39.1,0.0,544.9
93,94,100003,1.0,0.3,0.9,0.0,0.0,27.7,6,Bills,DST,,133.3,,39.8,-1.0,507.9
94,95,100004,1.4,0.5,2.8,0.0,0.0,17.0,6,Panthers,DST,,119.9,,41.3,1.0,495.2
95,96,100005,0.7,0.4,2.1,0.0,0.0,22.6,6,Bears,DST,,151.0,,41.2,0.0,553.5
96,97,100006,1.4,0.3,2.8,0.1,0.0,21.6,6,Bengals,DST,,137.3,,40.9,0.0,526.8
97,98,100007,0.7,0.3,1.5,0.0,0.0,29.1,6,Browns,DST,,169.5,,43.4,-1.0,601.9
98,99,100008,0.8,0.5,2.3,0.0,0.0,21.3,6,Cowboys,DST,,126.9,,41.7,0.0,508.9
99,100,100009,0.9,0.4,3.8,0.0,0.1,16.7,6,Broncos,DST,,147.2,,42.2,1.0,555.2
100,101,100010,0.4,0.3,2.8,0.0,0.0,28.8,6,Lions,DST,,163.2,,43.4,-1.0,590.0
101,102,100011,1.1,0.3,3.1,0.1,0.0,17.9,6,Packers,DST,,125.2,,37.2,1.0,481.1
102,103,100012,0.7,0.4,2.3,0.0,0.0,22.5,6,Titans,DST,,137.7,,40.9,0.0,525.3
103,104,100013,1.2,0.3,3.2,0.0,0.1,19.3,6,Texans,DST,,137.3,,39.5,1.0,519.0
104,105,100014,1.3,0.4,2.5,0.0,0.0,21.4,6,Colts,DST,,125.4,,39.4,0.0,493.1
105,106,100015,0.7,0.4,2.0,0.0,0.0,24.3,6,Jaguars,DST,,149.3,,42.8,0.0,559.6
106,107,100016,1.3,0.3,2.8,0.0,0.0,20.3,6,Chiefs,DST,,128.0,,39.6,1.0,500.6
107,108,100017,0.9,0.4,2.8,0.0,0.1,22.5,6,Rams,DST,,146.0,,41.5,0.0,546.6
108,109,100018,1.0,0.3,2.7,0.0,0.0,19.8,6,Raiders,DST,,124.3,,42.1,1.0,507.5
109,110,100019,1.4,0.4,2.2,0.1,0.0,18.0,6,Dolphins,DST,,127.7,,37.1,1.0,485.4
110,111,100020,0.6,0.4,3.1,0.0,0.1,21.2,6,Vikings,DST,,160.0,,41.7,0.0,575.5
111,112,100021,0.9,0.3,3.2,0.0,0.1,20.7,6,Patriots,DST,,140.0,,41.9,0.0,537.2
112,113,100022,0.8,0.3,2.1,0.0,0.0,29.0,6,Saints,DST,,141.9,,42.7,-1.0,543.3
113,114,100023,1.1,0.4,1.4,0.1,0.0,25.5,6,Giants,DST,,146.1,,43.1,0.0,555.8
114,115,100024,0.9,0.3,2.0,0.0,0.0,22.6,6,Jets,DST,,137.1,,42.1,0.0,531.2
115,116,100025,1.1,0.3,2.6,0.1,0.0,26.8,6,Eagles,DST,,146.4,,41.6,0.0,548.4
116,117,100026,1.0,0.4,2.1,0.0,0.0,19.6,6,Cardinals,DST,,135.1,,42.7,1.0,532.3
117,118,100027,1.1,0.4,3.0,0.0,0.0,17.8,6,Steelers,DST,,137.3,,40.4,1.0,524.0
118,119,100028,0.8,0.3,2.2,0.0,0.0,26.4,6,Chargers,DST,,132.1,,41.3,0.0,516.4
119,120,100029,0.3,0.4,1.8,0.0,0.0,29.5,6,49ers,DST,,145.9,,42.7,-1.0,550.2
120,121,100030,1.0,0.4,2.1,0.1,0.0,19.7,6,Seahawks,DST,,136.9,,40.3,1.0,522.1
121,122,100031,1.1,0.3,2.4,0.1,0.0,20.5,6,Buccaneers,DST,,140.5,,41.8,0.0,537.6
122,123,100032,0.9,0.3,2.3,0.0,0.0,25.5,6,Redskins,DST,,133.6,,39.5,0.0,508.9
123,124,100001,0.6,0.5,1.2,0.0,0.0,22.1,18,Falcons,DST,,,,,0.0,
124,125,100002,0.4,0.5,1.9,0.1,0.0,25.5,18,Ravens,DST,,,,,0.0,
125,126,100003,1.3,0.4,0.9,0.0,0.0,19.0,18,Bills,DST,,,,,1.0,
126,127,100004,1.7,1.2,3.3,0.2,0.0,18.8,18,Panthers,DST,,,,,1.0,
127,128,100005,0.6,0.6,2.9,0.0,0.0,19.4,18,Bears,DST,,,,,1.0,
128,129,100006,1.5,0.5,2.2,0.0,0.0,20.7,18,Bengals,DST,,,,,0.0,
129,130,100007,0.9,0.3,1.7,0.1,0.0,24.7,18,Browns,DST,,,,,0.0,
130,131,100008,0.6,0.3,2.2,0.0,0.2,21.5,18,Cowboys,DST,,,,,0.0,
131,132,100009,0.6,0.8,3.0,0.1,0.0,19.2,18,Broncos,DST,,,,,1.0,
132,133,100010,0.9,0.2,3.3,0.0,0.2,16.3,18,Lions,DST,,,,,1.0,
133,134,100011,1.2,0.6,3.6,0.1,0.0,19.2,18,Packers,DST,,,,,1.0,
134,135,100012,0.3,0.5,1.9,0.1,0.0,29.6,18,Titans,DST,,,,,-1.0,
135,136,100013,0.8,0.9,2.5,0.1,0.0,17.6,18,Texans,DST,,,,,1.0,
136,137,100014,0.7,0.6,2.7,0.2,0.1,30.6,18,Colts,DST,,,,,-1.0,
137,138,100015,1.1,0.7,2.3,0.2,0.0,24.5,18,Jaguars,DST,,,,,0.0,
138,139,100016,1.7,0.4,2.3,0.3,0.0,12.1,18,Chiefs,DST,,,,,4.0,
139,140,100018,0.6,0.7,1.8,0.1,0.2,30.3,18,Raiders,DST,,,,,-1.0,
140,141,100019,0.8,0.1,1.4,0.1,0.0,27.1,18,Dolphins,DST,,,,,0.0,
141,142,100020,1.5,0.7,4.3,0.3,0.0,10.7,18,Vikings,DST,,,,,4.0,
142,143,100021,0.4,0.8,2.8,0.2,0.0,19.4,18,Patriots,DST,,,,,1.0,
143,144,100022,0.9,0.7,1.9,0.1,0.0,22.2,18,Saints,DST,,,,,0.0,
144,145,100023,0.2,1.1,2.5,0.1,0.0,24.7,18,Giants,DST,,,,,0.0,
145,146,100024,0.9,0.4,2.9,0.0,0.0,18.2,18,Jets,DST,,,,,1.0,
146,147,100025,0.5,0.5,2.7,0.4,0.1,26.8,18,Eagles,DST,,,,,0.0,
147,148,100026,1.0,1.3,2.5,0.2,0.0,18.4,18,Cardinals,DST,,,,,1.0,
148,149,100027,0.9,0.9,2.6,0.1,0.0,21.8,18,Steelers,DST,,,,,0.0,
149,150,100028,0.8,0.7,1.7,0.0,0.0,23.8,18,Chargers,DST,,,,,0.0,
150,151,100029,0.3,0.3,1.8,0.1,0.0,21.6,18,49ers,DST,,,,,0.0,
151,152,100030,0.8,0.6,2.3,0.0,0.0,14.6,18,Seahawks,DST,,,,,1.0,
152,153,100031,0.6,0.5,2.3,0.1,0.0,21.4,18,Buccaneers,DST,,,,,0.0,
153,154,100032,0.5,1.1,2.4,0.1,0.3,31.5,18,Redskins,DST,,,,,-1.0,
