,Unnamed: 0,Fantasy,Passing,Passing.1,Passing.2,Passing.3,Passing.4,Receiving,Receiving.1,Receiving.2,Receiving.3,Rushing,Rushing.1,Rushing.2,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 1,Unnamed: 2
13,13,20.42,20.0,36.0,213.0,1.0,1.0,,,,,3.0,29.0,1.0,Aaron Rodgers,Aaron Rodgers,GB,1
14,14,21.18,25.0,45.0,302.0,2.0,2.0,,,,,1.0,1.0,0.0,Joe Flacco,Joe Flacco,BAL,1
15,15,22.34,31.0,54.0,366.0,1.0,0.0,,,,,2.0,7.0,0.0,Andy Dalton,Andy Dalton,CIN,1
16,16,19.14,22.0,31.0,286.0,2.0,0.0,,,,,1.0,-3.0,0.0,Sam Bradford,Sam Bradford,MIN,1
17,17,18.28,22.0,30.0,292.0,0.0,0.0,,,,,1.0,6.0,1.0,Dak Prescott,Dak Prescott,DAL,1
18,18,17.62,25.0,33.0,238.0,2.0,1.0,,,,,2.0,11.0,0.0,Marcus Mariota,Marcus Mariota,TEN,1
19,19,16.4,20.0,33.0,260.0,2.0,2.0,,,,,2.0,0.0,0.0,Josh McCown,Josh McCown,CLE,1
20,20,16.5,22.0,40.0,260.0,1.0,1.0,,,,,2.0,31.0,0.0,Matthew Stafford,Matthew Stafford,DET,1
21,21,17.32,32.0,41.0,368.0,0.0,0.0,,,,,4.0,-4.0,0.0,Eli Manning,Eli Manning,NYG,1
22,22,14.52,29.0,44.0,263.0,1.0,0.0,,,,,0.0,0.0,0.0,Drew Brees,Drew Brees,NO,1
23,23,12.42,19.0,33.0,268.0,1.0,2.0,,,,,2.0,-3.0,0.0,Brock Osweiler,Brock Osweiler,HOU,1
24,24,10.62,27.0,52.0,243.0,1.0,4.0,,,,,3.0,9.0,0.0,Jameis Winston,Jameis Winston,TB,1
25,25,13.08,21.0,40.0,197.0,1.0,1.0,,,,,3.0,22.0,0.0,Andrew Luck,Andrew Luck,IND,1
26,26,12.6,21.0,34.0,190.0,1.0,0.0,,,,,6.0,10.0,0.0,Carson Wentz,Carson Wentz,PHI,1
27,27,11.56,22.0,35.0,254.0,0.0,0.0,,,,,5.0,14.0,0.0,Russell Wilson,Russell Wilson,SEA,1
28,28,10.34,22.0,33.0,266.0,0.0,1.0,,,,,1.0,7.0,0.0,Trevor Siemian,Trevor Siemian,DEN,1
29,29,10.06,18.0,30.0,239.0,0.0,0.0,,,,,3.0,5.0,0.0,Case Keenum,Case Keenum,LAR,1
30,30,7.64,20.0,37.0,186.0,0.0,0.0,,,,,2.0,2.0,0.0,Alex Smith,Alex Smith,KC,1
31,31,5.28,12.0,17.0,157.0,0.0,1.0,,,,,0.0,0.0,0.0,Jay Cutler,Jay Cutler,CHI,1
32,32,4.88,6.0,9.0,92.0,0.0,0.0,,,,,4.0,12.0,0.0,Jacoby Brissett,Jacoby Brissett,NE,1
33,33,3.12,9.0,12.0,78.0,0.0,0.0,,,,,0.0,0.0,0.0,Brian Hoyer,Brian Hoyer,CHI,1
