,Unnamed: 0,playerId,rushAtt,rushYds,rushTds,rec,recYds,recTds,fumbles,analyst,player,position,games,rush40,rec40,returnYds,returnTds,twoPts,Fantasy Points
0,1,230,0.2,0.7,0.0,0.1,0.8,0.0,0.0,-1,Jerome Felton,RB,,,,,,,
1,2,234,17.8,78.0,0.5,3.0,26.6,0.1,0.1,-1,Matt Forte,RB,,,,,,,
2,3,262,6.5,25.9,0.2,1.0,7.5,0.0,0.2,-1,Chris Johnson,RB,,,,,,,
3,4,925,5.3,24.9,0.3,2.4,21.2,0.3,0.2,-1,Jamaal Charles,RB,,,,,,,
4,5,927,12.1,45.6,0.4,2.0,9.8,0.0,0.1,-1,Justin Forsett,RB,,,,,,,
5,6,4383,3.6,14.5,0.4,1.3,10.5,0.1,0.1,-1,Tim Hightower,RB,,,,,,,
6,7,71345,11.9,50.9,0.3,2.0,18.6,0.1,0.2,-1,Rashad Jennings,RB,,,,,,,
7,8,79607,16.6,66.7,0.3,2.5,16.6,0.1,0.2,-1,LeSean McCoy,RB,,,,,,,
8,9,89798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,Antone Smith,RB,,,,,,,
9,10,497145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,Joique Bell,RB,,,,,,,
10,11,497149,20.3,76.8,0.5,1.0,6.6,0.0,0.2,-1,LeGarrette Blount,RB,,,,,,,
11,12,497188,12.3,48.1,0.4,1.4,9.7,0.1,0.3,-1,Ryan Mathews,RB,,,,,,,
12,13,497190,3.0,11.8,0.1,2.8,21.2,0.1,0.1,-1,Dexter McCluster,RB,,,,,,,
13,14,497204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,C.J. Spiller,RB,,,,,,,
14,15,497206,7.4,30.3,0.2,1.6,13.3,0.1,0.1,-1,James Starks,RB,,,,,,,
15,16,2495207,12.0,55.0,0.4,2.2,17.1,0.1,0.3,-1,DeMarco Murray,RB,,,,,,,
16,17,2495258,10.9,40.6,0.3,1.4,9.1,0.0,0.1,-1,Matt Asiata,RB,,,,,,,
17,18,2495328,6.0,24.3,0.1,1.3,9.6,0.0,0.0,-1,Bilal Powell,RB,,,,,,,
18,19,2495340,0.0,0.0,0.0,0.1,1.2,0.0,0.0,-1,Anthony Sherman,RB,,,,,,,
19,20,2495461,7.0,20.9,0.1,1.1,6.7,0.0,0.1,-1,Shaun Draughn,RB,,,,,,,
20,21,2495466,13.9,60.1,0.5,3.8,27.3,0.1,0.1,-1,Mark Ingram,RB,,,,,,,
21,22,2495467,1.8,6.9,0.1,0.9,8.5,0.1,0.1,-1,Taiwan Jones,RB,,,,,,,
22,23,2495470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,Stevan Ridley,RB,,,,,,,
23,24,2495471,4.4,17.5,0.1,1.7,12.8,0.1,0.1,-1,Jacquizz Rodgers,RB,,,,,,,
24,25,2495472,0.3,1.8,0.0,0.1,0.8,0.0,0.0,-1,Jordan Todman,RB,,,,,,,
25,26,2495473,5.7,25.4,0.1,3.9,33.0,0.2,0.2,-1,Shane Vereen,RB,,,,,,,
26,27,2495979,18.2,81.9,0.8,1.4,13.0,0.1,0.1,-1,DeAngelo Williams,RB,,,,,,,
27,28,2506147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,John Kuhn,RB,,,,,,,
28,29,2506404,13.3,65.1,0.4,2.3,17.5,0.2,0.2,-1,Frank Gore,RB,,,,,,,
29,30,2506467,4.8,16.4,0.1,2.9,20.9,0.0,0.1,-1,Darren Sproles,RB,,,,,,,
30,31,2506874,0.6,2.0,0.0,0.2,1.2,0.0,0.0,-1,Reggie Bush,RB,,,,,,,
31,32,2507428,4.4,14.7,0.0,0.9,7.1,0.1,0.1,-1,Mike Tolbert,RB,,,,,,,
32,33,2507999,10.0,42.3,0.3,1.9,13.0,0.1,0.1,-1,Chris Ivory,RB,,,,,,,
33,34,2508101,0.1,0.3,0.0,0.2,1.3,0.0,0.0,-1,James Develin,RB,,,,,,,
34,35,2530690,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,DuJuan Harris,RB,,,,,,,
35,36,2530763,0.0,0.0,0.0,0.3,2.6,0.0,0.0,-1,Patrick DiMarco,RB,,,,,,,
36,37,2531218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,Chase Reynolds,RB,,,,,,,
37,38,2532797,2.9,9.6,0.1,1.2,8.8,0.1,0.1,-1,Brandon Bolden,RB,,,,,,,
38,39,2532864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,Dan Herron,RB,,,,,,,
39,40,2532899,8.0,34.6,0.2,1.9,13.9,0.0,0.3,-1,Doug Martin,RB,,,,,,,
40,41,2532926,0.5,1.8,0.0,0.1,0.4,0.0,0.0,-1,Isaiah Pead,RB,,,,,,,
41,42,2533032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,Trent Richardson,RB,,,,,,,
42,43,2533034,17.5,69.2,0.4,2.7,20.8,0.1,0.2,-1,Lamar Miller,RB,,,,,,,
43,44,2533437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,Ronnie Hillman,RB,,,,,,,
44,45,2533457,5.5,25.3,0.2,0.5,3.5,0.0,0.1,-1,Alfred Morris,RB,,,,,,,
45,46,2533460,4.7,21.0,0.2,1.3,8.8,0.1,0.1,-1,Robert Turbin,RB,,,,,,,
46,47,2534437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,Austin Johnson,RB,,,,,,,
47,48,2534571,0.4,1.5,0.0,0.2,1.4,0.0,0.0,-1,Bobby Rainey,RB,,,,,,,
48,49,2534770,0.3,1.3,0.0,0.2,1.5,0.0,0.0,-1,Jonathan Grimes,RB,,,,,,,
49,50,2534789,0.5,2.0,0.0,0.1,0.9,0.0,0.0,-1,Daryl Richardson,RB,,,,,,,
