,Unnamed: 0,playerId,rec,recYds,recTds,fumbles,analyst,player,position,games,rushAtt,rushYds,rushTds,rush40,rec40,returnYds,returnTds,twoPts,Fantasy Points
64,65,2543481,1.0,10.5,0.1,0.0,-1,Jace Amaro,TE,,,,,,,,,,
65,66,2543628,0.1,1.3,0.1,0.0,-1,Troy Niklas,TE,,,,,,,,,,
66,67,2543683,1.5,20.7,0.2,0.0,-1,Austin Seferian-Jenkins,TE,,,,,,,,,,
67,68,2543721,1.7,18.0,0.1,0.1,-1,C.J. Fiedorowicz,TE,,,,,,,,,,
68,69,2543794,1.2,12.7,0.1,0.0,-1,Crockett Gillmore,TE,,,,,,,,,,
69,70,2550284,2.2,20.9,0.2,0.0,-1,Trey Burton,TE,,,,,,,,,,
70,71,2550355,0.0,0.0,0.0,0.0,-1,Nic Jacobs,TE,,,,,,,,,,
71,72,2550356,0.0,0.0,0.0,0.0,-1,Marcel Jensen,TE,,,,,,,,,,
72,73,2550454,0.0,0.0,0.0,0.0,-1,Asante Cleveland,TE,,,,,,,,,,
73,74,2550521,0.3,3.5,0.0,0.0,-1,Xavier Grimble,TE,,,,,,,,,,
74,75,2550656,2.2,23.3,0.1,0.0,-1,Cameron Brate,TE,,,,,,,,,,
75,76,2551359,0.0,0.0,0.0,0.0,-1,Jerome Cunningham,TE,,,,,,,,,,
76,77,2552397,3.0,33.1,0.3,0.0,-1,Clive Walford,TE,,,,,,,,,,
77,78,2552399,0.2,2.1,0.0,0.0,-1,Jeff Heuerman,TE,,,,,,,,,,
78,79,2552401,0.3,2.8,0.0,0.0,-1,MyCole Pruitt,TE,,,,,,,,,,
79,80,2552403,0.2,2.9,0.0,0.0,-1,Nick OLeary,TE,,,,,,,,,,
80,81,2552468,0.8,6.6,0.0,0.0,-1,Maxx Williams,TE,,,,,,,,,,
81,82,2552478,0.4,3.5,0.0,0.0,-1,Blake Bell,TE,,,,,,,,,,
82,83,2552559,2.7,24.1,0.2,0.0,-1,C.J. Uzomah,TE,,,,,,,,,,
83,84,2552586,1.7,15.4,0.1,0.0,-1,Tyler Kroft,TE,,,,,,,,,,
84,85,2552633,3.3,30.4,0.3,0.0,-1,Jesse James,TE,,,,,,,,,,
85,86,2552660,0.2,1.9,0.0,0.0,-1,Randall Telfer,TE,,,,,,,,,,
86,87,2553318,0.2,2.1,0.0,0.0,-1,James OShaughnessy,TE,,,,,,,,,,
87,88,2553454,1.2,11.7,0.1,0.0,-1,Geoff Swaim,TE,,,,,,,,,,
88,89,2553552,0.0,0.0,0.0,0.0,-1,Khari Lee,TE,,,,,,,,,,
89,90,2553773,0.0,0.0,0.0,0.0,-1,Mitchell Henry,TE,,,,,,,,,,
90,91,2553830,2.2,22.7,0.1,0.1,-1,Will Tye,TE,,,,,,,,,,
91,92,2553840,0.0,0.0,0.0,0.0,-1,Brian Parker,TE,,,,,,,,,,
