,DefTD,FPts/G,FR,Fantasy,G,INT,KickTD,PA,PaYd/G,Passing,Passing.1,Passing.2,Passing.3,Passing.4,Player,Receiving,Receiving.1,Receiving.2,Receiving.3,RuYd/G,Rushing,Rushing.1,Rushing.2,Sack,Safety,Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2
8,,,,22.72,,,,,,17.0,36.0,243.0,2.0,2.0,,,,,,,3.0,10.0,1.0,,,8.0,Blaine Gabbert,SF,1.0
9,,,,21.76,,,,,,19.0,37.0,259.0,3.0,2.0,,,,,,,1.0,14.0,0.0,,,9.0,Ben Roethlisberger,PIT,1.0
10,,,,24.06,,,,,,24.0,34.0,374.0,1.0,0.0,,,,,,,5.0,21.0,0.0,,,10.0,Ryan Fitzpatrick,NYJ,1.0
11,,,,22.56,,,,,,28.0,46.0,364.0,1.0,1.0,,,,,,,2.0,20.0,0.0,,,11.0,Kirk Cousins,WAS,1.0
12,,,,21.36,,,,,,18.0,27.0,234.0,3.0,0.0,,,,,,,0.0,0.0,0.0,,,12.0,Jimmy Garoppolo,NE,1.0
13,,,,20.42,,,,,,20.0,36.0,213.0,1.0,1.0,,,,,,,3.0,29.0,1.0,,,13.0,Aaron Rodgers,GB,1.0
14,,,,21.18,,,,,,25.0,45.0,302.0,2.0,2.0,,,,,,,1.0,1.0,0.0,,,14.0,Joe Flacco,BAL,1.0
15,,,,22.34,,,,,,31.0,54.0,366.0,1.0,0.0,,,,,,,2.0,7.0,0.0,,,15.0,Andy Dalton,CIN,1.0
16,,,,19.14,,,,,,22.0,31.0,286.0,2.0,0.0,,,,,,,1.0,-3.0,0.0,,,16.0,Sam Bradford,MIN,1.0
17,,,,18.28,,,,,,22.0,30.0,292.0,0.0,0.0,,,,,,,1.0,6.0,1.0,,,17.0,Dak Prescott,DAL,1.0
18,,,,17.62,,,,,,25.0,33.0,238.0,2.0,1.0,,,,,,,2.0,11.0,0.0,,,18.0,Marcus Mariota,TEN,1.0
19,,,,16.4,,,,,,20.0,33.0,260.0,2.0,2.0,,,,,,,2.0,0.0,0.0,,,19.0,Josh McCown,CLE,1.0
20,,,,16.5,,,,,,22.0,40.0,260.0,1.0,1.0,,,,,,,2.0,31.0,0.0,,,20.0,Matthew Stafford,DET,1.0
21,,,,17.32,,,,,,32.0,41.0,368.0,0.0,0.0,,,,,,,4.0,-4.0,0.0,,,21.0,Eli Manning,NYG,1.0
22,,,,14.52,,,,,,29.0,44.0,263.0,1.0,0.0,,,,,,,0.0,0.0,0.0,,,22.0,Drew Brees,NO,1.0
23,,,,12.42,,,,,,19.0,33.0,268.0,1.0,2.0,,,,,,,2.0,-3.0,0.0,,,23.0,Brock Osweiler,HOU,1.0
24,,,,10.62,,,,,,27.0,52.0,243.0,1.0,4.0,,,,,,,3.0,9.0,0.0,,,24.0,Jameis Winston,TB,1.0
25,,,,13.08,,,,,,21.0,40.0,197.0,1.0,1.0,,,,,,,3.0,22.0,0.0,,,25.0,Andrew Luck,IND,1.0
26,,,,12.6,,,,,,21.0,34.0,190.0,1.0,0.0,,,,,,,6.0,10.0,0.0,,,26.0,Carson Wentz,PHI,1.0
27,,,,11.56,,,,,,22.0,35.0,254.0,0.0,0.0,,,,,,,5.0,14.0,0.0,,,27.0,Russell Wilson,SEA,1.0
28,,,,10.34,,,,,,22.0,33.0,266.0,0.0,1.0,,,,,,,1.0,7.0,0.0,,,28.0,Trevor Siemian,DEN,1.0
29,,,,10.06,,,,,,18.0,30.0,239.0,0.0,0.0,,,,,,,3.0,5.0,0.0,,,29.0,Case Keenum,LAR,1.0
30,,,,7.64,,,,,,20.0,37.0,186.0,0.0,0.0,,,,,,,2.0,2.0,0.0,,,30.0,Alex Smith,KC,1.0
31,,,,5.28,,,,,,12.0,17.0,157.0,0.0,1.0,,,,,,,0.0,0.0,0.0,,,31.0,Jay Cutler,CHI,1.0
32,,,,4.88,,,,,,6.0,9.0,92.0,0.0,0.0,,,,,,,4.0,12.0,0.0,,,32.0,Jacoby Brissett,NE,1.0
33,,,,3.12,,,,,,9.0,12.0,78.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,33.0,Brian Hoyer,CHI,1.0
34,,,,0.6,,,,,,1.0,1.0,10.0,0.0,0.0,,,,,,,2.0,2.0,0.0,,,34.0,EJ Manuel,BUF,1.0
35,,,,0.44,,,,,,1.0,4.0,11.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,35.0,Drew Stanton,ARI,1.0
36,,,,-0.1,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,-1.0,0.0,,,36.0,Matt Cassel,TEN,1.0
37,,,,-0.1,,,,,,0.0,1.0,0.0,0.0,0.0,,,,,,,2.0,-1.0,0.0,,,37.0,Kellen Clemens,SD,1.0
0,,,,33.3,,,,,,,,,,,,3.0,2.0,9.0,0.0,,30.0,100.0,3.0,,,0.0,Matt Forte,NYJ,1.0
1,,,,23.4,,,,,,,,,,,,1.0,1.0,15.0,0.0,,18.0,133.0,1.0,,,1.0,Isaiah Crowell,CLE,1.0
2,,,,13.9,,,,,,,,,,,,5.0,4.0,38.0,1.0,,32.0,94.0,0.0,,,2.0,DeAngelo Williams,PIT,1.0
3,,,,21.3,,,,,,,,,,,,0.0,0.0,0.0,0.0,,29.0,123.0,1.0,,,3.0,LeGarrette Blount,NE,1.0
4,,,,22.5,,,,,,,,,,,,3.0,3.0,18.0,0.0,,24.0,102.0,1.0,,,4.0,Melvin Gordon,SD,1.0
5,,,,14.8,,,,,,,,,,,,11.0,9.0,100.0,1.0,,5.0,17.0,0.0,,,5.0,Giovani Bernard,CIN,1.0
6,,,,18.3,,,,,,,,,,,,6.0,6.0,44.0,0.0,,8.0,57.0,1.0,,,6.0,Latavius Murray,OAK,1.0
7,,,,16.3,,,,,,,,,,,,1.0,1.0,3.0,0.0,,9.0,32.0,2.0,,,7.0,Ryan Mathews,PHI,1.0
8,,,,16.9,,,,,,,,,,,,5.0,3.0,19.0,0.0,,20.0,74.0,1.0,,,8.0,C.J. Anderson,DEN,1.0
9,,,,16.5,,,,,,,,,,,,2.0,2.0,4.0,0.0,,21.0,83.0,1.0,,,9.0,Ezekiel Elliott,DAL,1.0
10,,,,16.6,,,,,,,,,,,,7.0,7.0,56.0,0.0,,12.0,89.0,0.0,,,10.0,DeMarco Murray,TEN,1.0
11,,,,8.0,,,,,,,,,,,,5.0,3.0,98.0,0.0,,12.0,45.0,0.0,,,11.0,David Johnson,ARI,1.0
12,,,,12.8,,,,,,,,,,,,2.0,2.0,25.0,0.0,,12.0,46.0,1.0,,,12.0,Tevin Coleman,ATL,1.0
13,,,,16.4,,,,,,,,,,,,4.0,3.0,31.0,0.0,,16.0,100.0,0.0,,,13.0,Fozzy Whittaker,CAR,1.0
14,,,,13.2,,,,,,,,,,,,1.0,1.0,4.0,0.0,,13.0,61.0,1.0,,,14.0,Matt Jones,WAS,1.0
15,,,,7.7,,,,,,,,,,,,3.0,3.0,19.0,1.0,,13.0,44.0,0.0,,,15.0,Frank Gore,IND,1.0
16,,,,11.4,,,,,,,,,,,,0.0,0.0,0.0,0.0,,16.0,54.0,1.0,,,16.0,Chris Johnson,ARI,1.0
17,,,,8.0,,,,,,,,,,,,3.0,2.0,48.0,0.0,,10.0,57.0,0.0,,,17.0,Spencer Ware,KC,1.0
18,,,,10.5,,,,,,,,,,,,2.0,2.0,14.0,0.0,,25.0,83.0,0.0,,,18.0,Lamar Miller,HOU,1.0
19,,,,10.0,,,,,,,,,,,,2.0,1.0,6.0,0.0,,11.0,28.0,1.0,,,19.0,Jeremy Langford,CHI,1.0
20,,,,9.3,,,,,,,,,,,,0.0,0.0,0.0,0.0,,17.0,93.0,0.0,,,20.0,Devonta Freeman,ATL,1.0
21,,,,10.4,,,,,,,,,,,,5.0,4.0,31.0,0.0,,15.0,59.0,0.0,,,21.0,LeSean McCoy,BUF,1.0
22,,,,9.4,,,,,,,,,,,,4.0,3.0,26.0,0.0,,10.0,60.0,0.0,,,22.0,Christine Michael,SEA,1.0
23,,,,9.4,,,,,,,,,,,,2.0,2.0,6.0,0.0,,2.0,12.0,1.0,,,23.0,Kenyan Drake,MIA,1.0
24,,,,1.1,,,,,,,,,,,,1.0,1.0,18.0,1.0,,0.0,0.0,0.0,,,24.0,Mike Gillislee,BUF,1.0
25,,,,1.1,,,,,,,,,,,,1.0,1.0,15.0,1.0,,0.0,0.0,0.0,,,25.0,Corey Grant,JAC,1.0
26,,,,6.2,,,,,,,,,,,,1.0,1.0,19.0,0.0,,19.0,51.0,0.0,,,26.0,Todd Gurley,LAR,1.0
27,,,,7.1,,,,,,,,,,,,1.0,0.0,0.0,0.0,,3.0,10.0,1.0,,,27.0,Robert Turbin,IND,1.0
28,,,,6.7,,,,,,,,,,,,0.0,0.0,0.0,0.0,,5.0,7.0,1.0,,,28.0,Alfred Morris,DAL,1.0
29,,,,7.5,,,,,,,,,,,,3.0,3.0,24.0,0.0,,14.0,42.0,0.0,,,29.0,Shane Vereen,NYG,1.0
30,,,,8.2,,,,,,,,,,,,5.0,4.0,28.0,0.0,,11.0,37.0,0.0,,,30.0,Theo Riddick,DET,1.0
31,,,,7.3,,,,,,,,,,,,2.0,1.0,2.0,0.0,,6.0,61.0,0.0,,,31.0,Charcandrick West,KC,1.0
32,,,,5.7,,,,,,,,,,,,5.0,3.0,37.0,0.0,,11.0,22.0,0.0,,,32.0,Jeremy Hill,CIN,1.0
33,,,,3.5,,,,,,,,,,,,4.0,3.0,57.0,0.0,,2.0,1.0,0.0,,,33.0,Chris Thompson,WAS,1.0
34,,,,5.5,,,,,,,,,,,,3.0,1.0,15.0,0.0,,11.0,42.0,0.0,,,34.0,Terrance West,BAL,1.0
35,,,,5.7,,,,,,,,,,,,5.0,4.0,44.0,0.0,,3.0,12.0,0.0,,,35.0,Duke Johnson,CLE,1.0
36,,,,6.7,,,,,,,,,,,,3.0,3.0,18.0,0.0,,14.0,34.0,0.0,,,36.0,Carlos Hyde,SF,1.0
37,,,,5.7,,,,,,,,,,,,1.0,1.0,6.0,0.0,,6.0,46.0,0.0,,,37.0,DeAndre Washington,OAK,1.0
38,,,,5.7,,,,,,,,,,,,1.0,1.0,5.0,0.0,,9.0,46.0,0.0,,,38.0,Devontae Booker,DEN,1.0
39,,,,5.1,,,,,,,,,,,,1.0,0.0,0.0,0.0,,12.0,50.0,0.0,,,39.0,Eddie Lacy,GB,1.0
40,,,,5.1,,,,,,,,,,,,1.0,1.0,9.0,0.0,,9.0,40.0,0.0,,,40.0,Derrick Henry,TEN,1.0
41,,,,6.2,,,,,,,,,,,,2.0,2.0,8.0,0.0,,12.0,40.0,0.0,,,41.0,Darren Sproles,PHI,1.0
42,,,,7.4,,,,,,,,,,,,4.0,4.0,17.0,0.0,,9.0,30.0,0.0,,,42.0,Mark Ingram,NO,1.0
43,,,,7.2,,,,,,,,,,,,5.0,3.0,9.0,0.0,,14.0,37.0,0.0,,,43.0,Justin Forsett,BAL,1.0
44,,,,5.8,,,,,,,,,,,,4.0,4.0,31.0,0.0,,5.0,14.0,0.0,,,44.0,Jay Ajayi,MIA,1.0
45,,,,4.9,,,,,,,,,,,,2.0,2.0,13.0,0.0,,13.0,27.0,0.0,,,45.0,Rashad Jennings,NYG,1.0
46,,,,3.3,,,,,,,,,,,,2.0,2.0,28.0,0.0,,1.0,11.0,0.0,,,46.0,Jamize Olawale,OAK,1.0
47,,,,3.8,,,,,,,,,,,,0.0,0.0,0.0,0.0,,6.0,38.0,0.0,,,47.0,Ameer Abdullah,DET,1.0
48,,,,11.7,,,,,,,,,,,,9.0,8.0,10.0,0.0,,7.0,28.0,0.0,,,48.0,T.J. Yeldon,JAC,1.0
49,,,,6.2,,,,,,,,,,,,5.0,5.0,29.0,0.0,,2.0,7.0,0.0,,,49.0,Josh Ferguson,IND,1.0
50,,,,2.8,,,,,,,,,,,,2.0,2.0,26.0,0.0,,3.0,6.0,0.0,,,50.0,Lance Dunbar,DAL,1.0
51,,,,4.4,,,,,,,,,,,,2.0,2.0,9.0,0.0,,3.0,22.0,0.0,,,51.0,Jordan Howard,CHI,1.0
52,,,,3.1,,,,,,,,,,,,0.0,0.0,0.0,0.0,,4.0,31.0,0.0,,,52.0,Dwayne Washington,DET,1.0
53,,,,3.8,,,,,,,,,,,,1.0,1.0,4.0,0.0,,3.0,27.0,0.0,,,53.0,Danny Woodhead,SD,1.0
54,,,,3.0,,,,,,,,,,,,1.0,0.0,0.0,0.0,,2.0,29.0,0.0,,,54.0,Jacquizz Rodgers,TB,1.0
55,,,,4.3,,,,,,,,,,,,4.0,2.0,10.0,0.0,,4.0,19.0,0.0,,,55.0,James White,NE,1.0
56,,,,5.9,,,,,,,,,,,,5.0,3.0,4.0,0.0,,9.0,24.0,0.0,,,56.0,Charles Sims,TB,1.0
57,,,,2.8,,,,,,,,,,,,1.0,1.0,10.0,0.0,,7.0,17.0,0.0,,,57.0,Jalen Richard,OAK,1.0
58,,,,4.2,,,,,,,,,,,,3.0,2.0,7.0,0.0,,12.0,19.0,0.0,,,58.0,Adrian Peterson,MIN,1.0
59,,,,2.5,,,,,,,,,,,,1.0,1.0,11.0,0.0,,6.0,14.0,0.0,,,59.0,Matt Asiata,MIN,1.0
60,,,,2.6,,,,,,,,,,,,1.0,0.0,0.0,0.0,,9.0,25.0,0.0,,,60.0,Mike Tolbert,CAR,1.0
61,,,,2.3,,,,,,,,,,,,0.0,0.0,0.0,0.0,,7.0,23.0,0.0,,,61.0,Doug Martin,TB,1.0
62,,,,2.2,,,,,,,,,,,,1.0,0.0,0.0,0.0,,9.0,21.0,0.0,,,62.0,Shaun Draughn,SF,1.0
63,,,,2.1,,,,,,,,,,,,3.0,1.0,13.0,0.0,,1.0,8.0,0.0,,,63.0,Jonathan Grimes,HOU,1.0
64,,,,1.4,,,,,,,,,,,,1.0,1.0,16.0,0.0,,7.0,3.0,0.0,,,64.0,James Starks,GB,1.0
65,,,,2.3,,,,,,,,,,,,3.0,2.0,17.0,0.0,,0.0,0.0,0.0,,,65.0,Travaris Cadet,NO,1.0
66,,,,1.7,,,,,,,,,,,,1.0,0.0,0.0,0.0,,2.0,16.0,0.0,,,66.0,Wendell Smallwood,PHI,1.0
67,,,,3.1,,,,,,,,,,,,2.0,2.0,7.0,0.0,,5.0,9.0,0.0,,,67.0,Jonathan Stewart,CAR,1.0
68,,,,1.9,,,,,,,,,,,,2.0,1.0,7.0,0.0,,1.0,7.0,0.0,,,68.0,Denard Robinson,JAC,1.0
69,,,,1.4,,,,,,,,,,,,1.0,0.0,0.0,0.0,,4.0,13.0,0.0,,,69.0,Kenneth Farrow,SD,1.0
70,,,,1.5,,,,,,,,,,,,1.0,1.0,9.0,0.0,,1.0,4.0,0.0,,,70.0,Fitzgerald Toussaint,PIT,1.0
71,,,,1.1,,,,,,,,,,,,0.0,0.0,0.0,0.0,,5.0,11.0,0.0,,,71.0,Alfred Blue,HOU,1.0
72,,,,1.3,,,,,,,,,,,,1.0,1.0,9.0,0.0,,1.0,2.0,0.0,,,72.0,Andre Ellington,ARI,1.0
73,,,,1.1,,,,,,,,,,,,1.0,1.0,11.0,0.0,,0.0,0.0,0.0,,,73.0,Andy Janovich,DEN,1.0
74,,,,1.1,,,,,,,,,,,,1.0,1.0,10.0,0.0,,0.0,0.0,0.0,,,74.0,Mike Davis,SF,1.0
75,,,,2.4,,,,,,,,,,,,2.0,2.0,8.0,0.0,,1.0,2.0,0.0,,,75.0,John Kuhn,NO,1.0
76,,,,1.4,,,,,,,,,,,,2.0,1.0,7.0,0.0,,1.0,2.0,0.0,,,76.0,Benny Cunningham,LAR,1.0
77,,,,0.9,,,,,,,,,,,,0.0,0.0,0.0,0.0,,3.0,9.0,0.0,,,77.0,Arian Foster,MIA,1.0
78,,,,1.9,,,,,,,,,,,,2.0,1.0,2.0,0.0,,1.0,7.0,0.0,,,78.0,D.J. Foster,NE,1.0
79,,,,0.9,,,,,,,,,,,,0.0,0.0,0.0,0.0,,3.0,9.0,0.0,,,79.0,Tim Hightower,NO,1.0
80,,,,1.2,,,,,,,,,,,,2.0,1.0,8.0,0.0,,0.0,0.0,0.0,,,80.0,Kyle Juszczyk,BAL,1.0
81,,,,2.6,,,,,,,,,,,,3.0,3.0,15.0,0.0,,7.0,-7.0,0.0,,,81.0,Thomas Rawls,SEA,1.0
82,,,,0.8,,,,,,,,,,,,1.0,0.0,0.0,0.0,,1.0,7.0,0.0,,,82.0,Kapri Bibbs,DEN,1.0
83,,,,1.4,,,,,,,,,,,,1.0,1.0,3.0,0.0,,2.0,3.0,0.0,,,83.0,Ka'Deem Carey,CHI,1.0
84,,,,0.6,,,,,,,,,,,,0.0,0.0,0.0,0.0,,1.0,6.0,0.0,,,84.0,Daryl Richardson,PIT,1.0
85,,,,1.4,,,,,,,,,,,,2.0,1.0,1.0,0.0,,1.0,2.0,0.0,,,85.0,Bilal Powell,NYJ,1.0
86,,,,0.2,,,,,,,,,,,,0.0,0.0,0.0,0.0,,2.0,2.0,0.0,,,86.0,Kenjon Barner,PHI,1.0
87,,,,1.0,,,,,,,,,,,,1.0,1.0,3.0,0.0,,1.0,-1.0,0.0,,,87.0,Orleans Darkwa,NYG,1.0
88,,,,1.3,,,,,,,,,,,,1.0,1.0,-1.0,0.0,,2.0,2.0,0.0,,,88.0,Jerick McKinnon,MIN,1.0
89,,,,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,,,89.0,Alex Collins,SEA,1.0
90,,,,0.1,,,,,,,,,,,,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,90.0,Will Tukuafu,SEA,1.0
0,,,,26.2,,,,,,,,,,,,8.0,5.0,122.0,1.0,,,,,,,0.0,Greg Olsen,CAR,1.0
1,,,,25.4,,,,,,,,,,,,6.0,5.0,114.0,1.0,,,,,,,1.0,Martellus Bennett,NE,1.0
2,,,,20.3,,,,,,,,,,,,6.0,6.0,83.0,1.0,,,,,,,2.0,Delanie Walker,TEN,1.0
3,,,,14.5,,,,,,,,,,,,2.0,1.0,75.0,1.0,,,,,,,3.0,Vance McDonald,SF,1.0
4,,,,18.5,,,,,,,,,,,,8.0,5.0,75.0,1.0,,,,,,,4.0,Jacob Tamme,ATL,1.0
5,,,,17.0,,,,,,,,,,,,7.0,6.0,50.0,1.0,,,,,,,5.0,Clive Walford,OAK,1.0
6,,,,15.9,,,,,,,,,,,,7.0,5.0,49.0,1.0,,,,,,,6.0,Trey Burton,PHI,1.0
7,,,,15.9,,,,,,,,,,,,7.0,5.0,49.0,1.0,,,,,,,7.0,Jordan Cameron,MIA,1.0
8,,,,22.2,,,,,,,,,,,,12.0,9.0,102.0,0.0,,,,,,,8.0,Dennis Pitta,BAL,1.0
9,,,,12.1,,,,,,,,,,,,8.0,3.0,31.0,1.0,,,,,,,9.0,Kyle Rudolph,MIN,1.0
10,,,,11.9,,,,,,,,,,,,5.0,3.0,29.0,1.0,,,,,,,10.0,Jesse James,PIT,1.0
11,,,,10.6,,,,,,,,,,,,4.0,2.0,26.0,1.0,,,,,,,11.0,Xavier Grimble,PIT,1.0
12,,,,11.4,,,,,,,,,,,,3.0,3.0,84.0,0.0,,,,,,,12.0,Austin Hooper,ATL,1.0
13,,,,9.7,,,,,,,,,,,,3.0,2.0,17.0,1.0,,,,,,,13.0,Marcedes Lewis,JAC,1.0
14,,,,10.5,,,,,,,,,,,,5.0,3.0,15.0,1.0,,,,,,,14.0,Antonio Gates,SD,1.0
15,,,,11.1,,,,,,,,,,,,7.0,4.0,71.0,0.0,,,,,,,15.0,Julius Thomas,JAC,1.0
16,,,,12.0,,,,,,,,,,,,7.0,5.0,70.0,0.0,,,,,,,16.0,Jordan Reed,WAS,1.0
17,,,,10.1,,,,,,,,,,,,6.0,4.0,61.0,0.0,,,,,,,17.0,Lance Kendricks,LAR,1.0
18,,,,9.3,,,,,,,,,,,,7.0,4.0,53.0,0.0,,,,,,,18.0,Eric Ebron,DET,1.0
19,,,,10.1,,,,,,,,,,,,5.0,5.0,51.0,0.0,,,,,,,19.0,Vernon Davis,WAS,1.0
20,,,,8.1,,,,,,,,,,,,4.0,3.0,51.0,0.0,,,,,,,20.0,Jason Witten,DAL,1.0
21,,,,7.6,,,,,,,,,,,,3.0,3.0,46.0,0.0,,,,,,,21.0,Virgil Green,DEN,1.0
22,,,,7.2,,,,,,,,,,,,4.0,3.0,42.0,0.0,,,,,,,22.0,Jimmy Graham,SEA,1.0
23,,,,7.7,,,,,,,,,,,,5.0,4.0,37.0,0.0,,,,,,,23.0,Gary Barnidge,CLE,1.0
24,,,,7.7,,,,,,,,,,,,5.0,4.0,37.0,0.0,,,,,,,24.0,Jack Doyle,IND,1.0
25,,,,6.5,,,,,,,,,,,,4.0,3.0,35.0,0.0,,,,,,,25.0,Tyler Kroft,CIN,1.0
26,,,,8.4,,,,,,,,,,,,7.0,5.0,34.0,0.0,,,,,,,26.0,Travis Kelce,KC,1.0
27,,,,7.3,,,,,,,,,,,,5.0,4.0,33.0,0.0,,,,,,,27.0,Zach Miller,CHI,1.0
28,,,,7.1,,,,,,,,,,,,6.0,4.0,31.0,0.0,,,,,,,28.0,Jared Cook,GB,1.0
29,,,,7.1,,,,,,,,,,,,5.0,4.0,31.0,0.0,,,,,,,29.0,Darren Fells,ARI,1.0
30,,,,4.9,,,,,,,,,,,,8.0,2.0,29.0,0.0,,,,,,,30.0,Coby Fleener,NO,1.0
