,,,,,,,
Player,Team,G,FGM,FGA,FG%,EPM,EPA
Matt Prater,DEN,1,3,3,100.0%,6,6
Phil Dawson,SF,1,4,4,100.0%,1,1
Nick Folk,NYJ,1,3,3,100.0%,4,4
Robbie Gould,CHI,1,3,3,100.0%,4,4
Nick Novak,SD,1,3,3,100.0%,4,4
Mason Crosby,GB,1,3,3,100.0%,1,1
Caleb Sturgis,MIA,1,2,3,66.7%,4,4
Sebastian Janikowski,OAK,1,2,3,66.7%,3,3
Rian Lindell,TB,1,2,2,100.0%,3,3
Josh Scobee,JAC,1,2,2,100.0%,3,3
Ryan Succop,KC,1,1,2,50.0%,6,6
Randy Bullock,HOU,1,2,2,100.0%,2,2
Billy Cundiff,CLE,1,2,3,66.7%,2,2
Blair Walsh,MIN,1,2,2,100.0%,2,2
Graham Gano,CAR,1,2,3,66.7%,1,1
Stephen Gostkowski,NE,1,2,2,100.0%,1,1
Garrett Hartley,NO,1,1,1,100.0%,4,4
Dan Carpenter,BUF,1,2,2,100.0%,0,0
Mike Nugent,CIN,1,0,0,0.0%,6,6
Steve Hauschka,SEA,1,1,1,100.0%,2,2
Dan Bailey,DAL,1,0,0,0.0%,4,4
Rob Bironas,TEN,1,0,0,0.0%,4,4
Jay Feely,ARI,1,0,2,0.0%,4,4
Kai Forbath,WAS,1,1,1,100.0%,1,1
Shaun Suisham,PIT,1,0,0,0.0%,4,4
Adam Vinatieri,IND,1,0,1,0.0%,4,4
Greg Zuerlein,STL,1,1,1,100.0%,1,1
Matt Bryant,ATL,1,0,1,0.0%,3,3
Justin Tucker,BAL,1,0,0,0.0%,3,3
Josh Brown,NYG,1,0,0,0.0%,2,2
David Akers,DET,1,0,0,0.0%,0,1
