,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing
Player,Team,G,Comp,Att,Yard,TD,INT,Att,Yard,TD
Drew Brees,NO,1,29,46,342,3,1,6,21,1
Cam Newton,CAR,1,15,27,223,3,1,7,45,1
Geno Smith,NYJ,1,16,29,331,2,2,4,14,1
Jake Locker,TEN,1,23,37,299,1,0,5,68,1
Peyton Manning,DEN,1,32,37,374,3,0,3,-2,0
Ben Roethlisberger,PIT,1,26,41,406,2,2,2,7,0
Christian Ponder,MIN,1,25,42,228,0,1,5,46,2
Brian Hoyer,CLE,1,30,54,321,3,3,1,-2,0
Russell Wilson,SEA,1,14,21,202,4,1,2,14,0
Matthew Stafford,DET,1,25,42,385,2,1,1,2,0
Michael Vick,PHI,1,13,30,201,1,2,5,95,0
Tony Romo,DAL,1,17,24,210,3,0,0,0,0
Ryan Tannehill,MIA,1,24,35,236,2,1,2,7,0
EJ Manuel,BUF,1,19,42,243,1,0,6,40,0
Andy Dalton,CIN,1,20,28,235,2,1,4,3,0
Robert Griffin III,WAS,1,32,50,326,0,1,6,37,0
Tom Brady,NE,1,25,36,225,2,1,5,5,0
Matt Ryan,ATL,1,23,38,231,2,1,0,0,0
Aaron Rodgers,GB,1,26,43,244,1,2,3,24,0
Alex Smith,KC,1,22,35,273,0,0,10,33,0
Tarvaris Jackson,SEA,1,7,8,129,1,0,3,2,1
Andrew Luck,IND,1,18,27,164,0,0,4,24,1
Sam Bradford,STL,1,29,48,240,1,0,0,0,0
Philip Rivers,SD,1,20,24,184,1,0,0,0,0
Jay Cutler,CHI,1,20,30,159,1,0,4,11,0
Chad Henne,JAC,1,18,38,235,0,2,2,5,0
Josh Freeman,TB,1,19,41,236,0,1,1,4,0
Matt Schaub,HOU,1,25,35,194,0,1,0,0,0
Colin Kaepernick,SF,1,13,27,150,0,1,7,20,0
Carson Palmer,ARI,1,18,35,187,0,2,0,0,0
Joe Flacco,BAL,1,16,24,171,0,0,0,0,0
Eli Manning,NYG,1,12,23,119,0,1,1,14,0
Matt Flynn,OAK,1,1,2,19,0,0,0,0,0
Curtis Painter,NYG,1,2,4,16,0,1,0,0,0
Derek Anderson,CAR,1,0,0,0,0,0,2,-1,0
