,,,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Att,Yard,TD,Target,Rec,Yard,TD
Adrian Peterson,MIN,1,18,93,2,4,4,18,1
Reggie Bush,DET,1,21,90,0,8,4,101,1
LeSean McCoy,PHI,1,31,184,1,1,1,5,0
Joique Bell,DET,1,6,25,2,6,5,67,0
Jamaal Charles,KC,1,16,77,1,6,3,23,0
Shane Vereen,NE,1,14,101,0,10,7,58,0
Matt Forte,CHI,1,19,50,1,6,4,41,0
Eddie Lacy,GB,1,14,41,1,2,1,31,0
Ray Rice,BAL,1,12,36,1,11,8,35,0
Darren McFadden,OAK,1,17,48,1,5,3,18,0
Frank Gore,SF,1,21,44,1,2,2,21,0
DeMarco Murray,DAL,1,20,86,0,10,8,39,0
Doug Martin,TB,1,24,65,1,6,2,-1,0
Steven Jackson,ATL,1,11,77,0,8,5,45,0
Ryan Mathews,SD,1,13,33,0,2,2,22,1
Alfred Morris,WAS,1,12,45,1,1,1,9,0
Darren Sproles,NO,1,8,22,0,6,6,88,0
Fred Jackson,BUF,1,13,67,0,5,4,41,0
Daryl Richardson,STL,1,20,63,0,6,5,33,0
Arian Foster,HOU,1,18,57,0,8,6,33,0
DeAngelo Williams,CAR,1,16,76,0,3,3,14,0
BenJarvus Green-Ellis,CIN,1,14,25,1,1,1,4,0
Jackie Battle,TEN,1,8,21,1,0,0,0,0
Daniel Thomas,MIA,1,8,14,1,1,1,5,0
Trent Richardson,CLE,1,13,47,0,6,2,30,0
Da'Rel Scott,NYG,1,5,23,0,8,5,51,0
Vonta Leach,BAL,1,0,0,0,4,3,12,1
Chris Johnson,TEN,1,25,70,0,0,0,0,0
Knowshon Moreno,DEN,1,9,28,0,3,3,37,0
Rashard Mendenhall,ARI,1,16,60,0,1,1,4,0
Bilal Powell,NYJ,1,12,29,0,5,4,35,0
Ben Tate,HOU,1,9,55,0,2,2,7,0
Pierre Thomas,NO,1,9,43,0,4,4,16,0
Vick Ballard,IND,1,13,63,0,2,1,-5,0
C.J. Spiller,BUF,1,17,41,0,6,5,14,0
Marshawn Lynch,SEA,1,17,43,0,3,2,9,0
Ronnie Brown,SD,1,5,27,0,2,2,24,0
Stevan Ridley,NE,1,9,46,0,0,0,0,0
Maurice Jones-Drew,JAC,1,15,45,0,2,0,0,0
Anthony Sherman,KC,1,0,0,0,4,4,44,0
Dexter McCluster,KC,1,0,0,0,5,3,43,0
Ronnie Hillman,DEN,1,4,15,0,2,2,27,0
Ahmad Bradshaw,IND,1,7,26,0,1,1,7,0
Giovani Bernard,CIN,1,4,22,0,2,1,8,0
LaRod Stephens-Howling,PIT,1,6,19,0,3,2,11,0
Robert Turbin,SEA,1,3,17,0,2,2,13,0
Justin Forsett,JAC,1,1,7,0,5,4,22,0
Alfonso Smith,ARI,1,10,26,0,1,0,0,0
Bryce Brown,PHI,1,9,25,0,0,0,0,0
Montee Ball,DEN,1,8,24,0,0,0,0,0
