,,,,,,,
Player,Team,G,FGM,FGA,FG%,EPM,EPA
Shaun Suisham,PIT,1,4,4,100.0%,1,1
Adam Vinatieri,IND,1,3,3,100.0%,4,4
Nick Folk,NYJ,1,3,3,100.0%,3,3
Graham Gano,CAR,1,3,3,100.0%,3,3
Josh Brown,NYG,1,3,3,100.0%,2,2
Dan Carpenter,BUF,1,3,3,100.0%,2,2
Robbie Gould,CHI,1,2,3,66.7%,5,5
Rian Lindell,TB,1,3,3,100.0%,2,2
Randy Bullock,HOU,1,3,3,100.0%,1,1
Jay Feely,ARI,1,3,3,100.0%,1,1
Steve Hauschka,SEA,1,2,2,100.0%,4,4
Justin Tucker,BAL,1,3,3,100.0%,1,1
Kai Forbath,WAS,1,1,1,100.0%,6,6
Stephen Gostkowski,NE,1,2,2,100.0%,3,3
Mike Nugent,CIN,1,2,3,66.7%,3,3
Matt Prater,DEN,1,2,2,100.0%,3,3
Matt Bryant,ATL,1,1,1,100.0%,4,4
Mason Crosby,GB,1,1,2,50.0%,4,4
Billy Cundiff,CLE,1,2,2,100.0%,1,1
Phil Dawson,SF,1,1,1,100.0%,4,4
Greg Zuerlein,STL,1,2,2,100.0%,1,1
David Akers,DET,1,1,2,50.0%,3,3
Nick Novak,SD,1,1,1,100.0%,3,3
Josh Scobee,JAC,1,2,2,100.0%,0,0
Dan Bailey,DAL,1,1,1,100.0%,2,2
Rob Bironas,TEN,1,1,1,100.0%,2,2
Ryan Succop,KC,1,1,1,100.0%,2,2
Alex Henery,PHI,1,1,2,50.0%,0,0
Caleb Sturgis,MIA,1,0,1,0.0%,3,3
Blair Walsh,MIN,1,0,1,0.0%,1,1
