,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing
Player,Team,G,Comp,Att,Yard,TD,INT,Att,Yard,TD
Drew Brees,NO,1,26,34,332,5,0,4,-1,0
Andy Dalton,CIN,1,19,30,325,5,1,0,0,0
Matthew Stafford,DET,1,33,48,488,1,2,3,12,1
Peyton Manning,DEN,1,30,44,354,4,3,4,-3,0
Cam Newton,CAR,1,23,32,221,2,0,11,50,1
Colin Kaepernick,SF,1,10,16,164,1,0,7,54,2
Aaron Rodgers,GB,1,24,29,285,2,0,6,31,0
Jason Campbell,CLE,1,22,36,293,2,0,3,17,0
Alex Smith,KC,1,24,36,225,2,0,6,40,0
Tony Romo,DAL,1,14,30,206,3,0,3,6,0
Matt Ryan,ATL,1,34,61,301,1,4,1,13,0
Ryan Tannehill,MIA,1,22,42,192,2,2,1,12,0
Mike Glennon,TB,1,30,51,275,1,0,3,2,0
Ben Roethlisberger,PIT,1,29,45,275,1,2,1,1,0
Carson Palmer,ARI,1,13,18,172,2,1,1,9,0
Christian Ponder,MIN,1,14,21,145,0,0,5,38,1
Russell Wilson,SEA,1,10,18,139,2,0,3,16,0
Thaddeus Lewis,BUF,1,22,39,234,1,1,2,5,0
Chad Henne,JAC,1,29,45,228,1,0,1,1,0
Eli Manning,NYG,1,25,39,246,0,0,1,-1,0
Robert Griffin III,WAS,1,15,30,132,1,2,5,7,0
Tom Brady,NE,1,13,22,116,1,1,4,5,0
Kellen Clemens,STL,1,15,31,158,0,2,2,11,0
Geno Smith,NYJ,1,20,30,159,0,2,2,8,0
Matt Barkley,PHI,1,17,26,158,0,1,0,0,0
Matt Simms,NYJ,1,3,7,17,0,0,3,35,0
Kirk Cousins,WAS,1,5,9,48,0,2,1,1,0
Josh Johnson,CIN,1,0,0,0,0,0,3,17,0
Michael Vick,PHI,1,6,9,31,0,1,1,1,0
Colt McCoy,SF,1,1,1,13,0,0,0,0,0
