,,,,,,,
Player,Team,G,FGM,FGA,FG%,EPM,EPA
Josh Brown,NYG,1,5,5,100.0%,0,0
Mason Crosby,GB,1,3,3,100.0%,5,5
Dan Bailey,DAL,1,3,3,100.0%,3,3
Ryan Succop,KC,1,3,4,75.0%,2,2
Jay Feely,ARI,1,2,2,100.0%,3,3
Nick Folk,NYJ,1,3,3,100.0%,0,0
Stephen Gostkowski,NE,1,2,2,100.0%,3,3
Matt Prater,DEN,1,1,1,100.0%,6,6
Greg Zuerlein,STL,1,3,4,75.0%,0,0
David Akers,DET,1,1,1,100.0%,4,4
Matt Bryant,ATL,1,2,2,100.0%,1,1
Graham Gano,CAR,1,1,1,100.0%,4,4
Rian Lindell,TB,1,2,2,100.0%,1,1
Mike Nugent,CIN,1,0,0,0.0%,7,7
Blair Walsh,MIN,1,1,1,100.0%,4,4
Phil Dawson,SF,1,0,0,0.0%,6,6
Dan Carpenter,BUF,1,1,2,50.0%,2,2
Billy Cundiff,CLE,1,1,1,100.0%,2,2
Garrett Hartley,NO,1,0,2,0.0%,5,5
Caleb Sturgis,MIA,1,1,3,33.3%,2,2
Josh Scobee,JAC,1,1,1,100.0%,1,1
Shaun Suisham,PIT,1,1,3,33.3%,1,1
Kai Forbath,WAS,1,0,0,0.0%,3,3
Sebastian Janikowski,OAK,1,0,0,0.0%,3,3
Steve Hauschka,SEA,1,0,0,0.0%,2,2
Alex Henery,PHI,1,0,0,0.0%,1,1
