,,,,,,,,,
Player,Team,G,Tackle,Assist,Sack,PD,INT,FF,FR
Kiko Alonso,BUF,1,9,1,1.0,1,1,0,0
Brian Cushing,HOU,1,11,0,2.0,0,0,0,0
Mason Foster,TB,1,3,4,0.0,2,1,0,0
Jerrell Freeman,IND,1,6,2,2.0,0,0,1,0
DeAndre Levy,DET,1,5,0,0.0,1,1,0,0
Luke Kuechly,CAR,1,7,7,0.0,1,1,0,0
Philip Wheeler,MIA,1,8,4,1.0,2,0,0,0
Daryl Smith,BAL,1,3,8,1.5,2,0,0,0
Aldon Smith,SF,1,6,1,2.0,0,0,0,0
Ryan Kerrigan,WAS,1,5,0,2.0,0,0,0,0
Danny Trevathan,DEN,1,8,2,1.0,0,0,0,0
Lance Briggs,CHI,1,8,2,0.0,3,0,0,0
Ahmad Brooks,SF,1,7,2,1.0,0,0,0,0
Lavonte David,TB,1,4,2,1.5,1,0,0,0
Chandler Jones,NE,1,3,2,2.0,0,0,0,0
Zach Brown,TEN,1,11,1,0.0,0,0,0,0
Paul Posluszny,JAC,1,4,5,1.0,1,0,0,0
K.J. Wright,SEA,1,3,3,1.0,1,0,0,1
Bruce Carter,DAL,1,6,0,1.0,1,0,0,0
Thomas Davis,CAR,1,7,4,0.0,1,0,0,0
Dannell Ellerbe,MIA,1,6,8,0.0,0,0,0,0
Alec Ogletree,STL,1,8,0,0.0,2,0,0,0
James Anderson,CHI,1,8,1,0.0,1,0,0,0
Chad Greenway,MIN,1,8,3,0.0,0,0,0,0
Pat Angerer,IND,1,3,8,0.5,0,0,0,0
Karlos Dansby,ARI,1,8,0,0.0,1,0,0,0
Mychal Kendricks,PHI,1,6,2,0.0,0,0,0,1
Brian Orakpo,WAS,1,5,0,1.0,0,0,0,0
Geno Hayes,JAC,1,7,3,0.0,0,0,0,0
Trent Cole,PHI,1,4,0,0.0,1,0,1,0
D'Qwell Jackson,CLE,1,4,4,0.0,0,0,0,1
Spencer Paysinger,NYG,1,8,0,0.0,0,0,0,0
Craig Robertson,CLE,1,3,4,0.0,0,0,1,0
Terrell Suggs,BAL,1,2,4,1.0,0,0,0,0
Navorro Bowman,SF,1,4,7,0.0,0,0,0,0
Jarvis Jones,PIT,1,7,1,0.0,0,0,0,0
Akeem Jordan,KC,1,4,1,0.0,0,0,1,0
Arthur Moats,BUF,1,7,1,0.0,0,0,0,0
DeMeco Ryans,PHI,1,6,3,0.0,0,0,0,0
Vontaze Burfict,CIN,1,5,4,0.0,0,0,0,0
Elvis Dumervil,BAL,1,2,2,1.0,0,0,0,0
Derrick Morgan,TEN,1,3,0,1.0,0,0,0,0
Dekoda Watson,TB,1,0,2,0.0,1,1,0,0
Rey Maualuga,CIN,1,5,3,0.0,0,0,0,0
Jacquian Williams,NYG,1,4,3,0.0,1,0,0,0
Wesley Woodyard,DEN,1,4,3,0.0,1,0,0,0
Dont'a Hightower,NE,1,4,4,0.0,0,0,0,0
Curtis Lofton,NO,1,5,2,0.0,0,0,0,0
Barkevious Mingo,CLE,1,2,0,1.0,0,0,0,0
Lawrence Timmons,PIT,1,4,4,0.0,0,0,0,0
