,,,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Target,Rec,Yard,TD
Garrett Graham,HOU,1,13,7,136,1
Delanie Walker,TEN,1,10,10,91,1
Charles Clay,MIA,1,7,6,90,1
Rob Gronkowski,NE,1,7,5,59,1
Mychal Rivera,OAK,1,6,5,54,1
Antonio Gates,SD,1,6,4,52,1
Greg Olsen,CAR,1,8,5,52,1
Coby Fleener,IND,1,10,8,107,0
Julius Thomas,DEN,1,5,3,43,1
Anthony Fasano,KC,1,4,4,37,1
Vernon Davis,SF,1,5,4,33,1
Jermaine Gresham,CIN,1,6,2,27,1
Jeff Cumberland,NYJ,1,4,3,25,1
Ladarius Green,SD,1,5,4,81,0
Robert Housler,ARI,1,9,6,70,0
John Carlson,MIN,1,7,5,69,0
Zach Miller,SEA,1,5,4,69,0
Heath Miller,PIT,1,10,8,67,0
Alex Smith,CIN,1,1,1,2,1
Tony Gonzalez,ATL,1,8,6,51,0
Martellus Bennett,CHI,1,2,2,48,0
Brent Celek,PHI,1,1,1,42,0
Jimmy Graham,NO,1,11,6,41,0
Scott Chandler,BUF,1,3,2,40,0
Sean McGrath,KC,1,3,2,40,0
Brandon Pettigrew,DET,1,5,3,37,0
Clay Harbor,JAC,1,5,3,32,0
Brandon Myers,NYG,1,4,3,32,0
Dallas Clark,BAL,1,4,2,31,0
Zach Ertz,PHI,1,3,2,31,0
Jake Ballard,ARI,1,1,1,29,0
Jordan Cameron,CLE,1,7,6,29,0
Brandon Bostick,GB,1,1,1,26,0
Marcedes Lewis,JAC,1,7,3,23,0
Jim Dray,ARI,1,2,2,18,0
Andrew Quarless,GB,1,3,2,18,0
Kellen Winslow,NYJ,1,1,1,17,0
Ed Dickson,BAL,1,3,1,16,0
Tyler Eifert,CIN,1,1,1,15,0
Joseph Fauria,DET,1,2,1,14,0
John Phillips,SD,1,1,1,13,0
Tim Wright,TB,1,2,1,13,0
Gary Barnidge,CLE,1,1,1,12,0
Jordan Reed,WAS,1,1,1,12,0
Weslye Saunders,IND,1,3,1,11,0
Vance McDonald,SF,1,2,1,10,0
Luke Willson,SEA,1,1,1,7,0
Levine Toilolo,ATL,1,2,1,6,0
Tom Crabtree,TB,1,1,1,5,0
Michael Hoomanawanui,NE,1,1,1,2,0
