,,,,,,,
Player,Team,G,FGM,FGA,FG%,EPM,EPA
Jay Feely,ARI,1,4,5,80.0%,4,4
Blair Walsh,MIN,1,4,4,100.0%,2,2
Sebastian Janikowski,OAK,1,4,6,66.7%,1,1
Justin Tucker,BAL,1,4,4,100.0%,1,1
Rob Bironas,TEN,1,3,3,100.0%,2,2
Nick Novak,SD,1,2,2,100.0%,5,5
Stephen Gostkowski,NE,1,2,2,100.0%,4,4
Caleb Sturgis,MIA,1,3,4,75.0%,1,1
Greg Zuerlein,STL,1,2,2,100.0%,4,4
Phil Dawson,SF,1,2,2,100.0%,3,3
Shaun Suisham,PIT,1,2,2,100.0%,3,3
Mason Crosby,GB,1,2,2,100.0%,2,2
Graham Gano,CAR,1,2,3,66.7%,2,2
Ryan Succop,KC,1,1,1,100.0%,5,5
Josh Brown,NYG,1,2,2,100.0%,1,1
Matt Bryant,ATL,1,2,3,66.7%,1,1
Matt Prater,DEN,1,1,1,100.0%,4,4
Josh Scobee,JAC,1,2,3,66.7%,1,1
Dan Bailey,DAL,1,1,1,100.0%,3,3
Randy Bullock,HOU,1,2,2,100.0%,0,0
Kai Forbath,WAS,1,2,2,100.0%,0,0
Rian Lindell,TB,1,1,3,33.3%,3,3
Garrett Hartley,NO,1,1,1,100.0%,2,2
David Akers,DET,1,0,0,0.0%,3,3
Billy Cundiff,CLE,1,1,2,50.0%,0,0
Nick Folk,NYJ,1,1,1,100.0%,0,0
Robbie Gould,CHI,1,0,0,0.0%,3,3
Adam Vinatieri,IND,1,1,1,100.0%,0,0
