,,,,,,,,,
Player,Team,G,Tackle,Assist,Sack,PD,INT,FF,FR
Mark Barron,TB,1,10,1,0.0,2,1,0,0
Brent Grimes,MIA,1,5,0,0.0,1,1,0,0
Sean Smith,KC,1,1,1,0.0,2,1,0,0
Dimitri Patterson,MIA,1,8,0,0.0,1,1,0,0
Orlando Scandrick,DAL,1,5,0,0.0,4,1,0,0
Drayton Florence,CAR,1,1,1,0.0,1,1,0,0
Kendrick Lewis,KC,1,6,3,0.0,1,1,0,0
Christopher Owens,CLE,1,6,3,1.0,2,0,0,0
Rodney McLeod,STL,1,6,1,0.0,1,1,0,0
Bradley Fletcher,PHI,1,6,0,0.0,1,1,0,0
Eric Weddle,SD,1,9,6,0.0,0,0,0,0
David Amerson,WAS,1,5,1,0.0,1,1,0,0
Joe Haden,CLE,1,3,3,0.0,2,1,0,0
Devin McCourty,NE,1,4,2,0.0,1,1,0,0
Asante Samuel,ATL,1,8,0,0.0,0,0,1,0
Cortland Finnegan,STL,1,4,1,0.0,1,1,0,0
Desmond Trufant,ATL,1,4,1,0.0,1,1,0,0
Earl Thomas,SEA,1,8,4,0.0,0,0,0,0
Chris Clemons,MIA,1,9,1,0.0,0,0,0,0
Duron Harmon,NE,1,3,1,0.0,1,1,0,0
Keith Tandy,TB,1,2,3,0.0,1,1,0,0
T.J. Ward,CLE,1,4,3,1.0,0,0,0,0
Brandon Carr,DAL,1,8,0,0.0,1,0,0,0
Troy Polamalu,PIT,1,5,2,0.0,0,0,1,0
Morgan Burnett,GB,1,5,5,0.0,1,0,0,0
LaRon Landry,IND,1,8,1,0.0,0,0,0,0
Aaron Williams,BUF,1,7,1,0.0,1,0,0,0
E.J. Biggers,WAS,1,1,2,0.0,1,1,0,0
Corey Graham,BAL,1,6,2,0.0,1,0,0,0
Robert Alford,ATL,1,1,1,0.0,1,1,0,0
Antoine Bethea,IND,1,7,1,0.0,0,0,0,0
Stephon Gilmore,BUF,1,6,1,0.0,1,0,0,0
Marcus Sherels,MIN,1,7,1,0.0,0,0,0,0
Shamarko Thomas,PIT,1,7,1,0.0,0,0,0,0
Charles Tillman,CHI,1,4,1,0.0,0,0,1,0
Brandon Boykin,PHI,1,6,0,0.0,1,0,0,0
Ryan Clark,PIT,1,4,6,0.0,0,0,0,0
Antonio Cromartie,NYJ,1,1,0,0.0,1,1,0,0
Brandon Flowers,KC,1,6,0,0.0,1,0,0,0
Bernard Pollard,TEN,1,6,0,0.0,1,0,0,0
Major Wright,CHI,1,6,2,0.0,0,0,0,0
James Ihedigbo,BAL,1,3,3,0.0,0,0,0,1
Lardarius Webb,BAL,1,5,1,0.0,1,0,0,0
Charles Woodson,OAK,1,5,3,0.0,0,0,0,0
Antonio Allen,NYJ,1,4,2,0.0,1,0,0,0
Kyle Arrington,NE,1,5,0,0.0,1,0,0,0
Casey Hayward,GB,1,5,2,0.0,0,0,0,0
George Iloka,CIN,1,6,0,0.0,0,0,0,0
A.J. Jefferson,MIN,1,0,0,0.0,1,1,0,0
Shiloh Keo,HOU,1,6,0,0.0,0,0,0,0
