,,,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Att,Yard,TD,Target,Rec,Yard,TD
DeMarco Murray,DAL,1,26,175,1,3,3,28,0
Jamaal Charles,KC,1,20,92,1,8,7,80,0
LeSean McCoy,PHI,1,20,158,1,1,0,0,0
Joique Bell,DET,1,20,63,1,5,4,69,0
Johnathan Franklin,GB,1,13,103,1,3,3,23,0
Adrian Peterson,MIN,1,25,88,1,6,6,27,0
Ahmad Bradshaw,IND,1,19,95,1,4,3,16,0
Matt Forte,CHI,1,16,87,1,4,4,24,0
Jason Snelling,ATL,1,11,53,0,5,4,58,1
Giovani Bernard,CIN,1,10,50,1,4,4,49,0
Bilal Powell,NYJ,1,27,149,0,3,2,9,0
Ronnie Hillman,DEN,1,9,66,1,1,1,12,0
Alfred Morris,WAS,1,15,73,1,1,0,0,0
Bernard Pierce,BAL,1,24,65,1,2,2,7,0
Maurice Jones-Drew,JAC,1,19,43,1,5,2,19,0
DeAngelo Williams,CAR,1,23,120,0,2,1,-3,0
Fred Jackson,BUF,1,7,72,0,5,4,37,0
Doug Martin,TB,1,20,88,0,6,2,20,0
Marcel Reece,OAK,1,0,0,0,5,4,45,1
Frank Gore,SF,1,11,82,0,4,2,21,0
Brandon Bolden,NE,1,3,51,0,6,5,49,0
Daniel Thomas,MIA,1,5,21,1,1,1,16,0
Trent Richardson,IND,1,13,35,1,3,0,0,0
Alfonso Smith,ARI,1,3,27,1,1,1,7,0
Jacquizz Rodgers,ATL,1,18,86,0,3,2,7,0
Chris Johnson,TEN,1,19,90,0,2,1,1,0
BenJarvus Green-Ellis,CIN,1,10,29,1,0,0,0,0
Danny Woodhead,SD,1,5,31,0,8,7,55,0
Kendall Hunter,SF,1,4,14,1,1,1,4,0
Mike Tolbert,CAR,1,9,18,1,0,0,0,0
Michael Bush,CHI,1,8,9,1,1,0,0,0
Marshawn Lynch,SEA,1,17,69,0,0,0,0,0
Darren McFadden,OAK,1,12,9,1,1,0,0,0
Pierre Thomas,NO,1,11,28,0,6,6,39,0
Ronnie Brown,SD,1,5,6,1,0,0,0,0
LeGarrette Blount,NE,1,14,65,0,0,0,0,0
Jordan Todman,JAC,1,2,5,1,0,0,0,0
Lamar Miller,MIA,1,8,62,0,3,1,2,0
Isaiah Pead,STL,1,6,20,0,7,7,43,0
Montee Ball,DEN,1,11,61,0,0,0,0,0
Ryan Mathews,SD,1,16,58,0,0,0,0,0
Darren Sproles,NO,1,3,17,0,6,4,39,0
Andre Ellington,ARI,1,3,19,0,6,3,36,0
James Starks,GB,1,14,55,0,0,0,0,0
Chris Ogbonnaya,CLE,1,2,23,0,5,4,30,0
Arian Foster,HOU,1,12,54,0,2,1,-2,0
Jonathan Dwyer,PIT,1,12,39,0,3,1,9,0
Felix Jones,PIT,1,7,34,0,2,2,13,0
Knowshon Moreno,DEN,1,12,39,0,2,1,6,0
Stevan Ridley,NE,1,11,35,0,1,1,8,0
