,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing
Player,Team,G,Target,Rec,Yard,TD,Att,Yard,TD
Eric Decker,DEN,1,17,10,131,2,0,0,0
A.J. Green,CIN,1,12,7,97,2,0,0,0
Pierre Garcon,WAS,1,18,11,144,1,0,0,0
Roddy White,ATL,1,15,12,141,1,0,0,0
Demaryius Thomas,DEN,1,14,8,123,1,0,0,0
Nate Washington,TEN,1,8,6,117,1,0,0,0
David Nelson,NYJ,1,5,4,33,2,0,0,0
Jerrel Jernigan,NYG,1,12,6,80,1,0,0,0
Dez Bryant,DAL,1,11,4,73,1,0,0,0
Anquan Boldin,SF,1,7,6,72,1,0,0,0
Stedman Bailey,STL,1,5,3,44,0,1,27,1
Mike Brown,JAC,1,6,5,71,1,0,0,0
Cordarrelle Patterson,MIN,1,7,3,8,0,3,54,1
Josh Gordon,CLE,1,16,6,97,0,1,22,0
Jarrett Boykin,GB,1,13,5,54,1,0,0,0
Riley Cooper,PHI,1,3,3,53,1,0,0,0
Mohamed Sanu,CIN,1,6,4,35,1,3,12,0
Antonio Brown,PIT,1,13,6,105,0,0,0,0
Michael Crabtree,SF,1,7,5,102,0,0,0,0
Vincent Jackson,TB,1,10,5,98,0,0,0,0
Brandon Marshall,CHI,1,9,4,36,1,0,0,0
Jarius Wright,MIN,1,2,1,36,1,0,0,0
Keshawn Martin,HOU,1,6,4,35,1,0,0,0
Michael Floyd,ARI,1,5,1,31,1,0,0,0
Marvin Jones,CIN,1,7,6,85,0,2,6,0
Keenan Allen,SD,1,7,3,26,1,0,0,0
James Jones,GB,1,12,9,84,0,0,0,0
Terrance Williams,DAL,1,6,4,84,0,0,0,0
Griff Whalen,IND,1,8,7,80,0,0,0,0
Domenik Hixon,CAR,1,3,2,18,1,0,0,0
Jeremy Kerley,NYJ,1,11,5,70,0,1,8,0
Julian Edelman,NE,1,11,7,77,0,0,0,0
Alshon Jeffery,CHI,1,9,6,76,0,0,0,0
Ted Ginn Jr.,CAR,1,4,2,66,0,1,7,0
Andre Holmes,OAK,1,8,5,71,0,0,0,0
Drew Davis,ATL,1,3,3,70,0,0,0,0
Robert Woods,BUF,1,5,3,70,0,0,0,0
Torrey Smith,BAL,1,8,3,69,0,0,0,0
Emmanuel Sanders,PIT,1,2,2,7,1,0,0,0
Marques Colston,NO,1,10,5,63,0,0,0,0
Andre Johnson,HOU,1,13,4,63,0,0,0,0
Eddie Royal,SD,1,4,4,54,0,0,0,0
Brian Hartline,MIA,1,10,2,53,0,0,0,0
T.Y. Hilton,IND,1,7,5,52,0,0,0,0
Hakeem Nicks,NYG,1,7,4,52,0,0,0,0
Marlon Brown,BAL,1,7,4,51,0,0,0,0
Lance Moore,NO,1,3,3,47,0,0,0,0
Dwayne Bowe,KC,1,10,5,46,0,0,0,0
Harry Douglas,ATL,1,9,5,46,0,0,0,0
Jordy Nelson,GB,1,5,3,46,0,0,0,0
