,,,,,,,
Player,Team,G,FGM,FGA,FG%,EPM,EPA
Alex Henery,PHI,1,5,5,100.0%,3,3
Mason Crosby,GB,1,5,5,100.0%,1,1
Matt Prater,DEN,1,3,3,100.0%,6,6
Garrett Hartley,NO,1,4,4,100.0%,2,2
Steve Hauschka,SEA,1,4,5,80.0%,2,2
Ryan Succop,KC,1,4,4,100.0%,2,2
Justin Tucker,BAL,1,4,4,100.0%,2,2
Billy Cundiff,CLE,1,3,3,100.0%,4,4
Nick Folk,NYJ,1,3,3,100.0%,3,3
Caleb Sturgis,MIA,1,3,4,75.0%,2,2
Dan Bailey,DAL,1,2,2,100.0%,4,4
Phil Dawson,SF,1,2,2,100.0%,4,4
Greg Zuerlein,STL,1,2,2,100.0%,4,4
Sebastian Janikowski,OAK,1,2,2,100.0%,3,3
Jay Feely,ARI,1,2,2,100.0%,2,2
Josh Scobee,JAC,1,2,2,100.0%,2,2
Adam Vinatieri,IND,1,2,2,100.0%,2,2
Mike Nugent,CIN,1,2,2,100.0%,1,1
Dan Carpenter,BUF,1,1,1,100.0%,3,3
Graham Gano,CAR,1,2,2,100.0%,0,0
Stephen Gostkowski,NE,1,2,2,100.0%,0,0
Rob Bironas,TEN,1,1,2,50.0%,2,2
Nick Novak,SD,1,1,2,50.0%,2,2
Matt Bryant,ATL,1,0,0,0.0%,4,4
Robbie Gould,CHI,1,1,1,100.0%,1,1
David Akers,DET,1,1,1,100.0%,0,0
Josh Brown,NYG,1,0,0,0.0%,3,3
Randy Bullock,HOU,1,1,2,50.0%,0,0
