,,,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Target,Rec,Yard,TD
Jared Cook,STL,1,10,7,141,2
Julius Thomas,DEN,1,7,5,110,2
Vernon Davis,SF,1,9,6,98,2
Jason Witten,DAL,1,9,8,70,2
Owen Daniels,HOU,1,7,5,67,2
Jordan Cameron,CLE,1,13,9,108,1
Kellen Winslow,NYJ,1,8,7,79,1
Brandon Myers,NYG,1,9,7,66,1
Brent Celek,PHI,1,3,2,56,1
Jermichael Finley,GB,1,8,5,56,1
Martellus Bennett,CHI,1,6,3,49,1
Jimmy Graham,NO,1,7,4,45,1
Tony Gonzalez,ATL,1,6,3,36,1
Dallas Clark,BAL,1,12,7,87,0
Joseph Fauria,DET,1,3,3,27,1
Garrett Graham,HOU,1,5,4,27,1
Dwayne Allen,IND,1,2,1,20,1
Greg Olsen,CAR,1,10,5,56,0
Charles Clay,MIA,1,6,5,54,0
Antonio Gates,SD,1,4,2,49,0
Tyler Eifert,CIN,1,5,5,47,0
Zach Miller,SEA,1,4,3,42,0
Jeron Mastrud,OAK,1,1,1,41,0
Delanie Walker,TEN,1,4,3,40,0
Scott Chandler,BUF,1,6,4,38,0
Jordan Reed,WAS,1,6,5,38,0
Jermaine Gresham,CIN,1,5,5,35,0
Allen Reisner,JAC,1,5,3,31,0
Ben Watson,NO,1,3,3,31,0
Kyle Rudolph,MIN,1,4,2,27,0
Mychal Rivera,OAK,1,3,2,26,0
Lance Kendricks,STL,1,4,3,25,0
Vance McDonald,SF,1,2,1,25,0
Fred Davis,WAS,1,4,2,22,0
Jim Dray,ARI,1,2,2,21,0
Kory Sperry,ARI,1,1,1,16,0
Ed Dickson,BAL,1,5,1,13,0
Zach Ertz,PHI,1,3,1,11,0
David Johnson,PIT,1,1,1,11,0
Gary Barnidge,CLE,1,1,1,9,0
Anthony Fasano,KC,1,5,2,8,0
Gavin Escobar,DAL,1,2,1,7,0
Coby Fleener,IND,1,1,1,7,0
Brandon Pettigrew,DET,1,4,2,6,0
Clay Harbor,JAC,1,1,1,5,0
Michael Hoomanawanui,NE,1,2,1,5,0
Nate Byham,TB,1,1,1,1,0
John Carlson,MIN,1,1,0,0,0
John Phillips,SD,1,1,0,0,0
Tony Scheffler,DET,1,1,0,0,0
