,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing
Player,Team,G,Comp,Att,Yard,TD,INT,Att,Yard,TD
Peyton Manning,DEN,1,22,35,403,5,2,3,-3,0
Cam Newton,CAR,1,18,29,263,2,2,5,68,1
Russell Wilson,SEA,1,22,30,310,3,0,8,47,0
Brandon Weeden,CLE,1,24,40,370,3,2,2,5,0
Matthew Stafford,DET,1,22,35,330,3,2,1,8,0
Alex Smith,KC,1,26,42,293,2,1,4,46,0
Carson Palmer,ARI,1,24,41,302,3,2,1,-1,0
Ryan Tannehill,MIA,1,28,43,331,2,1,3,22,0
Tom Brady,NE,1,29,41,371,2,1,0,0,0
Nick Foles,PHI,1,21,34,237,3,0,9,22,0
Josh McCown,CHI,1,23,36,355,2,0,0,0,0
Ryan Fitzpatrick,TEN,1,21,37,201,1,3,8,54,1
Robert Griffin III,WAS,1,24,32,207,1,0,12,88,0
Ben Roethlisberger,PIT,1,28,44,257,2,0,1,11,0
Matt Ryan,ATL,1,28,47,311,1,0,2,17,0
EJ Manuel,BUF,1,18,32,210,1,0,4,3,1
Case Keenum,HOU,1,15,30,272,0,1,3,6,1
Colin Kaepernick,SF,1,19,28,275,1,0,4,21,0
Chad Henne,JAC,1,22,40,195,2,1,0,0,0
Joe Flacco,BAL,1,24,35,251,1,0,4,7,0
Kellen Clemens,STL,1,19,37,218,1,1,3,21,0
Philip Rivers,SD,1,23,37,252,1,1,1,4,0
Matt Cassel,MIN,1,20,33,243,1,1,1,0,0
Eli Manning,NYG,1,22,28,235,1,1,3,0,0
Tony Romo,DAL,1,23,32,225,1,0,1,-1,0
Andy Dalton,CIN,1,14,23,190,1,1,3,9,0
Andrew Luck,IND,1,17,32,200,0,1,5,42,0
Matt McGloin,OAK,1,18,30,255,0,1,2,-1,0
Drew Brees,NO,1,23,38,147,1,0,1,-1,0
Mike Glennon,TB,1,14,21,180,0,1,2,3,0
Matt Flynn,GB,1,10,20,139,0,1,2,4,0
Matt Simms,NYJ,1,9,18,79,0,1,2,2,0
Christian Ponder,MIN,1,3,8,40,0,0,0,0,0
Geno Smith,NYJ,1,4,10,29,0,1,1,2,0
Derek Anderson,CAR,1,0,0,0,0,0,1,2,0
Shaun Hill,DET,1,0,0,0,0,0,2,-2,0
