,,,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Target,Rec,Yard,TD
Jason Witten,DAL,1,16,12,135,0
Brent Celek,PHI,1,5,3,71,1
Jimmy Graham,NO,1,8,5,71,1
Tim Wright,TB,1,10,5,58,1
Vernon Davis,SF,1,5,3,45,1
Greg Olsen,CAR,1,8,6,42,1
Antonio Gates,SD,1,5,4,31,1
Jared Cook,STL,1,7,5,30,1
Ladarius Green,SD,1,2,1,22,1
Robert Housler,ARI,1,6,5,78,0
Gavin Escobar,DAL,1,1,1,17,1
Marcedes Lewis,JAC,1,6,3,70,0
Jordan Cameron,CLE,1,7,5,69,0
Nick Kasa,OAK,1,2,1,9,1
Dennis Pitta,BAL,1,11,8,63,0
Jake Ballard,ARI,1,1,1,1,1
Tony Gonzalez,ATL,1,4,4,56,0
Scott Chandler,BUF,1,4,3,55,0
Lance Kendricks,STL,1,6,5,54,0
Ryan Griffin,HOU,1,7,3,49,0
Charles Clay,MIA,1,6,4,43,0
Zach Ertz,PHI,1,5,3,43,0
Julius Thomas,DEN,1,5,5,36,0
Kellen Winslow,NYJ,1,3,1,34,0
Logan Paulsen,WAS,1,8,4,32,0
Andrew Quarless,GB,1,6,2,31,0
Jeff Cumberland,NYJ,1,2,1,30,0
Jacob Tamme,DEN,1,4,3,29,0
Delanie Walker,TEN,1,3,3,29,0
Joel Dreessen,DEN,1,3,3,26,0
Coby Fleener,IND,1,4,1,25,0
Mychal Rivera,OAK,1,4,2,23,0
Zach Miller,SEA,1,5,3,21,0
Joseph Fauria,DET,1,3,3,20,0
Jim Dray,ARI,1,1,1,18,0
Weslye Saunders,IND,1,2,1,18,0
Heath Miller,PIT,1,2,2,17,0
Martellus Bennett,CHI,1,1,1,15,0
Virgil Green,DEN,1,2,2,15,0
Rhett Ellison,MIN,1,1,1,13,0
Clay Harbor,JAC,1,2,2,11,0
Sean McGrath,KC,1,2,1,11,0
Brandon Myers,NYG,1,5,2,9,0
Orson Charles,CIN,1,2,1,8,0
Alex Smith,CIN,1,1,1,7,0
Zach Sudfeld,NYJ,1,1,1,7,0
Ben Watson,NO,1,2,1,7,0
Luke Willson,SEA,1,2,1,4,0
Richard Gordon,KC,1,1,1,3,0
Jack Doyle,IND,1,1,1,2,0
