,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing
Player,Team,G,Comp,Att,Yard,TD,INT,Att,Yard,TD
Drew Brees,NO,1,24,31,381,4,0,2,8,1
Andy Dalton,CIN,1,21,36,281,2,4,6,23,1
Peyton Manning,DEN,1,25,28,266,4,0,0,0,0
Carson Palmer,ARI,1,28,49,407,2,1,1,-1,0
Kyle Orton,DAL,1,30,46,358,2,2,1,8,0
Colin Kaepernick,SF,1,21,34,310,2,0,4,24,0
Aaron Rodgers,GB,1,25,39,318,2,2,1,5,0
Philip Rivers,SD,1,22,33,229,3,1,3,2,0
Cam Newton,CAR,1,15,27,149,2,1,12,72,0
Matt Ryan,ATL,1,28,40,280,2,1,2,-1,0
Nick Foles,PHI,1,17,26,263,2,0,5,-5,0
Chad Henne,JAC,1,30,51,331,1,1,1,0,0
Chase Daniel,KC,1,21,30,200,1,0,7,59,0
Geno Smith,NYJ,1,17,27,190,0,0,10,44,1
Jay Cutler,CHI,1,15,24,226,2,1,0,0,0
Mike Glennon,TB,1,22,41,219,2,1,0,0,0
Andrew Luck,IND,1,26,37,282,1,0,2,7,0
Thaddeus Lewis,BUF,1,16,29,247,1,0,2,4,0
Jason Campbell,CLE,1,23,41,240,1,1,1,6,0
Ryan Tannehill,MIA,1,20,40,204,1,3,2,19,0
Matthew Stafford,DET,1,22,33,217,1,0,0,0,0
Matt Cassel,MIN,1,20,33,189,1,1,4,5,0
Ben Roethlisberger,PIT,1,19,31,179,1,2,4,9,0
Joe Flacco,BAL,1,30,50,192,1,3,1,1,0
Russell Wilson,SEA,1,15,23,172,1,0,5,-1,0
Matt Schaub,HOU,1,22,34,229,0,2,2,7,0
Kellen Clemens,STL,1,21,30,157,1,2,2,2,0
Eli Manning,NYG,1,10,24,152,1,1,0,0,0
Tom Brady,NE,1,14,24,122,1,1,4,-3,0
Kirk Cousins,WAS,1,19,49,169,0,2,1,3,0
Ryan Fitzpatrick,TEN,1,15,24,166,0,1,2,-2,0
Brock Osweiler,DEN,1,9,13,85,0,0,1,-1,0
Matt Hasselbeck,IND,1,3,4,25,0,0,1,-1,0
Curtis Painter,NYG,1,2,8,11,0,1,3,-2,0
Luke McCown,NO,1,0,0,0,0,0,1,-2,0
