,,,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Att,Yard,TD,Target,Rec,Yard,TD
Jamaal Charles,KC,1,8,20,1,8,8,195,4
Matt Asiata,MIN,1,30,51,3,5,3,15,0
Eddie Lacy,GB,1,21,141,1,5,4,30,0
DeAngelo Williams,CAR,1,15,81,0,4,3,87,1
Rashad Jennings,OAK,1,23,91,2,3,3,12,0
DeMarco Murray,DAL,1,18,134,1,7,4,19,0
Zac Stacy,STL,1,28,133,1,2,1,10,0
Rashard Mendenhall,ARI,1,21,69,2,2,1,9,0
Ryan Mathews,SD,1,29,127,1,1,1,1,0
Marshawn Lynch,SEA,1,16,47,1,6,6,73,0
Le'Veon Bell,PIT,1,24,57,1,5,5,50,0
Steven Jackson,ATL,1,15,38,2,6,4,5,0
Trent Richardson,IND,1,19,64,0,6,4,38,1
Reggie Bush,DET,1,17,86,1,4,2,15,0
Andre Ellington,ARI,1,10,71,0,5,4,87,0
Jordan Todman,JAC,1,25,109,0,8,4,44,0
Chris Johnson,TEN,1,13,40,0,3,3,51,1
Edwin Baker,CLE,1,8,38,1,4,4,46,0
Matt Forte,CHI,1,24,127,0,3,1,4,0
Giovani Bernard,CIN,1,13,33,1,4,2,13,0
LeSean McCoy,PHI,1,8,38,0,7,5,68,0
Alfred Morris,WAS,1,18,98,0,1,1,8,0
Michael Bush,CHI,1,3,44,1,0,0,0,0
Knile Davis,KC,1,9,34,1,2,2,8,0
Ben Tate,HOU,1,16,72,0,6,3,20,0
Frank Summers,BUF,1,4,14,0,3,3,16,1
Fred Jackson,BUF,1,17,80,0,2,1,8,0
Frank Gore,SF,1,22,86,0,0,0,0,0
Mike Tolbert,CAR,1,12,18,1,2,1,7,0
James Starks,GB,1,3,12,0,1,1,11,1
Pierre Thomas,NO,1,8,21,0,8,7,62,0
Daniel Thomas,MIA,1,5,16,0,1,1,2,1
Marcel Reece,OAK,1,5,18,0,7,2,52,0
C.J. Spiller,BUF,1,13,67,0,2,1,1,0
Chris Ivory,NYJ,1,11,66,0,1,0,0,0
Ray Rice,BAL,1,12,56,0,4,1,8,0
Darren Sproles,NO,1,7,24,0,10,8,38,0
Lamar Miller,MIA,1,15,61,0,1,1,0,0
Bilal Powell,NYJ,1,8,37,0,4,4,19,0
Knowshon Moreno,DEN,1,8,19,0,6,5,36,0
LeGarrette Blount,NE,1,11,47,0,1,1,6,0
Taiwan Jones,OAK,1,0,0,0,2,1,52,0
Montee Ball,DEN,1,3,-1,0,5,5,49,0
Joique Bell,DET,1,9,24,0,2,1,23,0
Chris Ogbonnaya,CLE,1,5,7,0,5,5,39,0
Mark Ingram,NO,1,1,5,0,2,2,39,0
Danny Woodhead,SD,1,9,29,0,1,1,13,0
Jacquizz Rodgers,ATL,1,4,17,0,4,4,24,0
Kendall Hunter,SF,1,8,40,0,0,0,0,0
Donald Brown,IND,1,5,38,0,0,0,0,0
