,,,,,,,
Player,Team,G,FGM,FGA,FG%,EPM,EPA
Mason Crosby,GB,1,4,5,80.0%,1,1
Nick Novak,SD,1,4,4,100.0%,1,1
Shaun Suisham,PIT,1,4,4,100.0%,1,1
Phil Dawson,SF,1,3,3,100.0%,3,3
Stephen Gostkowski,NE,1,3,3,100.0%,3,3
Kai Forbath,WAS,1,3,4,75.0%,1,1
Robbie Gould,CHI,1,2,2,100.0%,3,3
Garrett Hartley,NO,1,2,2,100.0%,3,3
Mike Nugent,CIN,1,2,3,66.7%,3,3
Adam Vinatieri,IND,1,3,3,100.0%,0,0
Steve Hauschka,SEA,1,2,2,100.0%,2,2
Rian Lindell,TB,1,2,2,100.0%,2,2
Greg Zuerlein,STL,1,1,1,100.0%,5,5
David Akers,DET,1,1,1,100.0%,4,4
Dan Bailey,DAL,1,1,1,100.0%,4,4
Rob Bironas,TEN,1,2,2,100.0%,1,1
Randy Bullock,HOU,1,2,2,100.0%,1,1
Alex Henery,PHI,1,1,1,100.0%,4,4
Josh Scobee,JAC,1,2,2,100.0%,1,1
Dan Carpenter,BUF,1,1,1,100.0%,3,3
Nick Folk,NYJ,1,2,2,100.0%,0,0
Ryan Succop,KC,1,1,1,100.0%,3,3
Billy Cundiff,CLE,1,1,1,100.0%,2,2
Graham Gano,CAR,1,0,0,0.0%,5,5
Matt Prater,DEN,1,0,0,0.0%,5,5
Justin Tucker,BAL,1,1,1,100.0%,2,2
Blair Walsh,MIN,1,1,1,100.0%,1,1
Josh Brown,NYG,1,0,0,0.0%,3,3
Jay Feely,ARI,1,0,0,0.0%,2,2
Sebastian Janikowski,OAK,1,0,1,0.0%,1,1
