,,,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Att,Yard,TD,Target,Rec,Yard,TD
Pierre Thomas,NO,1,17,87,1,7,7,24,1
Marshawn Lynch,SEA,1,24,145,1,3,3,16,0
Mark Ingram,NO,1,14,145,1,3,2,15,0
Darren Sproles,NO,1,5,12,1,7,7,76,1
Adrian Peterson,MIN,1,20,75,2,2,2,2,0
Andre Brown,NYG,1,30,115,1,3,1,4,0
LeSean McCoy,PHI,1,25,155,0,1,1,6,0
Le'Veon Bell,PIT,1,22,57,1,3,3,39,0
Giovani Bernard,CIN,1,14,58,0,8,8,37,1
DeMarco Murray,DAL,1,16,89,1,2,1,6,0
Alfred Morris,WAS,1,26,139,0,0,0,0,0
Maurice Jones-Drew,JAC,1,21,41,1,4,4,33,0
Zac Stacy,STL,1,26,62,1,3,2,6,0
Donald Brown,IND,1,2,-1,0,5,5,64,1
Ryan Mathews,SD,1,14,59,1,2,1,2,0
Bobby Rainey,TB,1,8,45,1,1,1,11,0
Knowshon Moreno,DEN,1,15,65,0,8,8,49,0
Reggie Bush,DET,1,14,105,0,6,3,8,0
Rashad Jennings,OAK,1,20,88,0,5,2,19,0
DeAngelo Williams,CAR,1,8,46,1,2,0,0,0
Danny Woodhead,SD,1,6,27,0,5,4,17,1
Frank Gore,SF,1,16,82,0,2,2,21,0
Benny Cunningham,STL,1,7,72,0,1,1,18,0
Eddie Lacy,GB,1,24,73,0,2,2,11,0
Andre Ellington,ARI,1,11,55,0,4,2,18,0
Chris Johnson,TEN,1,12,30,0,7,5,43,0
Brian Leonard,TB,1,20,57,0,3,2,16,0
Jordan Todman,JAC,1,3,11,1,1,1,2,0
Ben Tate,HOU,1,15,56,0,5,3,8,0
Fred Jackson,BUF,1,12,55,0,4,3,7,0
Jacquizz Rodgers,ATL,1,3,31,0,7,5,28,0
Dan Herron,IND,1,1,0,0,1,1,57,0
Ray Rice,BAL,1,18,30,0,6,6,26,0
Rashard Mendenhall,ARI,1,13,42,0,1,1,9,0
Matt Forte,CHI,1,17,33,0,7,4,16,0
Bernard Pierce,BAL,1,8,31,0,3,2,12,0
Joique Bell,DET,1,10,41,0,1,0,0,0
Jonathan Dwyer,PIT,1,6,38,0,1,1,3,0
Mike James,TB,1,5,41,0,0,0,0,0
Jonathan Stewart,CAR,1,13,41,0,0,0,0,0
Ronnie Brown,SD,1,9,36,0,0,0,0,0
BenJarvus Green-Ellis,CIN,1,9,36,0,0,0,0,0
Trent Richardson,IND,1,5,2,0,5,3,33,0
C.J. Spiller,BUF,1,8,23,0,3,3,11,0
Christine Michael,SEA,1,8,33,0,0,0,0,0
Shonn Greene,TEN,1,9,22,0,3,3,10,0
Jason Snelling,ATL,1,1,7,0,4,3,25,0
Roy Helu,WAS,1,2,8,0,4,3,23,0
Marcel Reece,OAK,1,0,0,0,3,3,30,0
Stanley Havili,IND,1,1,1,0,4,3,25,0
