,,,,,,,
Player,Team,G,FGM,FGA,FG%,EPM,EPA
Steve Hauschka,SEA,1,4,4,100.0%,3,3
Shaun Suisham,PIT,1,3,3,100.0%,2,2
Blair Walsh,MIN,1,2,2,100.0%,4,4
Rob Bironas,TEN,1,2,2,100.0%,3,3
Phil Dawson,SF,1,3,3,100.0%,0,0
Jay Feely,ARI,1,2,2,100.0%,3,3
Kai Forbath,WAS,1,2,2,100.0%,3,3
Alex Henery,PHI,1,2,3,66.7%,3,3
Josh Scobee,JAC,1,2,2,100.0%,3,3
Sebastian Janikowski,OAK,1,2,2,100.0%,2,2
Rian Lindell,TB,1,2,2,100.0%,2,2
Nick Novak,SD,1,2,3,66.7%,2,2
Justin Tucker,BAL,1,2,2,100.0%,2,2
Greg Zuerlein,STL,1,1,1,100.0%,5,5
Mason Crosby,GB,1,2,4,50.0%,1,1
Robbie Gould,CHI,1,2,2,100.0%,1,1
Garrett Hartley,NO,1,0,1,0.0%,7,7
Caleb Sturgis,MIA,1,2,2,100.0%,1,1
Josh Brown,NYG,1,1,1,100.0%,3,3
Randy Bullock,HOU,1,1,2,50.0%,3,3
Dan Bailey,DAL,1,1,1,100.0%,2,2
Mike Nugent,CIN,1,1,2,50.0%,2,2
Matt Bryant,ATL,1,1,1,100.0%,1,1
Dan Carpenter,BUF,1,1,1,100.0%,1,1
Graham Gano,CAR,1,1,2,50.0%,1,1
Matt Prater,DEN,1,0,0,0.0%,4,4
David Akers,DET,1,0,1,0.0%,3,3
