,,,,,,,,,
Player,Team,G,Tackle,Assist,Sack,PD,INT,FF,FR
Dre Kirkpatrick,CIN,1,4,5,0.0,3,2,0,0
Melvin White,CAR,1,7,1,0.0,1,1,0,0
Dee Milliner,NYJ,1,4,0,0.0,5,2,0,0
Trumaine McBride,NYG,1,0,0,0.0,6,2,0,0
Charles Woodson,OAK,1,10,1,1.0,0,0,0,0
Chris Crocker,CIN,1,4,0,1.0,1,1,0,0
Reed Doughty,WAS,1,7,2,0.0,1,1,0,0
Josh Wilson,WAS,1,4,3,0.0,1,1,0,1
Louis Delmas,DET,1,3,0,1.0,1,1,0,0
Ron Parker,KC,1,6,0,0.0,2,1,0,0
James Ihedigbo,BAL,1,5,2,0.0,1,1,0,0
Brice McCain,HOU,1,5,0,0.0,2,1,0,0
Brandon Meriweather,WAS,1,8,0,0.0,1,0,1,0
D.J. Swearinger,HOU,1,7,3,0.0,0,0,1,0
Eric Weddle,SD,1,9,5,0.0,0,0,0,0
Robert Blanton,MIN,1,9,4,0.0,0,0,0,0
Darius Butler,IND,1,6,2,0.0,2,0,0,1
Eric Reid,SF,1,10,0,0.0,1,0,0,0
Tashaun Gipson,CLE,1,3,3,0.0,1,1,0,0
Don Jones,MIA,1,10,1,0.0,0,0,0,0
Lardarius Webb,BAL,1,3,1,0.0,2,1,0,0
Brandon Boykin,PHI,1,1,2,0.0,3,1,0,0
Chris Conte,CHI,1,4,0,0.0,1,1,0,0
Tim Jennings,CHI,1,3,0,0.0,2,1,0,0
Tramon Williams,GB,1,5,1,0.0,1,0,1,0
John Cyprien,JAC,1,6,0,0.0,3,0,0,0
Matt Elam,BAL,1,7,3,0.0,0,0,0,0
Bradley Fletcher,PHI,1,6,1,0.0,0,0,0,1
Steve Gregory,NE,1,4,1,1.0,0,0,0,0
Keenan Lewis,NO,1,2,1,0.0,1,1,0,0
Mike Mitchell,CAR,1,3,1,1.0,1,0,0,0
Reggie Nelson,CIN,1,6,1,0.0,2,0,0,0
Harrison Smith,MIN,1,8,1,0.0,0,0,0,0
Jimmy Smith,BAL,1,1,1,0.0,2,1,0,0
Corey Graham,BAL,1,1,2,0.0,1,1,0,0
Michael Griffin,TEN,1,1,2,0.0,1,1,0,0
Sam Shields,GB,1,2,0,0.0,1,1,0,0
Yeremiah Bell,ARI,1,7,1,0.0,0,0,0,0
Kam Chancellor,SEA,1,6,3,0.0,0,0,0,0
Chimdi Chekwa,OAK,1,7,1,0.0,0,0,0,0
Patrick Chung,PHI,1,5,5,0.0,0,0,0,0
Barry Church,DAL,1,7,1,0.0,0,0,0,0
William Moore,ATL,1,1,1,0.0,1,1,0,0
Jamarca Sanford,MIN,1,3,3,0.0,0,0,1,0
Terrell Thomas,NYG,1,4,1,0.0,3,0,0,0
Major Wright,CHI,1,7,1,0.0,0,0,0,0
Husain Abdullah,KC,1,6,2,0.0,0,0,0,0
Roman Harper,NO,1,6,2,0.0,0,0,0,0
Leonard Johnson,TB,1,6,0,0.0,1,0,0,0
Dawan Landry,NYJ,1,6,2,0.0,0,0,0,0
