,,,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Target,Rec,Yard,TD
Julius Thomas,DEN,1,12,9,122,2
Jason Witten,DAL,1,10,7,121,1
Vernon Davis,SF,1,6,3,88,1
Jeff Cumberland,NYJ,1,4,3,79,1
Jimmy Graham,NO,1,11,10,135,0
Charles Clay,MIA,1,6,3,52,1
Brent Celek,PHI,1,3,3,47,1
Tony Gonzalez,ATL,1,14,10,97,0
Lance Kendricks,STL,1,6,4,37,1
Greg Olsen,CAR,1,6,5,79,0
Levine Toilolo,ATL,1,2,2,15,1
Antonio Gates,SD,1,10,7,74,0
Jim Dray,ARI,1,2,2,13,1
Kellen Winslow,NYJ,1,1,1,1,1
Owen Daniels,HOU,1,9,6,60,0
Brandon Pettigrew,DET,1,5,4,59,0
Martellus Bennett,CHI,1,5,5,56,0
Tony Scheffler,DET,1,7,4,55,0
Sean McGrath,KC,1,6,4,54,0
Tyler Eifert,CIN,1,7,5,53,0
Ed Dickson,BAL,1,2,2,51,0
Scott Chandler,BUF,1,6,4,49,0
Delanie Walker,TEN,1,6,4,43,0
Clay Harbor,JAC,1,5,3,39,0
Zach Ertz,PHI,1,3,2,38,0
Jordan Cameron,CLE,1,5,3,36,0
Brandon Myers,NYG,1,5,2,35,0
Jermichael Finley,GB,1,6,6,32,0
Luke Willson,SEA,1,4,2,28,0
Jared Cook,STL,1,3,3,26,0
Gavin Escobar,DAL,1,3,1,25,0
Jermaine Gresham,CIN,1,4,4,24,0
Coby Fleener,IND,1,3,2,15,0
Garrett Graham,HOU,1,5,3,15,0
Mychal Rivera,OAK,1,3,1,5,0
James Hanna,DAL,1,1,1,3,0
Gary Barnidge,CLE,1,1,1,2,0
Michael Hoomanawanui,NE,1,2,1,2,0
Kevin Brock,KC,1,2,0,0,0
Michael Egnew,MIA,1,1,0,0,0
Ladarius Green,SD,1,1,0,0,0
Robert Housler,ARI,1,2,0,0,0
Dante Rosario,CHI,1,1,0,0,0
Lee Smith,BUF,1,1,0,0,0
Ryan Taylor,GB,1,1,0,0,0
Ben Watson,NO,1,1,0,0,0
D.J. Williams,JAC,1,1,0,0,0
