,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing
Player,Team,G,Comp,Att,Yard,TD,INT,Att,Yard,TD
Ben Roethlisberger,PIT,1,29,45,367,4,0,6,12,0
Cam Newton,CAR,1,19,28,209,3,0,7,62,0
Carson Palmer,ARI,1,30,42,419,2,0,3,-3,0
Matthew Stafford,DET,1,19,46,362,2,1,3,24,0
Nick Foles,PHI,1,17,26,298,0,0,9,47,1
Robert Griffin III,WAS,1,17,35,264,2,1,10,44,0
Alex Smith,KC,1,21,45,230,2,0,5,52,0
Matt McGloin,OAK,1,18,32,197,3,0,3,-3,0
EJ Manuel,BUF,1,20,28,245,2,0,7,9,0
Russell Wilson,SEA,1,13,18,230,2,0,2,14,0
Andrew Luck,IND,1,23,36,232,0,0,9,31,1
Matt Ryan,ATL,1,19,36,254,2,2,0,0,0
Peyton Manning,DEN,1,24,40,323,1,0,1,0,0
Mike Glennon,TB,1,20,23,231,2,0,1,4,0
Philip Rivers,SD,1,22,34,298,1,1,2,6,0
Ryan Tannehill,MIA,1,22,35,268,1,1,4,21,0
Drew Brees,NO,1,30,43,305,1,1,1,-1,0
Tom Brady,NE,1,29,40,296,1,1,1,3,0
Eli Manning,NYG,1,25,35,279,1,1,1,3,0
Scott Tolzien,GB,1,24,34,339,0,3,2,11,0
Ryan Fitzpatrick,TEN,1,22,28,222,1,0,4,26,0
Colin Kaepernick,SF,1,17,31,127,2,1,3,25,0
Chad Henne,JAC,1,27,42,255,1,2,0,0,0
Andy Dalton,CIN,1,13,27,93,3,2,4,0,0
Jason Campbell,CLE,1,27,56,248,1,3,0,0,0
Josh McCown,CHI,1,19,31,216,1,0,2,-1,0
Joe Flacco,BAL,1,17,31,162,1,2,4,20,0
Case Keenum,HOU,1,13,24,170,1,1,0,0,0
Christian Ponder,MIN,1,13,22,129,1,2,5,0,0
Matt Cassel,MIN,1,5,13,78,1,1,0,0,0
Matt Schaub,HOU,1,12,25,155,0,0,0,0,0
Matt Simms,NYJ,1,4,6,60,1,0,0,0,0
Geno Smith,NYJ,1,8,23,103,0,3,1,0,0
Dominique Davis,ATL,1,5,7,34,0,0,0,0,0
Tarvaris Jackson,SEA,1,1,3,6,0,0,1,-1,0
