,,,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Target,Rec,Yard,TD
Zach Ertz,PHI,1,6,5,68,2
Rob Gronkowski,NE,1,12,6,127,1
Zach Miller,SEA,1,8,5,86,1
Vernon Davis,SF,1,5,4,82,1
Brandon Myers,NYG,1,6,5,61,1
Ladarius Green,SD,1,6,2,45,1
Tony Gonzalez,ATL,1,7,4,42,1
Jimmy Graham,NO,1,9,3,42,1
Logan Paulsen,WAS,1,4,3,41,1
Brent Celek,PHI,1,6,4,29,1
Anthony Fasano,KC,1,5,3,28,1
Jim Dray,ARI,1,3,3,26,1
Marcedes Lewis,JAC,1,4,3,26,1
Heath Miller,PIT,1,9,8,86,0
Greg Olsen,CAR,1,7,5,85,0
Clay Harbor,JAC,1,3,2,23,1
Charles Clay,MIA,1,10,7,80,0
Scott Chandler,BUF,1,6,4,63,0
John Carlson,MIN,1,6,4,61,0
Jason Witten,DAL,1,3,3,53,0
Coby Fleener,IND,1,5,3,50,0
Jared Cook,STL,1,6,3,49,0
Jordan Cameron,CLE,1,7,4,43,0
Antonio Gates,SD,1,9,5,41,0
Garrett Graham,HOU,1,11,3,36,0
Mychal Rivera,OAK,1,3,2,30,0
Dorin Dickerson,DET,1,1,1,26,0
Kellen Winslow,NYJ,1,3,3,26,0
Robert Housler,ARI,1,6,3,21,0
Tim Wright,TB,1,3,2,17,0
Ed Dickson,BAL,1,2,1,16,0
Martellus Bennett,CHI,1,5,2,14,0
Fred Davis,WAS,1,4,2,13,0
Levine Toilolo,ATL,1,1,1,12,0
Sean McGrath,KC,1,3,1,11,0
Bear Pascoe,NYG,1,3,2,11,0
Tyler Eifert,CIN,1,2,1,9,0
Dallas Clark,BAL,1,2,1,8,0
Dion Sims,MIA,1,2,1,8,0
Ryan Taylor,GB,1,1,1,8,0
Andrew Quarless,GB,1,2,1,7,0
Jeff Cumberland,NYJ,1,3,1,6,0
Brandon Pettigrew,DET,1,2,1,6,0
Delanie Walker,TEN,1,2,1,5,0
Jacob Tamme,DEN,1,3,1,3,0
Virgil Green,DEN,1,1,1,2,0
Luke Willson,SEA,1,1,1,2,0
Rhett Ellison,MIN,1,1,0,0,0
Joseph Fauria,DET,1,1,0,0,0
Jermaine Gresham,CIN,1,2,0,0,0
